TIO	T AY OW
EXPLOITATIONS	EH K S P L OY T EY SH AH N Z
EXPLORATION	EH K S P L ER EY SH AH N
EXPLORATION(2)	EH K S P L AO R EY SH AH N
EXPLORATIONAL	EH K S P L AH R EY SH AH N AH L
EXPLORATIONS	EH K S P L ER EY SH AH N Z
EXPLORATIONS(2)	EH K S P L AO R EY SH AH N Z
EXPONENTIATION	EH K S P OW N AH N T IY EY SH AH N
EXPONENTIATIONS	EH K S P OW N AH N T IY EY SH AH N Z
EXPORTATION	EH K S P OW R T EY SH AH N
EXPORTATIONS	EH K S P OW R T EY SH AH N Z
EXPOSITION	EH K S P AH Z IH SH AH N
EXPOSITIONAL	EH K S P AH Z IH SH AH N AH L
EXPOSITIONS	EH K S P AH Z IH SH AH N Z
EXPOSTULATION	EH K S P AA S CH AH L EY SH AH N
EXPOSTULATIONS	EH K S P AA S CH AH L EY SH AH N Z
EXPROPRIATION	EH K S P R OW P R IY EY SH AH N
EXPROPRIATIONS	EH K S P R OW P R IY EY SH AH N Z
EXPUNCTION	IH K S AH NG K AH N
EXPUNCTIONS	IH K S AH NG K T IY AH N Z
EXPURGATION	EH K S P ER G EY SH AH N
EXPURGATIONS	EH K S P ER G EY SH AH N Z
EXSANGUINATION	IH K S AE N G W AH N EY SH AH N
EXSANGUINATIONS	IH K S AE N G W AH N EY T IY AH N Z
EXSERTION	IH K S AH R SH AH N
EXSERTIONS	IH K S AH R T IY AH N Z
EXSICCATION	EH K S IH K EY SH AH N
EXSICCATIONS	EH K S IH K EY SH AH N Z
EXSOLUTION	EH K S AH L UW SH AH N
EXSOLUTIONS	EH K S AH L UW SH AH N Z
EXTEMPORISATION	EH K S T EH M P OW R AY Z EY SH AH N
EXTEMPORISATIONS	EH K S T EH M P OW R AY Z EY SH AH N Z
EXTEMPORIZATION	IH K S T EH M P AH R IY AH Z EY SH AH N
EXTEMPORIZATIONS	IH K S T EH M P AH R IY AH Z EY SH AH N Z
EXTENUATION	IH K S T EH N Y AH W EY SH AH N
EXTENUATIONS	IH K S T EH N Y AH W EY SH AH N Z
EXTERIORIZATION	EH K S T IH R IY ER AH Z EY SH AH N
EXTERIORIZATIONS	EH K S T IH R IY ER AH Z EY SH AH N Z
EXTERMINATION	IH K S T ER M AH N EY SH AH N
EXTERMINATIONS	IH K S T ER M AH N EY SH AH N Z
EXTERNALISATION	EH K S T ER N AH L IY Z EY SH AH N
EXTERNALISATIONS	EH K S T ER N AH L IY Z EY SH AH N Z
EXTERNALIZATION	EH K S T ER N AH L AH Z EY SH AH N
EXTERNALIZATIONS	EH K S T ER N AH L AH Z EY SH AH N Z
EXTINCTION	IH K S T IH NG K SH AH N
EXTINCTION(2)	IH K S T IH NG SH AH N
EXTINCTIONS	IH K S T IH NG K SH AH N Z
EXTINCTIONS(2)	IH K S T IH NG SH AH N Z
EXTIRPATION	EH K S T ER P EY SH AH N
EXTIRPATIONS	EH K S T ER P EY SH AH N Z
EXTORTION	EH K S T AO R SH AH N
EXTORTIONARY	EH K S T AO R SH AH N EH R IY
EXTORTIONATE	EH K S T AO R SH AH N AH T
EXTORTIONATE(2)	EH K S T AO R SH AH N EY T
EXTORTIONATELY	EH K S T AO R SH AH N AH T L IY
EXTORTIONER	EH K S T AO R SH AH N ER
EXTORTIONERS	EH K S T AO R SH AH N ER Z
EXTORTIONIST	EH K S T AO R SH AH N IH S T
EXTORTIONISTS	EH K S T AO R SH AH N IH S T S
EXTORTIONS	EH K S T AO R SH AH N Z
EXTRACTION	EH K S T R AE K SH AH N
EXTRACTIONS	EH K S T R AE K SH AH N Z
EXTRADITION	EH K S T R AH D IH SH AH N
EXTRADITIONS	EH K S T R AH D IH SH AH N Z
EXTRAPOLATION	EH K S T R AE P AH L EY SH AH N
EXTRAPOLATIONS	IH K S T R AE P AH L EY SH AH N Z
EXTRAVASATION	EH K S T R AH V EY Z EY SH AH N
EXTRAVASATIONS	EH K S T R AH V EY Z EY SH AH N Z
EXTRICATION	EH K S T R AH K EY SH AH N
EXTRICATIONS	EH K S T R IH K EY SH AH N Z
EXUDATION	IH G Z UW D EY SH AH N
EXUDATIONS	IH G Z UW D EY SH AH N Z
EXULTATION	EH K S AH L T EY SH AH N
EXULTATIONS	EH K S AH L T EY SH AH N Z
EXUVIATION	IH G Z UW V AY EY SH AH N
EXUVIATIONS	IH G Z UW V IY EY T IY AH N Z
FABRICATION	F AE B R IH K EY SH AH N
FABRICATIONS	F AE B R IH K EY SH AH N Z
FACETIOUS	F AH S IY SH AH S
FACETIOUSLY	F AH S IY SH AH S L IY
FACETIOUSNESS	F AH S IY SH AH S N AH S
FACETIOUSNESSES	F AH S IY SH AH S N AH S IH Z
FACILITATION	F AH S IH L AH T EY SH AH N
FACILITATIONS	F AH S IH L AH T EY SH AH N Z
FACTION	F AE K SH AH N
FACTIONAL	F AE K SH AH N AH L
FACTIONALISM	F AE K SH AH N AH L IH Z AH M
FACTIONALISMS	F AE K SH AH N AH L IH Z AH M Z
FACTIONALLY	F AE K SH AH N AH L IY
FACTIONS	F AE K SH AH N Z
FACTIOUS	F AE K T IY AH S
FACTIOUSLY	F AE K T IY AH S L IY
FACTIOUSNESS	F AE K T IY AH S N AH S
FACTIOUSNESSES	F AE K T IY AH S N AH S IH Z
FACTITIOUS	F AE K T IH SH AH S
FACTITIOUSLY	F AE K T AH T IY AH S L IY
FACTITIOUSNESS	F AE K T AH T IY AH S N AH S
FACTITIOUSNESSES	F AE K T AH T IY AH S N AH S IH Z
FACTORIZATION	F AE K T ER AH Z EY SH AH N
FACTORIZATIONS	F AE K T ER AH Z EY SH AH N Z
FALSIFICATION	F AE L S AH F AH K EY SH AH N
FALSIFICATIONS	F AO L S AH F AH K EY SH AH N Z
FAMILIARIZATION	F AH M IH L Y ER AH Z EY SH AH N
FAMILIARIZATIONS	F AH M IH L Y ER AH Z EY SH AH N Z
FANTASTICATION	F AE N T AE S T IH K EY SH AH N
FANTASTICATIONS	F AE N T AE S T IH K EY SH AH N Z
FASCIATION	F AE S AY EY SH AH N
FASCIATIONS	F AE S IY EY T IY AH N Z
FASCICULATION	F AE S IH K UW L EY SH AH N
FASCICULATIONS	F AE S IH K UW L EY SH AH N Z
FASCINATION	F AE S AH N EY SH AH N
FASCINATIONS	F AE S AH N EY SH AH N Z
FECUNDATION	F IY K AH N D EY SH AH N
FECUNDATIONS	F IY K AH N D EY SH AH N Z
FEDERALIZATION	F EH D ER AH L AH Z EY SH AH N
FEDERALIZATIONS	F EH D ER AH L AH Z EY SH AH N Z
FEDERATION	F EH D ER EY SH AH N
FEDERATIONS	F EH D ER EY SH AH N Z
FELICITATION	F IH L IH S AH T EY SH AH N
FELICITATIONS	F IH L IH S AH T EY SH AH N Z
FELLATIO	F AH L EY SH IY OW
FELLATION	F EH L EY SH AH N
FELLATIONS	F EH L EY SH AH N Z
FELLATIOS	F EH L EY T IY AH Z
FEMINIZATION	F EH M AH N AH Z EY SH AH N
FEMINIZATIONS	F EH M AH N AH Z EY T IY AH N Z
FENESTRATION	F EH N AH S T R AE SH AH N
FENESTRATIONS	F EH N AH S T R AE SH AH N Z
FERMENTATION	F ER M AH N T EY SH AH N
FERMENTATIONS	F ER M EH N T EY SH AH N Z
FERTILIZATION	F ER T AH L IH Z EY SH AH N
FERTILIZATIONS	F ER T AH L AH Z EY SH AH N Z
FETATION	F EY T EY SH AH N
FETATIONS	F EY T EY SH AH N Z
FEUDALIZATION	F Y UW D AH L AH Z EY SH AH N
FEUDALIZATIONS	F Y UW D AH L AH Z EY SH AH N Z
FIBERIZATION	F AY B ER AH Z EY SH AH N
FIBERIZATIONS	F AY B ER AH Z EY SH AH N Z
FIBRILLATION	F IH B R IH L EY SH AH N
FIBRILLATIONS	F IH B R AH L EY T IY AH N Z
FICTION	F IH K SH AH N
FICTIONAL	F IH K SH AH N AH L
FICTIONALISE	F IH K T IY AA N AH L AY Z
FICTIONALISED	F IH K SH AH N AH L IY Z D
FICTIONALISES	F IH K SH AH N AH L IY Z IH Z
FICTIONALISING	F IH K SH AH N AH L IY Z IH NG
FICTIONALITIES	F IH K SH AH N AH L AH T IY Z
FICTIONALITY	F IH K SH AH N AH L AH T IY
FICTIONALIZATION	F IH K SH AH N AH L AH Z EY SH AH N
FICTIONALIZATIONS	F IH K SH AH N AH L AH Z EY SH AH N Z
FICTIONALIZE	F IH K SH AH N AH L AY Z
FICTIONALIZED	F IH K SH AH N AH L AY Z D
FICTIONALIZES	F IH K SH AH N AH L AY Z IH Z
FICTIONALIZING	F IH K SH AH N AH L AY Z IH NG
FICTIONALLY	F IH K SH AH N AH L IY
FICTIONEER	F IH K SH AH N IH R
FICTIONEERING	F IH K SH AH N IH R IH NG
FICTIONEERINGS	F IH K SH AH N IH R IH NG Z
FICTIONEERS	F IH K SH AH N IH R Z
FICTIONIST	F IH K SH AH N IH S T
FICTIONISTS	F IH K SH AH N IH S T S
FICTIONIZATION	F IH K SH AH N AH Z EY SH AH N
FICTIONIZATIONS	F IH K SH AH N AH Z EY SH AH N Z
FICTIONIZE	F IH K SH AH N AY Z
FICTIONIZED	F IH K SH AH N AY Z D
FICTIONIZES	F IH K SH AH N AY Z IH Z
FICTIONIZING	F IH K SH AH N AY Z IH NG
FICTIONS	F IH K SH AH N Z
FICTITIOUS	F IH K T IH SH AH S
FICTITIOUSLY	F IH K T IH SH AH S L IY
FICTITIOUSNESS	F IH K T IH SH AH S N AH S
FICTITIOUSNESSES	F IH K T IH SH AH S N AH S IH Z
FIGURATION	F IH G Y ER EY SH AH N
FIGURATIONS	F IH G Y ER EY SH AH N Z
FILIATION	F AY L IY EY SH AH N
FILIATIONS	F AY L IY EY SH AH N Z
FILTRATION	F IH L T R EY SH AH N
FILTRATIONS	F IH L T R EY SH AH N Z
FIMBRIATION	F IH M B R AY EY SH AH N
FIMBRIATIONS	F IH M B R IY EY T IY AH N Z
FINALIZATION	F AH N AE L IY AH Z EY SH AH N
FINALIZATIONS	F AH N AE L IY AH Z EY SH AH N Z
FIXATION	F IH K S EY SH AH N
FIXATIONS	F IH K S EY SH AH N Z
FLAGELLATION	F L AE JH AH L EY SH AH N
FLAGELLATIONS	F L AE JH AH L EY SH AH N Z
FLAGITIOUS	F L AE G AH T IY AH S
FLAGITIOUSLY	F L AE G AH T IY AH S L IY
FLAGITIOUSNESS	F L AE G AH T IY AH S N AH S
FLAGITIOUSNESSES	F L AE G AH T IY AH S N AH S IH Z
FLECTION	F L EH K AH N
FLECTIONS	F L EH K T IY AH N Z
FLIRTATION	F L ER T EY SH AH N
FLIRTATIONS	F L ER T EY SH AH N Z
FLIRTATIOUS	F L ER T EY SH AH S
FLIRTATIOUSLY	F L ER T EY SH AH S L IY
FLIRTATIOUSNESS	F L ER T EY SH AH S N AH S
FLIRTATIOUSNESSES	F L ER T EY SH AH S N AH S IH Z
FLOATATION	F L OW T EY SH AH N
FLOATATIONS	F L OW T EY SH AH N Z
FLOCCULATION	F L AA K Y AH L AH SH AH N
FLOCCULATIONS	F L AA K Y AH L AH SH AH N Z
FLORIATION	F L OW R IY EY SH AH N
FLORIATIONS	F L OW R IY EY SH AH N Z
FLOTATION	F L OW T EY SH AH N
FLOTATIONS	F L AH T EY T IY AH N Z
FLUCTUATION	F L AH K CH UW EY SH AH N
FLUCTUATIONAL	F L AH K CH AH W EY SH AH N AH L
FLUCTUATIONS	F L AH K CH UW EY SH AH N Z
FLUIDIZATION	F L UW AH D AH Z EY SH AH N
FLUIDIZATIONS	F L UW AH D AH Z EY SH AH N Z
FLUORIDATION	F L UH R AH D EY SH AH N
FLUORIDATION(2)	F L AO R AH D EY SH AH N
FLUORIDATIONS	F L UH R AY D EY SH AH N Z
FLUORINATION	F L UH R IY N EY SH AH N
FLUORINATIONS	F L UH R IY N EY SH AH N Z
FOCALIZATION	F OW K AH L AH Z EY SH AH N
FOCALIZATIONS	F OW K AH L AH Z EY SH AH N Z
FOLIATION	F OW L IY EY SH AH N
FOLIATIONS	F OW L IY EY T IY AH N Z
FOMENTATION	F AA M AH N T EY SH AH N
FOMENTATIONS	F AA M AH N T EY T IY AH N Z
FOREORDINATION	F OW R AO R D AH N EY SH AH N
FOREORDINATIONS	F OW R AO R D AH N EY SH AH N Z
FORESTATION	F AO R AH S T EY SH AH N
FORESTATIONS	F AO R AH S T EY SH AH N Z
FORMALIZATION	F AO R M AH L AH Z EY SH AH N
FORMALIZATIONS	F AO R M AH L AH Z EY SH AH N Z
FORMATION	F AO R M EY SH AH N
FORMATIONS	F AO R M EY SH AH N Z
FORMULARIZATION	F AO R M Y AH L ER AH Z EY SH AH N
FORMULARIZATIONS	F AO R M Y AH L ER AH Z EY SH AH N Z
FORMULATION	F AO R M Y AH L EY SH AH N
FORMULATION(2)	F AO R M Y UW L EY SH AH N
FORMULATIONS	F AO R M Y UW L EY SH AH N Z
FORNICATION	F AO R N AY S EY SH AH N
FORNICATIONS	F AO R N AY S EY SH AH N Z
FORTIFICATION	F AO R T AH F AH K EY SH AH N
FORTIFICATIONS	F AO R T AH F AH K EY SH AH N Z
FOSSILIZATION	F AA S AH L AH Z EY SH AH N
FOSSILIZATIONS	F AA S AH L AH Z EY SH AH N Z
FOUNDATION	F AW N D EY SH AH N
FOUNDATIONAL	F AW N D EY SH AH N AH L
FOUNDATIONALLY	F AW N D EY SH AH N AH L IY
FOUNDATIONLESS	F AW N D EY SH AH N L AH S
FOUNDATIONS	F AW N D EY SH AH N Z
FRACTION	F R AE K SH AH N
FRACTIONAL	F R AE K SH AH N AH L
FRACTIONALIZATION	F R AE K SH AH N AH L AH Z EY SH AH N
FRACTIONALIZATIONS	F R AE K SH AH N AH L AH Z EY SH AH N Z
FRACTIONALIZE	F R AE K SH AH N AH L AY Z
FRACTIONALIZED	F R AE K SH AH N AH L AY Z D
FRACTIONALIZES	F R AE K SH AH N AH L AY Z IH Z
FRACTIONALIZING	F R AE K SH AH N AH L AY Z IH NG
FRACTIONALLY	F R AE K SH AH N AH L IY
FRACTIONALLY(2)	F R AE K SH N AH L IY
FRACTIONATE	F R AE K SH AH N AH T
FRACTIONATED	F R AE K SH AH N EY T IH D
FRACTIONATES	F R AE K SH AH N AH T S
FRACTIONATING	F R AE K SH AH N EY T IH NG
FRACTIONATION	F R AE K SH AH N EY SH AH N
FRACTIONATIONS	F R AE K SH AH N EY SH AH N Z
FRACTIONATOR	F R AE K SH AH N AH T ER
FRACTIONATORS	F R AE K SH AH N AH T ER Z
FRACTIONED	F R AE K SH AH N D
FRACTIONING	F R AE K SH AH N IH NG
FRACTIONS	F R AE K SH AH N Z
FRACTIOUS	F R AE K SH AH S
FRACTIOUSLY	F R AE K SH AH S L IY
FRACTIOUSNESS	F R AE K SH AH S N AH S
FRACTIOUSNESSES	F R AE K SH AH S N AH S IH Z
FRAGMENTATION	F R AE G M AH N T EY SH AH N
FRAGMENTATIONS	F R AE G M AH N T EY SH AH N Z
FRATERNIZATION	F R AE T ER N AY Z EY SH AH N
FRATERNIZATIONS	F R AE T ER N AY Z EY SH AH N Z
FRENCHIFICATION	F R EH N CH AH F AH K EY SH AH N
FRENCHIFICATIONS	F R EH N CH AH F AH K EY SH AH N Z
FREQUENTATION	F R IY K W AH N T EY SH AH N
FREQUENTATIONS	F R IY K W AH N T EY SH AH N Z
FRICTION	F R IH K SH AH N
FRICTIONAL	F R IH K SH AH N AH L
FRICTIONALLY	F R IH K SH AH N AH L IY
FRICTIONLESS	F R IH K SH AH N L AH S
FRICTIONLESSLY	F R IH K SH AH N L AH S L IY
FRICTIONS	F R IH K SH AH N Z
FRUCTIFICATION	F R AH K T AH F AH K EY SH AH N
FRUCTIFICATIONS	F R AH K T AH F AH K EY T IY AH N Z
FRUITION	F R UW IH SH AH N
FRUITIONS	F R UH IH SH AH N Z
FRUSTRATION	F R AH S T R EY SH AH N
FRUSTRATIONS	F R AH S T R EY SH AH N Z
FULGURATION	F UH L G Y AH R EY SH AH N
FULGURATIONS	F UH L G Y AH R EY T IY AH N Z
FULMINATION	F UH L M AH N EY SH AH N
FULMINATIONS	F UH L M AH N EY SH AH N Z
FUMIGATION	F Y UW M IH G EY SH AH N
FUMIGATIONS	F Y UW M AH G EY T IY AH N Z
FUNCTION	F AH NG K SH AH N
FUNCTIONAL	F AH NG K SH AH N AH L
FUNCTIONALISM	F AH NG K SH AH N AH L IH Z AH M
FUNCTIONALISMS	F AH NG K SH AH N AH L IH Z AH M Z
FUNCTIONALIST	F AH NG K SH AH N AH L IH S T
FUNCTIONALISTIC	F AH NG K SH AH N AH L IH S T IH K
FUNCTIONALISTS	F AH NG K SH AH N AH L IH S T S
FUNCTIONALITIES	F AH NG K SH AH N AH L AH T IY Z
FUNCTIONALITY	F AH NG K SH AH N AE L IH T IY
FUNCTIONALLY	F AH NG K SH AH N AH L IY
FUNCTIONALLY(2)	F AH NG K SH N AH L IY
FUNCTIONARIES	F AH NG K SH AH N EH R IY Z
FUNCTIONARY	F AH NG K SH AH N EH R IY
FUNCTIONED	F AH NG K SH AH N D
FUNCTIONING	F AH NG K SH AH N IH NG
FUNCTIONLESS	F AH NG K SH AH N L AH S
FUNCTIONS	F AH NG K SH AH N Z
FURCATION	F ER K EY SH AH N
FURCATIONS	F ER K EY SH AH N Z
FUSTIGATION	F AH S T AH G EY SH AH N
FUSTIGATIONS	F AH S T AH G EY T IY AH N Z
GALLICIZATION	G AO L IH K SH AH Z EY SH AH N
GALLICIZATIONS	G AO L IH K S AH Z EY SH AH N Z
GALVANIZATION	G AE L V AH N AY Z EY SH AH N
GALVANIZATIONS	G AE L V AH N AY Z EY SH AH N Z
GASIFICATION	G AE S AH F AH K EY SH AH N
GASIFICATIONS	G AE S AH F AH K EY SH AH N Z
GASTRULATION	G AE S T R AH L EY SH AH N
GASTRULATIONS	G AE S T R AH L EY T IY AH N Z
GELATINIZATION	JH EH L AH T AY N AH Z EY SH AH N
GELATINIZATIONS	JH EH L AH T AY N AH Z EY SH AH N Z
GELATION	JH EH L EY SH AH N
GELATIONS	JH EH L EY SH AH N Z
GEMINATION	JH EH M IH N EY SH AH N
GEMINATIONS	JH EH M IH N EY SH AH N Z
GEMMATION	JH EH M EY SH AH N
GEMMATIONS	JH EH M EY SH AH N Z
GENERALISATION	JH EH N ER AH L IY Z EY SH AH N
GENERALISATIONS	JH EH N ER AH L IY Z EY SH AH N Z
GENERALIZATION	JH EH N ER AH L IH Z EY SH AH N
GENERALIZATION(2)	JH EH N R AH L IH Z EY SH AH N
GENERALIZATIONS	JH EH N ER AH L AH Z EY SH AH N Z
GENERALIZATIONS(2)	JH EH N R AH L AH Z EY SH AH N Z
GENERATION	JH EH N ER EY SH AH N
GENERATIONAL	JH EH N ER EY SH AH N AH L
GENERATIONALLY	JH EH N ER EY SH AH N AH L IY
GENERATIONS	JH EH N ER EY SH AH N Z
GENTRIFICATION	JH EH N T R IH F IH K EY SH AH N
GENTRIFICATIONS	JH EH N T R AH F AH K EY T IY AH N Z
GENUFLECTION	JH AH N AH F L EH K AH N
GENUFLECTIONS	JH EH N AH F L EH K T IY AH N Z
GEOMETRIZATION	JH IY AH M EH T R AH Z EY SH AH N
GEOMETRIZATIONS	JH IY AH M EH T R AH Z EY T IY AH N Z
GEOSTATIONARY	JH IY AH S T EY T IY AH N EH R IY
GERMANIZATION	JH ER M EY N AH Z EY SH AH N
GERMANIZATIONS	JH ER M EY N AH Z EY SH AH N Z
GERMINATION	JH ER M AH N EY SH AH N
GERMINATIONS	JH ER M AH N EY SH AH N Z
GESTATION	JH EH S T EY SH AH N
GESTATIONAL	JH EH S T AH T IY AH N AH L
GESTATIONS	JH EH S T EY T IY AH N Z
GESTICULATION	JH EH S T IH K Y AH L EY SH AH N
GESTICULATIONS	JH EH S T IH K Y AH L EY SH AH N Z
GHETTOIZATION	G EH T OW AH Z EY SH AH N
GHETTOIZATIONS	G EH T OW AH Z EY SH AH N Z
GLACIATION	G L EY SH IY EY SH AH N
GLACIATIONS	G L EY S IY EY T IY AH N Z
GLAMORIZATION	G L AE M ER AH Z EY SH AH N
GLAMORIZATIONS	G L AE M ER AH Z EY SH AH N Z
GLEIZATION	G L IY AH Z EY SH AH N
GLEIZATIONS	G L IY Z EY T IY AH N Z
GLOBALIZATION	G L OW B AH L IH Z EY SH AH N
GLOBALIZATIONS	G L OW B AH L AH Z EY SH AH N Z
GLORIFICATION	G L AO R AH F IH K EY SH AH N
GLORIFICATION(2)	G L AO R IH F IH K EY SH AH N
GLORIFICATIONS	G L AO R AH F AH K EY T IY AH N Z
GLYCOSYLATION	G L AH K AA S AH L EY SH AH N
GLYCOSYLATIONS	G L IH K AH S AH L EY T IY AH N Z
GRADATION	G R EY D EY SH AH N
GRADATIONAL	G R EY D EY SH AH N AH L
GRADATIONALLY	G R EY D EY SH AH N AH L IY
GRADATIONS	G R EY D EY SH AH N Z
GRADUATION	G R AE JH UW EY SH AH N
GRADUATION(2)	G R AE JH AH W EY SH AH N
GRADUATIONS	G R AE JH UW EY SH AH N Z
GRADUATIONS(2)	G R AE JH AH W EY SH AH N Z
GRANULATION	G R AE N Y AH L EY SH AH N
GRANULATIONS	G R AE N Y UW L EY SH AH N Z
GRAPHITIZATION	G R AE F AY T AH Z EY SH AH N
GRAPHITIZATIONS	G R AE F AY T AH Z EY SH AH N Z
GRATIFICATION	G R AE T AH F AH K EY SH AH N
GRATIFICATIONS	G R AE T AH F AH K EY SH AH N Z
GRATULATION	G R AE CH AH L EY SH AH N
GRATULATIONS	G R AE CH AH L EY SH AH N Z
GRAVITATION	G R AE V IH T EY SH AH N
GRAVITATIONAL	G R AE V IH T EY SH AH N AH L
GRAVITATIONALLY	G R AE V AH T EY SH N AH L IY
GRAVITATIONS	G R AE V AH T EY SH AH N Z
GUMPTION	G AH M P SH AH N
GUMPTIONS	G AH M P SH AH N Z
GUSTATION	G AH S T EY SH AH N
GUSTATIONS	G AH S T EY SH AH N Z
GUTTATION	G AH T EY SH AH N
GUTTATIONS	G AH T EY SH AH N Z
GYRATION	JH AY R EY SH AH N
GYRATIONAL	JH AY R EY SH AH N AH L
GYRATIONS	JH AY R EY SH AH N Z
HABILITATION	HH AH B IH L AH T EY SH AH N
HABILITATIONS	HH AH B IH L AH T EY SH AH N Z
HABITATION	HH AE B AH T EY SH AH N
HABITATIONS	HH AE B AH T EY SH AH N Z
HABITUATION	HH AH B IH T Y UW EY SH AH N
HABITUATIONS	HH AH B IH T Y UW EY T IY AH N Z
HALATION	HH EY L EY SH AH N
HALATIONS	HH EY L EY SH AH N Z
HALLUCINATION	HH AH L UW S AH N EY SH AH N
HALLUCINATIONS	HH AH L UW S AH N EY SH AH N Z
HALOGENATION	HH AE L AH JH AH N EY SH AH N
HALOGENATIONS	HH AE L AH JH AH N EY SH AH N Z
HARMONIZATION	HH AA R M AH N IH Z EY SH AH N
HARMONIZATIONS	HH AA R M AO N AH Z EY SH AH N Z
HARUSPICATION	HH AH R AH S AH S EY SH AH N
HARUSPICATIONS	HH AH R AH S AH K EY T IY AH N Z
HEBETATION	HH EH B AH T EY SH AH N
HEBETATIONS	HH EH B AH T EY T IY AH N Z
HEBRAIZATION	HH EH B R EY AH Z EY SH AH N
HEBRAIZATIONS	HH EH B R AH Z EY T IY AH N Z
HELLENIZATION	HH EH L AH N AH Z EY SH AH N
HELLENIZATIONS	HH EH L AH N AH Z EY SH AH N Z
HEMAGGLUTINATION	HH EH M AH G L UW T AH N EY SH AH N
HEMAGGLUTINATIONS	HH EH M AH G L UW T AH N EY SH AH N Z
HEMODILUTION	HH AH M AA D AH L Y UW T IY AH N
HEMODILUTIONS	HH EH M AH D AH L UW T IY AH N Z
HERNIATION	HH AH R N AY EY SH AH N
HERNIATIONS	HH AH R N IY EY T IY AH N Z
HESITATION	HH EH Z AH T EY SH AH N
HESITATIONS	HH EH Z AH T EY SH AH N Z
HIBERNATION	HH AY B ER N EY SH AH N
HIBERNATIONS	HH AY B ER N EY SH AH N Z
HIMATION	HH AY M EY SH AH N
HIMATIONS	HH AH M EY T IY AH N Z
HISTIOCYTE	HH IH S T IY AH S AY T
HISTIOCYTES	HH IH S T IY AH S AY T S
HISTIOCYTIC	HH IH S T IY AH S AH T AH K
HOMINIZATION	HH AA M AH N AH Z EY SH AH N
HOMINIZATIONS	HH AA M AH N AH Z EY T IY AH N Z
HOMOGENISATION	HH OW M AA JH AH N IY Z EY SH AH N
HOMOGENISATIONS	HH OW M AA JH AH N IY Z EY SH AH N Z
HOMOGENIZATION	HH OW M AA JH AH N IH Z EY SH AH N
HOMOGENIZATIONS	HH OW M AA JH AH N AH Z EY SH AH N Z
HOMOLOGATION	HH OW M OW L AA G EY SH AH N
HOMOLOGATIONS	HH OW M OW L AA G EY SH AH N Z
HOMOTRANSPLANTATION	HH OW M OW T R AE N S P L AE N T EY SH AH N
HOMOTRANSPLANTATIONS	HH OW M OW T R AE N S P L AE N T EY SH AH N Z
HOSPITALIZATION	HH AA S P IH T AH L AH Z EY SH AH N
HOSPITALIZATIONS	HH AA S P IH T AH L AH Z EY SH AH N Z
HUMANIZATION	HH Y UW M EY N AH Z EY SH AH N
HUMANIZATIONS	HH Y UW M EY N AH Z EY SH AH N Z
HUMIDIFICATION	HH Y UW M AH D AH F AH K EY SH AH N
HUMIDIFICATIONS	HH Y UW M AH D AH F AH K EY SH AH N Z
HUMIFICATION	HH AH M AH F AH K EY SH AH N
HUMIFICATIONS	HH AH M AH F AH K EY SH AH N Z
HUMILIATION	HH Y UW M IH L IY EY SH AH N
HUMILIATIONS	HH Y UW M IH L IY EY SH AH N Z
HYBRIDIZATION	HH AY B R AH D AH Z EY SH AH N
HYBRIDIZATIONS	HH AY B R AH D AH Z EY SH AH N Z
HYDRATION	HH AY D R EY SH AH N
HYDRATIONS	HH AY D R EY SH AH N Z
HYDROGENATION	HH AY D R AA JH AH N EY SH AH N
HYDROGENATIONS	HH AY D R AH JH AH N EY SH AH N Z
HYDROXYLATION	HH AY D R AA K S AH L EY SH AH N
HYDROXYLATIONS	HH AY D R AA K S AH L EY SH AH N Z
HYPERALIMENTATION	HH AY P ER AH L AY M AH N T EY SH AH N
HYPERALIMENTATIONS	HH AY P ER AH L AY M AH N T EY SH AH N Z
HYPERCAUTIOUS	HH AY P ER K AO SH AH S
HYPERCONCENTRATION	HH AY P ER K AA N S AH N T R EY SH AH N
HYPERCONCENTRATIONS	HH AY P ER K AA N S AH N T R EY SH AH N Z
HYPERCORRECTION	HH AY P ER K AH R EH K SH AH N
HYPERCORRECTIONS	HH AY P ER K AH R EH K SH AH N Z
HYPEREMOTIONAL	HH AY P ER IH M OW SH AH N AH L
HYPEREMOTIONALITIES	HH AY P ER IH M OW SH AH N AE L AH T IY Z
HYPEREMOTIONALITY	HH AY P ER IH M OW SH AH N AE L AH T IY
HYPEREXCRETION	HH AY P ER EH K S K R IY SH AH N
HYPEREXCRETIONS	HH AY P ER EH K S K R IY SH AH N Z
HYPERFUNCTION	HH AY P ER F AH NG K SH AH N
HYPERFUNCTIONAL	HH AY P ER F AH NG K SH AH N AH L
HYPERFUNCTIONING	HH AY P ER F AH NG K SH AH N IH NG
HYPERFUNCTIONS	HH AY P ER F AH NG K SH AH N Z
HYPERIMMUNIZATION	HH AY P ER IH M Y UW N AH Z EY SH AH N
HYPERIMMUNIZATIONS	HH AY P ER IH M Y UW N AH Z EY SH AH N Z
HYPERINFLATION	HH AY P ER IH N F L EY SH AH N
HYPERINFLATIONARY	HH AY P ER IH N F L EY SH AH N EH R IY
HYPERINFLATIONS	HH AY P ER IH N F L EY SH AH N Z
HYPERINNERVATION	HH AY P ER IH N ER V EY SH AH N
HYPERINNERVATIONS	HH AY P ER IH N ER V EY SH AH N Z
HYPERINVOLUTION	HH AY P ER IH N V AH L UW SH AH N
