EE	IY
VOUCHEE	V AW CH IY
VOUCHEES	V AW CH IY Z
WARRANTEE	W AO R AH N T IY
WARRANTEES	W AO R AH N T IY Z
WATERWEED	W AO T ER W IY D
WATERWEEDS	W AO T ER W IY D Z
WATERWHEEL	W AO T ER W IY L
WATERWHEELS	W AO T ER W IY L Z
WAXWEED	W AE K S W IY D
WAXWEEDS	W AE K S W IY D Z
WEBFEET	W EH B F IY T
WEE	W IY
WEED	W IY D
WEEDED	W IY D IH D
WEEDER	W IY D ER
WEEDERS	W IY D ER Z
WEEDIER	W IY D IY ER
WEEDIEST	W IY D IY AH S T
WEEDILY	W IY D IY L IY
WEEDINESS	W IY D IY N AH S
WEEDINESSES	W IY D IY N AH S IH Z
WEEDING	W IY D IH NG
WEEDLESS	W IY D L AH S
WEEDLIKE	W IY D L AY K
WEEDS	W IY D Z
WEEDY	W IY D IY
WEEK	W IY K
WEEKDAY	W IY K D EY
WEEKDAYS	W IY K D EY Z
WEEKEND	W IY K EH N D
WEEKEND(2)	W IY K IH N D
WEEKENDED	W IY K EH N D IH D
WEEKENDER	W IY K EH N D ER
WEEKENDERS	W IY K EH N D ER Z
WEEKENDING	W IY K EH N D IH NG
WEEKENDS	W IY K EH N D Z
WEEKLIES	W IY K L IY Z
WEEKLONG	W IY K L AO NG
WEEKLY	W IY K L IY
WEEKNIGHT	W IY N AY T
WEEKNIGHTS	W IY N AY T S
WEEKS	W IY K S
WEEL	W IY L
WEEN	W IY AH N
WEENED	W IY N D
WEENIE	W IY N AY
WEENIER	W IY N AY AH R
WEENIES	W IY N AY Z
WEENIEST	W IY N AY AH S T
WEENING	W IY N AH NG
WEENS	W IY N Z
WEENSIER	W IY N S AY AH R
WEENSIEST	W IY N S AY AH S T
WEENSY	W IY N Z IY
WEENY	W IY N IY
WEEP	W IY P
WEEPER	W IY P ER
WEEPERS	W IY P ER Z
WEEPIE	W IY P IY
WEEPIER	W IY P IY ER
WEEPIES	W IY P IY Z
WEEPIEST	W IY P IY AH S T
WEEPING	W IY P IH NG
WEEPINGS	W IY P IH NG Z
WEEPS	W IY P S
WEEPY	W IY P IY
WEER	W IY AH R
WEES	W IY Z
WEEST	W IY AH S T
WEET	W IY T
WEETED	W IY T EH D
WEETING	W IY T AH NG
WEETS	W IY T S
WEEVER	W IY V AH R
WEEVERS	W IY V AH R Z
WEEVIL	W IY V AH L
WEEVILED	W IY V AY L D
WEEVILLY	W IY V IH L IY
WEEVILS	W IY V AH L Z
WEEVILY	W IY V IH L IY
WEEWEE	W IY W IY
WEEWEED	W IY W IY D
WEEWEEING	W IY W IY IH NG
WEEWEES	W IY W IY Z
WHANGEE	W AA N JH IY IY
WHANGEES	W AH NG IY Z
WHEE	W IY
WHEEDLE	W IY D AH L
WHEEDLED	W IY D AH L D
WHEEDLER	W IY D AH L ER
WHEEDLERS	W IY D AH L ER Z
WHEEDLES	W IY D AH L Z
WHEEDLING	W IY D AH L IH NG
WHEEL	W IY L
WHEEL(2)	HH W IY L
WHEELBARROW	W IY L B EH R OW
WHEELBARROW(2)	HH W IY L B EH R OW
WHEELBARROWED	W IY L B AE R OW D
WHEELBARROWING	W IY L B AE R OW IH NG
WHEELBARROWS	W IY L B EH R OW Z
WHEELBARROWS(2)	HH W IY L B EH R OW Z
WHEELBASE	W IY L B EY S
WHEELBASE(2)	HH W IY L B EY S
WHEELBASES	W IY L B EY S IH Z
WHEELCHAIR	W IY L CH EH R
WHEELCHAIR(2)	HH W IY L CH EH R
WHEELCHAIRS	W IY L CH EH R Z
WHEELCHAIRS(2)	HH W IY L CH EH R Z
WHEELED	W IY L D
WHEELED(2)	HH W IY L D
WHEELER	W IY L ER
WHEELER(2)	HH W IY L ER
WHEELERS	W IY L ER Z
WHEELERS(2)	HH W IY L ER Z
WHEELHORSE	W IY L HH AO R S
WHEELHORSES	W IY L HH AO R S IH Z
WHEELHOUSE	W IY L HH AW S
WHEELHOUSES	W IY L HH AW S IH Z
WHEELIE	W IY L IY
WHEELIES	W IY L IY Z
WHEELING	W IY L IH NG
WHEELING(2)	HH W IY L IH NG
WHEELINGS	W IY L IH NG Z
WHEELLESS	W IY L AH S
WHEELMAN	W IY L M AE N
WHEELMEN	W IY L M EH N
WHEELS	W IY L Z
WHEELS(2)	HH W IY L Z
WHEELSMAN	W IY L Z M AE N
WHEELSMEN	W IY L Z M EH N
WHEELWORK	W IY L W ER K
WHEELWORKS	W IY L W ER K S
WHEELWRIGHT	W IY L R AY T
WHEELWRIGHT(2)	HH W IY L R AY T
WHEELWRIGHTS	W IY L R AY T S
WHEEN	W IY AH N
WHEENS	W IY N Z
WHEEP	W IY P
WHEEPED	W IY P T
WHEEPING	W IY P AH NG
WHEEPLE	W IY P AH L
WHEEPLED	W IY P AH L D
WHEEPLES	W IY P AH L Z
WHEEPLING	W IY P L AH NG
WHEEPS	W IY P S
WHEEZE	W IY Z
WHEEZE(2)	HH W IY Z
WHEEZED	W IY Z D
WHEEZER	W IY Z ER
WHEEZERS	W IY Z ER Z
WHEEZES	W IY Z AH Z
WHEEZES(2)	HH W IY Z AH Z
WHEEZES(3)	W IY Z IH Z
WHEEZIER	W IY Z IY ER
WHEEZIEST	W IY Z IY AH S T
WHEEZILY	W IY Z IY L IY
WHEEZINESS	W IY Z IY N AH S
WHEEZINESSES	W IY Z IY N AH S IH Z
WHEEZING	W IY Z IH NG
WHEEZING(2)	HH W IY Z IH NG
WHEEZY	W IY Z IY
WHIFFLETREE	W IH F L AH T R IY IY
WHIFFLETREES	W IH F L EH T R IY Z
WHIGMALEERIE	W IH G M EY L AH R AY
WHIGMALEERIES	W IH G M EY L AH R AY Z
WHIPPLETREE	W IH P L AH T R IY IY
WHIPPLETREES	W IH P L EH T R IY Z
WHOOPEE	W UW P IY
WHOOPEE(2)	HH W UW P IY
WHOOPEES	W UW P IY Z
WILDEBEEST	W IH L D IY B IY AH S T
WILDEBEESTS	W IH L D AH B IY S T S
WINDSCREEN	W IH N D S K R IY N
WINDSCREENS	W IH N D S K R IY N Z
WINTERGREEN	W IH N T ER G R IY N
WINTERGREENS	W IH N T ER G R IY N Z
WITCHWEED	W IH CH W IY D
WITCHWEEDS	W IH CH W IY D Z
WORKSHEET	W ER K SH IY T
WORKSHEETS	W ER K SH IY T S
WORKWEEK	W ER K W IY K
WORKWEEKS	W ER K W IY K S
WORMSEED	W ER M S IY D
WORMSEEDS	W ER M S IY D Z
YEELIN	Y IY L AH N
YEELINS	Y IY L AH N Z
YESTREEN	Y EH S T R IY AH N
YESTREENS	Y EH S T R IY N Z
YIPPEE	Y IH P IY
YOGEE	Y OW JH IY IY
YOGEES	Y OW JH IY Z
ZAREEBA	Z AH R IY B AH
ZAREEBAS	Z AH R IY B AH Z
ZEE	Z IY
ZEES	Z IY Z
ZOOKEEPER	Z UW K IY P ER
ZOOKEEPERS	Z UW K IY P ER Z
BE	B IY
PNEUMA	N Y UW M AH
NTH	EH N TH
PFENNIG	F EH N IH G
IKAT	IH K AH T
KEA	K IY
HOEING	HH OW IH NG
