PH	P IY EY CH
PHALLISMS	F AE L AH Z AH M Z
PHALLIST	F AE L AH S T
PHALLISTS	F AE L AH S T S
PHALLOCENTRIC	F AE L AH S AH N T R AH K
PHALLUS	F AE L AH S
PHALLUSES	F AE L UW Z AH Z
PHANEROGAM	F AH N EH R AH G AH M
PHANEROGAMS	F AH N EH R AH G AH M Z
PHANEROPHYTE	F AH N EH R AH F AY T
PHANEROPHYTES	F AH N EH R AH F AY T S
PHANTASIED	F AE N T AH S IY D
PHANTASIES	F AE N T AH S IY Z
PHANTASM	F AE N T AE Z AH M
PHANTASMA	F AE N T AE Z M AH
PHANTASMAGORIA	F AE N T AE Z M AH G AO R IY AH
PHANTASMAGORIAS	F AE N T AE Z M AH G AO R IY AH Z
PHANTASMAGORIC	F AE N T AE Z M AH G AH R AH K
PHANTASMAGORICAL	F AE N T AE Z M AE G AH R IH S AH L
PHANTASMAL	F AE N T AE Z M AH L
PHANTASMATA	F AE N T AE Z M AH T AH
PHANTASMIC	F AE N T AH Z M AH K
PHANTASMS	F AE N T AH Z AH M Z
PHANTAST	F AE N T AH S T
PHANTASTS	F AE N T AH S T S
PHANTASY	F AE N T AH S IY
PHANTASYING	F AE N T AH S IY IH NG
PHANTOM	F AE N T AH M
PHANTOM(2)	F AE N AH M
PHANTOMLIKE	F AE N T AH M L AY K
PHANTOMS	F AE N T AH M Z
PHANTOMS(2)	F AE N AH M Z
PHARAOH	F EH R OW
PHARAOH(2)	F EY R OW
PHARAOHS	F EH R OW Z
PHARAOHS(2)	F EY R OW Z
PHARAONIC	F EH R AH AA N IH K
PHARISAIC	F AE R AH S EY AH K
PHARISAICAL	F AH R IH S EY IH S AH L
PHARISAICALLY	F AE R AH S AH K AE L IY
PHARISAICALNESS	F AE R AH S AH K AE L N AH S
PHARISAICALNESSES	F AE R AH S AH K AE L N EH S AH Z
PHARISAISM	F AE R IH S EY IH Z AH M
PHARISAISMS	F AE R AH S EY Z AH M Z
PHARISEE	F AE R AH Z IY IY
PHARISEES	F AE R AH Z IY Z
PHARMACEUTICAL	F AA R M AH S UW T IH K AH L
PHARMACEUTICALLY	F AA R M AH S UW T IH K AH L IY
PHARMACEUTICALS	F AA R M AH S UW T IH K AH L Z
PHARMACIES	F AA R M AH S IY Z
PHARMACIST	F AA R M AH S IH S T
PHARMACISTS	F AA R M AH S IH S T S
PHARMACODYNAMIC	F AA R M AH K AA D AH N AH M AH K
PHARMACODYNAMICALLY	F AA R M AE K AH D AH N AE M AH K AE L IY
PHARMACODYNAMICS	F AA R M AH K AH D IH N AH M AH S Z
PHARMACOGNOSIES	F AA R M AH K AA G N AH S AY Z
PHARMACOGNOSTIC	F AA R M AH K AA G N AH S T AH K
PHARMACOGNOSTICAL	F AA R M AH K AA G N AA S T IH S AH L
PHARMACOGNOSY	F AA R M AH K AA G N AH Z IY
PHARMACOKINETIC	F AA R M AH K AA K AH N AH T AH K
PHARMACOKINETICS	F AA R M AH K AH K IH N AH T AH S Z
PHARMACOLOGIC	F AA R M AH K AH L AA JH IH K
PHARMACOLOGICAL	F AA R M AH K AH L AA JH IH K AH L
PHARMACOLOGICALLY	F AA R M AH K AH L AA JH IH K AH L IY
PHARMACOLOGIES	F AA R M AH K AA L AH JH AY Z
PHARMACOLOGIST	F AA R M AH K AA L AH JH IH S T
PHARMACOLOGISTS	F AA R M AH K AA L AH JH IH S T S
PHARMACOLOGY	F AA R M AH K AA L AH JH IY
PHARMACOPEIA	F AA R M AH K OW P IY AH
PHARMACOPEIAL	F AA R M AH K AH P IY IY AH L
PHARMACOPEIAS	F AA R M AH K OW P IY AH Z
PHARMACOPOEIA	F AA R M AH K AH P IY AH
PHARMACOPOEIAL	F AA R M AH K AA P OW EH IY AH L
PHARMACOPOEIAS	F AA R M AH K AH P IY AH Z
PHARMACOTHERAPIES	F AA R M AH K AH TH EH R AH P AY Z
PHARMACOTHERAPY	F AA R M AH K AH TH EH R AH P IY
PHARMACY	F AA R M AH S IY
PHAROS	F EH R OW Z
PHAROSES	F AH R OW Z AH Z
PHARYNGEAL	F AH R IH N JH IY AH L
PHARYNGES	F AH R IH N JH AH Z
PHARYNGITIDES	F AH R IH N JH AH T AY D Z
PHARYNGITIS	F AE R AH N JH AY T AH S
PHARYNX	F EH R IH NG K S
PHARYNXES	F AE R AH NG K S
PHASE	F EY Z
PHASEAL	F EY Z AH L
PHASED	F EY Z D
PHASEDOWN	F EY Z D AW N
PHASEDOWNS	F EY Z D AW N Z
PHASEOUT	F EY Z AW T
PHASEOUTS	F EY Z AW T S
PHASES	F EY Z AH Z
PHASES(2)	F EY Z IH Z
PHASIC	F EY Z IH K
PHASING	F EY Z IH NG
PHASIS	F EY Z IY Z
PHASMID	F AE Z M AH D
PHASMIDS	F AE Z M AH D Z
PHAT	F AE T
PHATIC	F AE T AH K
PHATICALLY	F AE T AH K AE L IY
PHEASANT	F EH Z AH N T
PHEASANTS	F EH Z AH N T S
PHELLEM	F EH L AH M
PHELLEMS	F EH L AH M Z
PHELLODERM	F EH L AH D AH R M
PHELLODERMS	F EH L AH D AH R M Z
PHELLOGEN	F EH L AH JH AH N
PHELLOGENS	F EH L AH JH AH N Z
PHELONIA	F AH L OW N Y AH
PHELONION	F AH L OW N IY AH N
PHELONIONS	F AH L OW N IY AH N Z
PHENACAINE	F EH N AH K EY N
PHENACAINES	F EH N AH K EY N Z
PHENACETIN	F AH N AE S AH T AH N
PHENACETINS	F AH N AE S AH T AH N Z
PHENACITE	F EH N AH S AY T
PHENACITES	F EH N AH S AY T S
PHENAKITE	F EH N AH K AY T
PHENAKITES	F EH N AH K AY T S
PHENANTHRENE	F EH N AH N TH R IY N
PHENANTHRENES	F EH N AH N TH R IY N Z
PHENATE	F IY N EY T
PHENATES	F IY N EY T S
PHENAZIN	F EH N AH Z AH N
PHENAZINE	F EH N AH Z AY N
PHENAZINES	F EH N AH Z AY N Z
PHENAZINS	F EH N AH Z AH N Z
PHENCYCLIDINE	F EH N S IH K L AH D AY N
PHENCYCLIDINES	F EH N S IH K L AH D AY N Z
PHENETIC	F EH N AH T AH K
PHENETICIST	F EH N AH T IH S AH S T
PHENETICISTS	F AH N EH T AH S AH S T S
PHENETICS	F EH N AH T AH S Z
PHENETOL	F EH N AH T AH L
PHENETOLS	F EH N AH T AH L Z
PHENIX	F EH N IH K S
PHENIXES	F EH N AH K S
PHENMETRAZINE	F EH N M EH T R AH Z AY N
PHENMETRAZINES	F EH N M EH T R AH Z AY N Z
PHENOBARBITAL	F EH N AH B AA R B AH T AH L
PHENOBARBITALS	F EH N AH B AA R B AH T AH L Z
PHENOBARBITONE	F AH N AH B AA R B AH T OW N
PHENOBARBITONES	F AH N AH B AA R B AH T OW N Z
PHENOCOPIES	F AH N AA K AH P AY Z
PHENOCOPY	F AH N AA K AH P IY
PHENOCRYST	F AH N AA K R AH S T
PHENOCRYSTIC	F AH N AA K R AH S T AH K
PHENOCRYSTS	F AH N AA K R AH S T S
PHENOL	F IY N AA L
PHENOL(2)	F EH N AH L
PHENOLATE	F EH N AH L EY T
PHENOLATED	F EH N AH L EY T AH D
PHENOLATES	F EH N AH L EY T S
PHENOLIC	F AH N AA L IH K
PHENOLICS	F EH N AH L AH S Z
PHENOLOGICAL	F AH N AA L AH JH IH S AH L
PHENOLOGICALLY	F EH N AH L AA JH AH K AE L IY
PHENOLOGIES	F AH N AA L AH JH AY Z
PHENOLOGY	F AH N AA L AH JH IY
PHENOLPHTHALEIN	F IY N AA L F TH EY L AH N
PHENOLPHTHALEIN(2)	F EH N AA L F TH EY L AH N
PHENOLPHTHALEINS	F AH N OW L F TH AH L IY N Z
PHENOLS	F EH N AH L Z
PHENOM	F EH N AH M
PHENOMENA	F AH N AA M AH N AH
PHENOMENAL	F AH N AA M AH N AH L
PHENOMENALISM	F IH N AA M AH N AH L IH Z AH M
PHENOMENALISMS	F IH N AA M AH N AH L IH Z AH M Z
PHENOMENALIST	F IH N AA M AH N AH L IH S T
PHENOMENALISTIC	F IH N AA M AH N AH L IH S T IH K
PHENOMENALISTICALLY	F IH N AA M AH N AH L IH S T IH K AH L IY
PHENOMENALISTS	F IH N AA M AH N AH L IH S T S
PHENOMENALLY	F AH N AA M AH N AH L IY
PHENOMENAS	F IH N AA M AH N AH Z
PHENOMENOLOGICAL	F IH N AA M AH N AH L AA JH IH K AH L
PHENOMENOLOGICALLY	F IH N AA M AH N AH L AA JH IH K AH L IY
PHENOMENOLOGIES	F EH N AH M AH N AA L AH JH AY Z
PHENOMENOLOGIST	F EH N AH M AH N AA L AH JH AH S T
PHENOMENOLOGISTS	F EH N AH M AH N AA L AH JH AH S T S
PHENOMENOLOGY	F AH N AA M AH N AA L AA G IY
PHENOMENON	F AH N AA M AH N AA N
PHENOMENONS	F IH N AA M AH N AA N Z
PHENOMS	F EH N AH M Z
PHENOTHIAZINE	F IY N OW TH AY AH Z IY N
PHENOTHIAZINES	F IY N OW TH AY AH Z IY N Z
PHENOTYPE	F IY N AH T AY P
PHENOTYPES	F IY N AH T AY P S
PHENOTYPIC	F IY N AH T IH P IH K
PHENOTYPICAL	F AH N AA T AH P IH S AH L
PHENOTYPICALLY	F EH N AH T IH P AH K AE L IY
PHENOXIDE	F EH N AH K S AY D
PHENOXIDES	F EH N AH K S AY D Z
PHENOXY	F AH N AA K S IY
PHENTOLAMINE	F EH N T AA L AH M AY N
PHENTOLAMINES	F EH N T AA L AH M AY N Z
PHENYL	F EH N AH L
PHENYLALANINE	F AH N AH L AE L AH N AY N
PHENYLALANINES	F AH N AH L AE L AH N AY N Z
PHENYLBUTAZONE	F AH N AH L B Y UW T AH Z OW N
PHENYLBUTAZONES	F AH N AH L B Y UW T AH Z OW N Z
PHENYLEPHRINE	F AH N IH L AH F R AY N
PHENYLEPHRINES	F AH N IH L AH F R AY N Z
PHENYLETHYLAMINE	F AH N AH L AH TH IH L AH M AY N
PHENYLETHYLAMINES	F AH N AH L AH TH IH L AH M AY N Z
PHENYLIC	F EH N AH L AH K
PHENYLKETONURIA	F AH N IH L K AH T AH N Y UH R IY AH
PHENYLKETONURIAS	F AH N IH L K AH T AH N Y UH R IY AH Z
PHENYLKETONURIC	F AH N IH L K AH T AA N Y AH R AH K
PHENYLKETONURICS	F AH N IH L K AH T AA N Y AH R AH S Z
PHENYLPROPANOLAMINE	F AH N AH L P R AH P AH N AA L AH M AY N
PHENYLPROPANOLAMINES	F AH N AH L P R AH P AH N AA L AH M AY N Z
PHENYLS	F EH N AH L Z
PHENYLTHIOCARBAMIDE	F AH N AH L TH IY AH K AA R B AH M AY D
PHENYLTHIOCARBAMIDES	F AH N AH L TH IY AH K AA R B AH M AY D Z
PHENYLTHIOUREA	F AH N IH L TH IY AH R IY AH
PHENYLTHIOUREAS	F AH N IH L TH IY AH R IY Z
PHENYTOIN	F EH N AH T OY N
PHENYTOINS	F EH N AH T OY N Z
PHEOCHROMOCYTOMA	F IY AA K R AH M AH S IH T AH M AH
PHEOCHROMOCYTOMAS	F IY AA K R AH M AH S IH T AH M AH Z
PHEOCHROMOCYTOMATA	F IY AH K R AA M AH S AH T AA M AH T AH
PHEROMONAL	F AH R AA M AH N AH L
PHEROMONE	F EH R AH M OW N
PHEROMONES	F EH R AH M OW N Z
PHEW	F Y UW
PHI	F AY
PHIAL	F AY AH L
PHIALS	F AY AH L Z
PHILABEG	F IH L AH B AH G
PHILABEGS	F IH L AH B AH G Z
PHILADELPHUS	F IH L AH D EH L F AH S
PHILADELPHUSES	F AH L AE D AH L F Y UW Z AH Z
PHILANDER	F AH L AE N D ER
PHILANDERED	F IH L AH N D IY R D
PHILANDERER	F AH L AE N D EH R ER
PHILANDERERS	F AH L AE N D EH R ER Z
PHILANDERING	F AY L AE N D ER IH NG
PHILANDERING(2)	F AH L AE N D ER IH NG
PHILANDERS	F AH L AE N D AH R Z
PHILANTHROPIC	F IH L AH N TH R AA P IH K
PHILANTHROPICAL	F IH L AH N TH R AA P IH K AH L
PHILANTHROPICALLY	F IH L AH N TH R AA P IH K AH L IY
PHILANTHROPIES	F AH L AE N TH R AH P IY Z
PHILANTHROPIST	F AH L AE N TH R AH P AH S T
PHILANTHROPIST(2)	F IH L AE N TH R AH P IH S T
PHILANTHROPISTS	F IH L AE N TH R AH P IH S T S
PHILANTHROPOID	F AH L AE N TH R AH P OY D
PHILANTHROPOIDS	F AH L AE N TH R AH P OY D Z
PHILANTHROPY	F IH L AE N TH R AH P IY
PHILATELIC	F IH L AH T EH L AH K
PHILATELICALLY	F IH L AH T EH L AH K AE L IY
PHILATELIES	F AH L AE T AH L AY Z
PHILATELIST	F IH L AE T AH L IH S T
PHILATELISTS	F AH L AE T AH L AH S T S
PHILATELY	F IH L AE T AH L IY
PHILHARMONIC	F IH L HH AA R M AA N IH K
PHILHARMONICS	F IH L HH AA R M AA N IH K S
PHILHELLENE	F IH L HH AH L IY N
PHILHELLENES	F IH L HH AH L IY N Z
PHILHELLENIC	F IH L HH EH L AH N AH K
PHILHELLENISM	F IH L HH EH L AH N IH Z AH M
PHILHELLENISMS	F IH L HH EH L AH N AH Z AH M Z
PHILHELLENIST	F IH L HH EH L AH N AH S T
PHILHELLENISTS	F IH L HH EH L AH N AH S T S
PHILIBEG	F IH L AH B AH G
PHILIBEGS	F IH L AH B AH G Z
PHILIPPIC	F IH L IH P IH K
PHILIPPICS	F AH L IH P AH S Z
PHILISTIA	F IH L IH S T IY AH
PHILISTINE	F IH L AH S T IY N
PHILISTINES	F IH L AH S T IY N Z
PHILISTINISM	F IH L AH S T IY N IH Z AH M
PHILISTINISMS	F IH L AH S T IY N IH Z AH M Z
PHILLUMENIST	F IH L UW M AH N AH S T
PHILLUMENISTS	F IH L UW M AH N AH S T S
PHILODENDRA	F IH L AH D EH N D R AH
PHILODENDRON	F IH L AH D EH N D R AH N
PHILODENDRONS	F IH L AH D EH N D R AH N Z
PHILOLOGICAL	F IH L AH L AA JH IH K AH L
PHILOLOGICALLY	F IH L AH L AA JH IH K AH L IY
PHILOLOGIES	F AH L AA L AH JH IY Z
PHILOLOGIST	F AH L AA L AH JH AH S T
PHILOLOGISTS	F AH L AA L AH JH AH S T S
PHILOLOGY	F AH L AA L AH JH IY
PHILOMEL	F IH L AH M AH L
PHILOMELS	F IH L AH M AH L Z
PHILOPROGENITIVE	F AH L AA P R AH JH EH N AH T AH V
PHILOPROGENITIVENESS	F AH L AH P R AH JH EH N AH T AY V N AH S
PHILOPROGENITIVENESSES	F AH L AH P R AA JH AH N AH T IH V AH N EH S AH Z
PHILOSOPHE	F IH L AH S AH F
PHILOSOPHER	F AH L AA S AH F ER
PHILOSOPHERS	F AH L AA S AH F ER Z
PHILOSOPHES	F IH L AH S AH F S
PHILOSOPHIC	F IH L AH S AA F IH K
PHILOSOPHICAL	F IH L AH S AA F IH K AH L
PHILOSOPHICALLY	F IH L AH S AA F IH K AH L IY
PHILOSOPHICALLY(2)	F IH L AH S AA F IH K L IY
PHILOSOPHIES	F AH L AA S AH F IY Z
PHILOSOPHISE	F AH L AA S AH F AY Z
PHILOSOPHISED	F AH L AA S AH F IY Z D
PHILOSOPHISES	F AH L AA S AH F IY Z IH Z
PHILOSOPHISING	F AH L AA S AH F IY Z IH NG
PHILOSOPHIZE	F AH L AA S AH F AY Z
PHILOSOPHIZED	F AH L AA S AH F AY Z D
PHILOSOPHIZER	F AH L AA S AH F AY Z ER
PHILOSOPHIZERS	F AH L AA S AH F AY Z ER Z
PHILOSOPHIZES	F AH L AA S AH F AY Z IH Z
PHILOSOPHIZING	F AH L AA S AH F AY Z IH NG
PHILOSOPHY	F AH L AA S AH F IY
PHILTER	F IH L T AH R
PHILTERED	F IH L T IY R D
PHILTERING	F IH L T IY R AH NG
PHILTERS	F IH L T AH R Z
PHILTRA	F IH L T R AH
PHILTRE	F IH L T AH R
PHILTRED	F IH L T AH R D
PHILTRES	F IH L T AH R Z
PHILTRING	F IH L T R AH NG
PHILTRUM	F IH L T R AH M
PHIMOSES	F AH M OW Z AH Z
PHIMOSIS	F AY M OW S AH S
PHIMOTIC	F IH M AH T AH K
PHIS	F AY Z
PHIZ	F IH Z
PHIZES	F AY Z AH Z
PHLEBITIDES	F L EH B AH T AY D Z
PHLEBITIS	F L AH B AY T IH S
PHLEBOGRAM	F L AH B AA G R AH M
PHLEBOGRAMS	F L AH B AA G R AH M Z
PHLEBOGRAPHIC	F L AH B AA G R AH F AH K
PHLEBOGRAPHIES	F L AH B AA G R AH F AY Z
PHLEBOGRAPHY	F L AH B AA G R AH F IY
PHLEBOLOGIES	F L AH B AA L AH JH AY Z
PHLEBOLOGY	F L AH B AA L AH JH IY
PHLEBOTOMIES	F L AH B AA T AH M AY Z
PHLEBOTOMIST	F L AH B AA T AH M AH S T
PHLEBOTOMISTS	F L AH B AA T AH M AH S T S
PHLEBOTOMY	F L AH B AA T AH M IY
PHLEGM	F L EH M
PHLEGMATIC	F L EH G M AE T IH K
PHLEGMATICALLY	F L EH G M AE T AH K AE L IY
PHLEGMIER	F L EH G M AY AH R
PHLEGMIEST	F L EH G M AY AH S T
PHLEGMS	F L EH M Z
PHLEGMY	F L EH M IY
PHLOEM	F L OW EH M
PHLOEMS	F L OW EH M Z
PHLOGISTIC	F L AA JH AH S T AH K
PHLOGISTON	F L AH JH IH S T AH N
PHLOGISTONS	F L AH JH IH S T AH N Z
PHLOGOPITE	F L AA G AH P AY T
PHLOGOPITES	F L AA G AH P AY T S
PHLOX	F L AA K S
PHLOXES	F L AA K S
PHOBIA	F OW B IY AH
PHOBIAS	F OW B IY AH Z
PHOBIC	F OW B IH K
PHOBICS	F AA B AH S Z
PHOCINE	F AH S AY N
PHOEBE	F IY B IY
PHOEBES	F OW AH B Z
PHOEBUS	F IY B AH S
PHOEBUSES	F OW AH B Y UW Z AH Z
PHOENIX	F IY N IH K S
PHOENIXES	F IY N IH K S IH Z
PHOENIXLIKE	F IY N IH K S L AY K
PHON	F AA N
PHONAL	F OW N AH L
PHONATE	F OW N AH T
PHONATED	F OW N EY T IH D
PHONATES	F OW N AH T S
PHONATING	F OW N EY T IH NG
PHONATION	F OW N EY SH AH N
PHONATIONS	F OW N EY SH AH N Z
PHONE	F OW N
PHONED	F OW N D
PHONEMATIC	F OW N IY M AH T IH K
PHONEME	F OW N IY M
PHONEMES	F OW N IY M Z
PHONEMIC	F AH N IY M IH K
PHONEMICALLY	F OW N IY M IH K AH L IY
PHONEMICIST	F OW N IY M IH K IH S T
PHONEMICISTS	F OW N IY M IH K IH S T S
PHONEMICS	F OW N IY M IH K S
PHONES	F OW N Z
PHONETIC	F AH N EH T IH K
PHONETICALLY	F AH N EH T IH K L IY
PHONETICIAN	F AA N AH T IH S IY AH N
PHONETICIANS	F AA N AH T IH S IY AH N Z
PHONETICS	F AH N EH T IH K S
PHONEY	F OW N IY
PHONEYED	F OW N IY D
PHONEYING	F OW N IY IH NG
PHONEYS	F OW N IY Z
PHONIC	F AA N IH K
PHONICALLY	F AA N IH K AH L IY
PHONICS	F AA N IH K S
PHONIED	F OW N IY D
PHONIER	F OW N IY ER
PHONIES	F OW N IY Z
PHONIEST	F OW N IY AH S T
PHONILY	F OW N IY L IY
PHONINESS	F OW N IY N AH S
PHONINESSES	F OW N IY N AH S IH Z
PHONING	F OW N IH NG
PHONO	F OW N OW
PHONOCARDIOGRAM	F AH N AH K AA R D IY AA G R AH M
PHONOCARDIOGRAMS	F AH N AH K AA R D IY AA G R AH M Z
PHONOCARDIOGRAPH	F AH N AH K AA R D IY AA G R AH F
PHONOCARDIOGRAPHIC	F AH N AH K AA R D IY AA G R AH F AH K
PHONOCARDIOGRAPHIES	F AH N AH K AA R D IY AA G R AH F AY Z
PHONOCARDIOGRAPHS	F AH N AH K AA R D IY AA G R AH F S
PHONOCARDIOGRAPHY	F AH N AH K AA R D IY AA G R AH F IY
PHONOGRAM	F AH N AA G R AH M
PHONOGRAMIC	F AH N AA G R AH M AH K
PHONOGRAMICALLY	F AH N AA G R AE M AH K AE L IY
PHONOGRAMMIC	F AH N AA G R AH M AH K
PHONOGRAMMICALLY	F AA N AH G R AE M AH K AE L IY
PHONOGRAMS	F AH N AA G R AH M Z
PHONOGRAPH	F OW N AH G R AE F
PHONOGRAPHER	F OW N AH G R AE F ER
PHONOGRAPHERS	F OW N AH G R AE F ER Z
PHONOGRAPHIC	F OW N AH G R AE F IH K
PHONOGRAPHICALLY	F OW N AH G R AE F IH K AH L IY
PHONOGRAPHIES	F OW N AH G R AE F IY Z
PHONOGRAPHS	F OW N AH G R AE F S
PHONOGRAPHY	F OW N AH G R AE F IY
PHONOLITE	F AA N AH L AY T
PHONOLITES	F AA N AH L AY T S
PHONOLOGIC	F OW N AH L AA JH IH K
PHONOLOGICAL	F OW N AH L AA JH IH K AH L
PHONOLOGICALLY	F OW N AH L AA JH IH K AH L IY
PHONOLOGIES	F OW N AA L AH JH IY Z
PHONOLOGIST	F OW N AA L AH JH AH S T
PHONOLOGISTS	F OW N AA L AH JH AH S T S
PHONOLOGY	F AH N AA L AH JH IY
PHONON	F AA N AH N
PHONONS	F AA N AH N Z
PHONOS	F AA N AH Z
PHONOTACTIC	F AA N AH T AH K T AH K
PHONOTACTICS	F AA N AH T AE K T AH S Z
PHONS	F AA N Z
PHONY	F OW N IY
PHONYING	F OW N IY IH NG
PHOOEY	F UW IY
PHORATE	F AH R EY T
PHORATES	F AH R EY T S
PHORONID	F AO R AH N AH D
PHORONIDS	F AO R AH N AH D Z
PHOSGENE	F AA Z JH IY N
PHOSGENES	F AA Z JH IY N Z
PHOSPHATASE	F AA S AH T EY Z
PHOSPHATASES	F AA S AH T EY Z AH Z
PHOSPHATE	F AA S F EY T
PHOSPHATES	F AA S F EY T S
PHOSPHATIC	F AA S F AE T IH K
PHOSPHATIDE	F AA S AH T AY D
PHOSPHATIDES	F AA S AH T AY D Z
PHOSPHATIDIC	F AA S F EY T AH D IH K
PHOSPHATIDYL	F AA S AE T AH D AH L
PHOSPHATIDYLCHOLINE	F AA S AH T AH D IH L CH AH L AY N
PHOSPHATIDYLCHOLINES	F AA S AH T AH D IH L CH AH L AY N Z
PHOSPHATIDYLETHANOLAMINE	F AA S AH T AH D AH L AH TH AH N AA L AH M AY N
PHOSPHATIDYLETHANOLAMINES	F AA S AH T AH D AH L AH TH AH N AA L AH M AY N Z
PHOSPHATIDYLS	F AA S AE T AH D AH L Z
PHOSPHATIZATION	F AA S F EY T AH Z EY SH AH N
PHOSPHATIZATIONS	F AA S F EY T AH Z EY SH AH N Z
PHOSPHATIZE	F AA S F EY T AY Z
PHOSPHATIZED	F AA S F EY T AY Z D
PHOSPHATIZES	F AA S F EY T AY Z IH Z
PHOSPHATIZING	F AA S F EY T AY Z IH NG
PHOSPHATURIA	F AA S AH T Y UH R IY AH
PHOSPHATURIAS	F AA S AH T Y UH R IY AH Z
PHOSPHENE	F AA S IY N
PHOSPHENES	F AA S IY N Z
PHOSPHID	F AA S AH D
PHOSPHIDE	F AA S F AY D
PHOSPHIDES	F AA S F AY D Z
PHOSPHIDS	F AA S AH D Z
PHOSPHIN	F AA S AH N
PHOSPHINE	F AA S F IY N
PHOSPHINES	F AA S F IY N Z
PHOSPHINS	F AA S AH N Z
PHOSPHITE	F AA S AY T
PHOSPHITES	F AA S AY T S
PHOSPHOCREATINE	F AA S AA K R AH T AY N
PHOSPHOCREATINES	F AA S AA K R AH T AY N Z
PHOSPHODIESTERASE	F AA S AH D IY S T AH R EY Z
PHOSPHODIESTERASES	F AA S AH D IY S T AH R EY Z AH Z
PHOSPHOENOLPYRUVATE	F AA S OW AH N OW L P AH R AH V EY T
PHOSPHOENOLPYRUVATES	F AA S OW AH N OW L P AH R AH V EY T S
PHOSPHOFRUCTOKINASE	F AA S AH F R AH K T AA K AH N EY Z
PHOSPHOFRUCTOKINASES	F AA S AH F R AH K T AA K AH N EY Z AH Z
PHOSPHOGLUCOMUTASE	F AA S AH G L AH K AA M Y AH T EY Z
PHOSPHOGLUCOMUTASES	F AA S AH G L AH K AA M Y AH T EY Z AH Z
PHOSPHOGLYCERALDEHYDE	F AA S AH G L AH S AH R AE L D AH HH AY D
PHOSPHOGLYCERALDEHYDES	F AA S AH G L AH S AH R AE L D AH HH AY D Z
PHOSPHOGLYCERATE	F AA S AA G L IH S AH R EY T
PHOSPHOGLYCERATES	F AA S AA G L IH S AH R EY T S
PHOSPHOKINASE	F AA S AA K AH N EY Z
PHOSPHOKINASES	F AA S AA K AH N EY Z AH Z
PHOSPHOLIPASE	F AA S AA L AH P EY Z
PHOSPHOLIPASES	F AA S AA L AH P EY Z AH Z
PHOSPHOLIPID	F AA S AA L AH P AH D
PHOSPHOLIPIDS	F AA S AA L AH P AH D Z
PHOSPHOMONOESTERASE	F AA S AH M AH N OW EH S T AH R EY Z
PHOSPHOMONOESTERASES	F AA S AH M AH N OW EH S T AH R EY Z AH Z
PHOSPHONIUM	F AA S OW N IY AH M
PHOSPHONIUMS	F AA S OW N IY AH M Z
PHOSPHOPROTEIN	F AA S AA P R AH T IY N
PHOSPHOPROTEINS	F AA S AA P R AH T IY N Z
PHOSPHOR	F AA S F AO R
PHOSPHORE	F AA S AH R
PHOSPHORES	F AA S AH R Z
PHOSPHORESCE	F AA S F AH R EH S
PHOSPHORESCED	F AA S F AH R EH S T
PHOSPHORESCENCE	F AA S F ER EH S AH N S
PHOSPHORESCENCES	F AA S F AH R EH S AH N S IH Z
PHOSPHORESCENT	F AA S F AH R EH S AH N T
PHOSPHORESCENTLY	F AA S F AH R EH S AH N T L IY
PHOSPHORESCES	F AA S F AH R EH S IH Z
PHOSPHORESCING	F AA S F AH R EH S IH NG
PHOSPHORIC	F AA S F ER IH K
PHOSPHORITE	F AA S F ER AY T
PHOSPHORITES	F AA S F ER AY T S
PHOSPHORITIC	F AA S AH R AH T AH K
PHOSPHOROLYSES	F AA S AO R AH L AY Z AH Z
PHOSPHOROLYSIS	F AA S AH R AA L AH S AH S
PHOSPHOROLYTIC	F AA S AO R AH L AH T AH K
PHOSPHOROUS	F AA S F ER AH S
PHOSPHORS	F AA S F AO R Z
PHOSPHORUS	F AA S F ER AH S
PHOSPHORUSES	F AA S F AH R AH S IH Z
PHOSPHORYL	F AA S AH R AH L
PHOSPHORYLASE	F AA S AO R AH L EY Z
PHOSPHORYLASES	F AA S AO R AH L EY Z AH Z
PHOSPHORYLATE	F AA S F ER IY L EY T
PHOSPHORYLATED	F AA S F ER IY L EY T IH D
PHOSPHORYLATES	F AA S F ER IY L EY T S
PHOSPHORYLATING	F AA S F ER IY L EY T IH NG
PHOSPHORYLATION	F AA S F ER IY L EY SH AH N
PHOSPHORYLATIONS	F AA S F ER IY L EY SH AH N Z
PHOSPHORYLATIVE	F AA S F ER IY L EY T IH V
PHOSPHORYLS	F AA S AH R AH L Z
PHOT	F AA T
PHOTIC	F AA T AH K
PHOTICALLY	F AA T AH K AE L IY
PHOTICS	F AA T AH S Z
PHOTO	F OW T OW
PHOTOAUTOTROPH	F AA T OW AH T AA T R AH F
PHOTOAUTOTROPHIC	F AA T OW AH T AA T R AH F AH K
PHOTOAUTOTROPHICALLY	F AH T OW AH T AA T R AA F AH K AE L IY
PHOTOAUTOTROPHS	F AA T OW AH T AA T R AH F S
PHOTOBIOLOGIC	F OW T OW B AY AH L AA JH IH K
PHOTOBIOLOGICAL	F OW T OW B AY AH L AA JH IH K AH L
PHOTOBIOLOGIES	F OW T OW B AY AA L AH JH IY Z
PHOTOBIOLOGIST	F OW T OW B AY AA L AH JH AH S T
PHOTOBIOLOGISTS	F OW T OW B AY AA L AH JH AH S T S
PHOTOBIOLOGY	F OW T OW B AY AA L AH JH IY
PHOTOCATHODE	F OW T OW K AE TH OW D
