CR	S IY R
POLYCRYSTALLINE	P OW L IY K R IH S T AH L AH N
POLYCRYSTALS	P OW L IY K R IH S T AH L Z
POSTCRANIAL	P OW S T K R EY N IY AH L
POSTCRANIALLY	P OW S T K R EY N IY AH L IY
POSTCRASH	P OW S T K R AE SH
POSTCRISES	P OW S T K R AY S IY Z
POSTCRISIS	P OW S T K R AY S AH S
POSTSCRIPT	P OW S K R IH P T
POSTSCRIPT(2)	P OW S T S K R IH P T
POSTSCRIPTS	P OW S T S K R IH P T S
POSTTRANSCRIPTIONAL	P OW S T R AE N S K R IH P SH AH N AH L
PRECRASH	P R IY K R AE SH
PRECREASE	P R IY K R IY S
PRECREASED	P R IY K R IY S T
PRECREASES	P R IY K R IY S IH Z
PRECREASING	P R IY K R IY S IH NG
PRECRISIS	P R IY K R AY S AH S
PRECRITICAL	P R IY K R IH T IH K AH L
PRESCREEN	P R IY S K R IY N
PRESCREENED	P R IY S K R IY N D
PRESCREENING	P R IY S K R IY N IH NG
PRESCREENINGS	P R IY S K R IY N IH NG Z
PRESCREENS	P R IY S K R IY N Z
PRESCRIBE	P R AH S K R AY B
PRESCRIBE(2)	P R IY S K R AY B
PRESCRIBED	P R IY S K R AY B D
PRESCRIBER	P R IY S K R AY B ER
PRESCRIBERS	P R IY S K R AY B ER Z
PRESCRIBES	P R IY S K R AY B Z
PRESCRIBING	P R IY S K R AY B IH NG
PRESCRIPT	P R IY S K R IH P T
PRESCRIPTION	P R AH S K R IH P SH AH N
PRESCRIPTIONS	P R AH S K R IH P SH AH N Z
PRESCRIPTIVE	P R IY S K R IH P T IH V
PRESCRIPTIVELY	P R IY S K R IH P T IH V L IY
PRESCRIPTS	P R IY S K R IH P T S
PROCRASTINATE	P R AH K R AE S T AH N EY T
PROCRASTINATED	P R AH K R AE S T AH N EY T AH D
PROCRASTINATES	P R AH K R AE S T AH N EY T S
PROCRASTINATING	P R AH K R AE S T AH N EY T IH NG
PROCRASTINATION	P R AH K R AE S T AH N EY SH AH N
PROCRASTINATIONS	P R AH K R AE S T AH N EY SH AH N Z
PROCRASTINATOR	P R AH K R AE S T AH N EY T ER
PROCRASTINATORS	P R AH K R AE S T AH N EY T ER Z
PROCREANT	P R OW K R IY AH N T
PROCREATE	P R OW K R IY EY T
PROCREATED	P R OW K R IY EY T AH D
PROCREATES	P R OW K R IY EY T S
PROCREATING	P R OW K R IY EY T IH NG
PROCREATION	P R OW K R IY EY SH AH N
PROCREATIONS	P R OW K R IY EY SH AH N Z
PROCREATIVE	P R OW K R IY EY T IH V
PROCREATOR	P R OW K R IY EY T ER
PROCREATORS	P R OW K R IY EY T ER Z
PROCRUSTEAN	P R OW K R AH S T IY AH N
PROCRYPTIC	P R OW K R IH P T IH K
PROSCRIBE	P R OW S K R AY B
PROSCRIBED	P R OW S K R AY B D
PROSCRIBER	P R OW S K R AY B ER
PROSCRIBERS	P R OW S K R AY B ER Z
PROSCRIBES	P R OW S K R AY B Z
PROSCRIBING	P R OW S K R AY B IH NG
PROSCRIPTION	P R OW S K R IH P SH AH N
PROSCRIPTIONS	P R OW S K R IH P SH AH N Z
PROSCRIPTIVE	P R OW S K R IH P T IH V
PROSCRIPTIVELY	P R OW S K R IH P T IH V L IY
QUASICRYSTAL	K W AH S IH K R IH S T AH L
QUASICRYSTALLINE	K W AH S AH K R IH S T AH L AY N
QUASICRYSTALS	K W AA S AH K R IH S T AH L Z
QUINACRINE	K W IH N AH K R AY N
QUINACRINES	K W IH N AH K R AY N Z
REACCREDIT	R IY AH K R EH D AH T
REACCREDITATION	R IY AH K R EH D AH T EY SH AH N
REACCREDITATIONS	R IY AH K R EH D AH T EY SH AH N Z
REACCREDITED	R IY AH K R EH D AH T IH D
REACCREDITING	R IY AH K R EH D AH T IH NG
REACCREDITS	R IY AH K R EH D AH T S
RECONSECRATE	R IY K AA N S AH K R EY T
RECONSECRATED	R IY K AA N S AH K R EY T IH D
RECONSECRATES	R IY K AA N S AH K R EY T S
RECONSECRATING	R IY K AA N S AH K R EY T IH NG
RECONSECRATION	R IY K AA N S AH K R EY SH AH N
RECONSECRATIONS	R IY K AA N S AH K R EY SH AH N Z
RECRATE	R IY K R EY T
RECRATED	R IY K R EY T IH D
RECRATES	R IY K R EY T S
RECRATING	R IY K R EY T IH NG
RECREANT	R IH K R IY AH N T
RECREANTS	R IH K R IY N T S
RECREATE	R EH K R IY EY T
RECREATE(2)	R IY K R IY EY T
RECREATED	R EH K R IY EY T IH D
RECREATED(2)	R IY K R IY EY T IH D
RECREATES	R EH K R IY EY T S
RECREATES(2)	R IY K R IY EY T S
RECREATING	R EH K R IY EY T IH NG
RECREATING(2)	R IY K R IY EY T IH NG
RECREATION	R EH K R IY EY SH AH N
RECREATIONAL	R EH K R IY EY SH AH N AH L
RECREATIONIST	R EH K R IY EY SH AH N IH S T
RECREATIONISTS	R EH K R IY EY SH AH N IH S T S
RECREATIONS	R EH K R IY EY SH AH N Z
RECREATIVE	R EH K R IY EY T IH V
RECRIMINATE	R IH K R IH M IH N EY T
RECRIMINATED	R IY K R IH M AH N EY T IH D
RECRIMINATES	R IY K R IH M AH N AH T S
RECRIMINATING	R IY K R IH M AH N EY T IH NG
RECRIMINATION	R IH K R IH M IH N EY SH AH N
RECRIMINATIONS	R IH K R IH M IH N EY SH AH N Z
RECRIMINATIVE	R IY K R IH M AH N AH T IH V
RECRIMINATORY	R IY K R IH M AH N AH T OW R IY
RECROSS	R IY K R AO S
RECROSSED	R IY K R AO S T
RECROSSES	R IY K R AO S IH Z
RECROSSING	R IY K R AO S IH NG
RECROWN	R IY K R AW N
RECROWNED	R IY K R AW N D
RECROWNING	R IY K R AW N IH NG
RECROWNS	R IY K R AW N Z
RECRUDESCE	R IH K R AH D EH S
RECRUDESCED	R IH K R AH D EH S T
RECRUDESCENCE	R IH K R AH D EH S AH N S
RECRUDESCENCES	R IH K R AH D AH S EH N S AH Z
RECRUDESCENT	R IY K R UW D S EH N T
RECRUDESCES	R IH K R AH D EH S AH Z
RECRUDESCING	R IH K R AH D EH S AH NG
RECRUIT	R AH K R UW T
RECRUIT(2)	R IH K R UW T
RECRUIT(3)	R IY K R UW T
RECRUITED	R IH K R UW T IH D
RECRUITED(2)	R IY K R UW T IH D
RECRUITER	R IH K R UW T ER
RECRUITERS	R IH K R UW T ER Z
RECRUITING	R AH K R UW T IH NG
RECRUITING(2)	R IH K R UW T IH NG
RECRUITING(3)	R IY K R UW T IH NG
RECRUITMENT	R AH K R UW T M AH N T
RECRUITMENT(2)	R IH K R UW T M AH N T
RECRUITMENT(3)	R IY K R UW T M AH N T
RECRUITMENTS	R IH K R UW T M AH N T S
RECRUITS	R AH K R UW T S
RECRUITS(2)	R IH K R UW T S
RECRUITS(3)	R IY K R UW T S
RECRYSTALLIZATION	R IY K R IH S T AH L AH Z EY SH AH N
RECRYSTALLIZATIONS	R IY K R IH S T AH L AH Z EY SH AH N Z
RECRYSTALLIZE	R IY K R IH S T AH L AY Z
RECRYSTALLIZED	R IY K R IH S T AH L AY Z D
RECRYSTALLIZES	R IY K R IH S T AH L AY Z IH Z
RECRYSTALLIZING	R IY K R IH S T AH L AY Z IH NG
REDESCRIBE	R IY D IY S K R AY B
REDESCRIBED	R IY D IY S K R AY B D
REDESCRIBES	R IY D IY S K R AY B Z
REDESCRIBING	R IY D IY S K R AY B IH NG
REDESCRIPTION	R IY D IY S K R IH P SH AH N
REDESCRIPTIONS	R IY D IY S K R IH P SH AH N Z
RESCREEN	R IY S K R IY N
RESCREENED	R IY S K R IY N D
RESCREENING	R IY S K R IY N IH NG
RESCREENS	R IY S K R IY N Z
RESCRIPT	R IY S K R IH P T
RESCRIPTS	R IY S K R IH P T S
RICRAC	R IH K R AH K
RICRACS	R IH K R AH S
ROTORCRAFT	R OW T ER K R AE F T
SACRA	S AE K R AH
SACRAL	S EY K R AH L
SACRALS	S EY K R AH L Z
SACRAMENT	S AE K R AH M AH N T
SACRAMENTAL	S AE K R AH M AH N T AH L
SACRAMENTALISM	S AE K R AH M AH N T AH L IH Z AH M
SACRAMENTALISMS	S AE K R AH M AH N T AH L IH Z AH M Z
SACRAMENTALIST	S AE K R AH M AH N T AH L IH S T
SACRAMENTALISTS	S AE K R AH M AH N T AH L IH S T S
SACRAMENTALLY	S AE K R AH M AH N T AH L IY
SACRAMENTALS	S AE K R AH M AH N T AH L Z
SACRAMENTS	S AE K R AH M AH N T S
SACRARIA	S AE K R AE R IY AH
SACRARIUM	S AE K R AE R IY AH M
SACRED	S EY K R AH D
SACRED(2)	S EY K R IH D
SACREDLY	S EY K R AH D L IY
SACREDNESS	S EY K R IH D N IH S
SACREDNESSES	S EY K R AH D N AH S IH Z
SACRIFICE	S AE K R AH F AY S
SACRIFICED	S AE K R AH F AY S T
SACRIFICER	S AE K R AH F AY S ER
SACRIFICERS	S AE K R AH F AY S ER Z
SACRIFICES	S AE K R AH F AY S IH Z
SACRIFICIAL	S AE K R AH F IH SH AH L
SACRIFICIALLY	S AE K R AH F IH SH AH L IY
SACRIFICING	S AE K R AH F AY S IH NG
SACRILEGE	S AE K R AH L AH JH
SACRILEGES	S AE K R AH L IH JH IH Z
SACRILEGIOUS	S AE K R AH L EH JH IH S
SACRILEGIOUSLY	S AE K R AH L IH JH IY AH S L IY
SACRILEGIOUSNESS	S AE K R AH L IH JH IY AH S N AH S
SACRILEGIOUSNESSES	S AE K R AH L IH JH IY AH S N AH S IH Z
SACRING	S EY K R AH NG
SACRINGS	S AE K R AH NG Z
SACRIST	S AE K R AH S T
SACRISTAN	S AE K R IH S T AH N
SACRISTANS	S AE K R IH S T AH N Z
SACRISTIES	S AE K R IH S T AY Z
SACRISTS	S AE K R AH S T S
SACRISTY	S AE K R IH S T IY
SACROILIAC	S AE K R OY L IY AH K
SACROILIACS	S AE K R OY L IY AH S
SACROSANCT	S AE K R OW S AE NG K T
SACROSANCTITIES	S AE K R OW S AE NG K T AH T IY Z
SACROSANCTITY	S AE K R OW S AE NG K T AH T IY
SACRUM	S AE K R AH M
SACRUMS	S AE K R AH M Z
SAFECRACKER	S EY F K R AE K ER
SAFECRACKERS	S EY F K R AE K ER Z
SAFECRACKING	S EY F K R AE K IH NG
SAFECRACKINGS	S EY F K R AE K IH NG Z
SCARECROW	S K AE R K R OW
SCARECROWS	S K AE R K R OW Z
SCOUTCRAFT	S K AW T K R AE F T
SCOUTCRAFTS	S K AW T K R AE F T S
SCRABBLE	S K R AE B AH L
SCRABBLED	S K R AE B AH L D
SCRABBLER	S K R AE B L AH R
SCRABBLERS	S K R AE B L AH R Z
SCRABBLES	S K R AE B AH L Z
SCRABBLIER	S K R AE B L AY AH R
SCRABBLIEST	S K R AE B L AY AH S T
SCRABBLING	S K R AE B L AH NG
SCRABBLY	S K R AE B L IY
SCRAG	S K R AE G
SCRAGGED	S K R AE G D
SCRAGGIER	S K R AE JH AY AH R
SCRAGGIEST	S K R AE JH AY AH S T
SCRAGGING	S K R AE G AH NG
SCRAGGLIER	S K R AE G L IY ER
SCRAGGLIEST	S K R AE G L IY AH S T
SCRAGGLY	S K R AE G L IY
SCRAGGY	S K R AE G IY
SCRAGS	S K R AE G Z
SCRAICH	S K R EY CH
SCRAICHED	S K R EY CH T
SCRAICHING	S K R EY CH AH NG
SCRAICHS	S K R EY CH S
SCRAIGH	S K R EY
SCRAIGHED	S K R EY D
SCRAIGHING	S K R EY AH NG
SCRAIGHS	S K R EY Z
SCRAM	S K R AE M
SCRAMBLE	S K R AE M B AH L
SCRAMBLED	S K R AE M B AH L D
SCRAMBLER	S K R AE M B AH L ER
SCRAMBLERS	S K R AE M B AH L ER Z
SCRAMBLES	S K R AE M B AH L Z
SCRAMBLING	S K R AE M B AH L IH NG
SCRAMBLING(2)	S K R AE M B L IH NG
SCRAMJET	S K R AE M JH AH T
SCRAMJETS	S K R AE M JH AH T S
SCRAMMED	S K R AE M D
SCRAMMING	S K R AE M AH NG
SCRAMS	S K R AE M Z
SCRANNEL	S K R AE N AH L
SCRANNELS	S K R AE N AH L Z
SCRAP	S K R AE P
SCRAPBOOK	S K R AE P B UH K
SCRAPBOOKS	S K R AE P B UH K S
SCRAPE	S K R EY P
SCRAPED	S K R EY P T
SCRAPER	S K R EY P ER
SCRAPERS	S K R EY P ER Z
SCRAPES	S K R EY P S
SCRAPHEAP	S K R AE P HH IY P
SCRAPHEAPS	S K R AE P HH IY P S
SCRAPIE	S K R EY P IY
SCRAPIES	S K R EY P IY Z
SCRAPING	S K R EY P IH NG
SCRAPINGS	S K R EY P IH NG Z
SCRAPPAGE	S K R AE P IH JH
SCRAPPAGES	S K R AE P IH JH IH Z
SCRAPPED	S K R AE P T
SCRAPPER	S K R AE P ER
SCRAPPERS	S K R AE P ER Z
SCRAPPIER	S K R AE P IY ER
SCRAPPIEST	S K R AE P IY AH S T
SCRAPPILY	S K R AE P IY L IY
SCRAPPINESS	S K R AE P IY N AH S
SCRAPPINESSES	S K R AE P IY N AH S IH Z
SCRAPPING	S K R AE P IH NG
SCRAPPLE	S K R AE P AH L
SCRAPPLES	S K R AE P AH L Z
SCRAPPY	S K R AE P IY
SCRAPS	S K R AE P S
SCRATCH	S K R AE CH
SCRATCHBOARD	S K R AE CH B OW R D
SCRATCHBOARDS	S K R AE CH B OW R D Z
SCRATCHED	S K R AE CH T
SCRATCHER	S K R AE CH ER
SCRATCHERS	S K R AE CH ER Z
SCRATCHES	S K R AE CH AH Z
SCRATCHES(2)	S K R AE CH IH Z
SCRATCHIER	S K R AE CH IY ER
SCRATCHIEST	S K R AE CH IY AH S T
SCRATCHILY	S K R AE CH IY L IY
SCRATCHINESS	S K R AE CH IY N AH S
SCRATCHINESSES	S K R AE CH IY N AH S IH Z
SCRATCHING	S K R AE CH IH NG
SCRATCHY	S K R AE CH IY
SCRAWL	S K R AO L
SCRAWLED	S K R AO L D
SCRAWLER	S K R AO L ER
SCRAWLERS	S K R AO L ER Z
SCRAWLIER	S K R AO L IY ER
SCRAWLIEST	S K R AO L IY AH S T
SCRAWLING	S K R AO L IH NG
SCRAWLS	S K R AO L Z
SCRAWLY	S K R AO L IY
SCRAWNIER	S K R AO N IY ER
SCRAWNIEST	S K R AO N IY AH S T
SCRAWNINESS	S K R AO N IY N AH S
SCRAWNINESSES	S K R AO N IY N AH S IH Z
SCRAWNY	S K R AO N IY
SCREAK	S K R IY K
SCREAKED	S K R IY K T
SCREAKING	S K R IY K AH NG
SCREAKS	S K R IY K S
SCREAKY	S K R IY K IY
SCREAM	S K R IY M
SCREAMED	S K R IY M D
SCREAMER	S K R IY M ER
SCREAMERS	S K R IY M ER Z
SCREAMING	S K R IY M IH NG
SCREAMINGLY	S K R IY M IH NG L IY
SCREAMS	S K R IY M Z
SCREE	S K R IY
SCREECH	S K R IY CH
SCREECHED	S K R IY CH T
SCREECHER	S K R IY CH ER
SCREECHERS	S K R IY CH ER Z
SCREECHES	S K R IY CH IH Z
SCREECHIER	S K R IY CH IY ER
SCREECHIEST	S K R IY CH IY AH S T
SCREECHING	S K R IY CH IH NG
SCREECHY	S K R IY CH IY
SCREED	S K R IY D
SCREEDED	S K R IY D AH D
SCREEDING	S K R IY D AH NG
SCREEDS	S K R IY D Z
SCREEN	S K R IY N
SCREENABLE	S K R IY N AH B AH L
SCREENED	S K R IY N D
SCREENER	S K R IY N ER
SCREENERS	S K R IY N ER Z
SCREENING	S K R IY N IH NG
SCREENINGS	S K R IY N IH NG Z
SCREENLAND	S K R IY N L AE N D
SCREENLANDS	S K R IY N L AE N D Z
SCREENPLAY	S K R IY N P L EY
SCREENPLAYS	S K R IY N P L EY Z
SCREENS	S K R IY N Z
SCREENWRITER	S K R IY N R AY T ER
SCREENWRITERS	S K R IY N R AY T ER Z
SCREES	S K R IY Z
SCREW	S K R UW
SCREWBALL	S K R UW B AO L
SCREWBALLS	S K R UW B AO L Z
SCREWBEAN	S K R UW B IY N
SCREWBEANS	S K R UW B IY N Z
SCREWDRIVER	S K R UW D R AY V ER
SCREWDRIVERS	S K R UW D R AY V ER Z
SCREWED	S K R UW D
SCREWER	S K R UW ER
SCREWERS	S K R UW ER Z
SCREWIER	S K R UW IY ER
SCREWIEST	S K R UW IY AH S T
SCREWINESS	S K R UW IY N AH S
SCREWINESSES	S K R UW IY N AH S IH Z
SCREWING	S K R UW IH NG
SCREWLIKE	S K R UW L AY K
SCREWS	S K R UW Z
SCREWUP	S K R UW AH P
SCREWUPS	S K R UW AH P S
SCREWWORM	S K R UW W ER M
SCREWWORMS	S K R UW W ER M Z
SCREWY	S K R UW IY
SCRIBAL	S K R AY B AH L
SCRIBBLE	S K R IH B AH L
SCRIBBLED	S K R IH B AH L D
SCRIBBLER	S K R IH B L ER
SCRIBBLERS	S K R IH B L ER Z
SCRIBBLES	S K R IH B AH L Z
SCRIBBLING	S K R IH B AH L IH NG
SCRIBBLING(2)	S K R IH B L IH NG
SCRIBBLINGS	S K R IH B AH L IH NG Z
SCRIBE	S K R AY B
SCRIBED	S K R AY B D
SCRIBER	S K R AY B ER
SCRIBERS	S K R AY B ER Z
SCRIBES	S K R AY B Z
SCRIBING	S K R AY B IH NG
SCRIED	S K R AY D
SCRIES	S K R AY Z
SCRIEVE	S K R IY V
SCRIEVED	S K R IY V D
SCRIEVES	S K R IY V Z
SCRIEVING	S K R IY V AH NG
SCRIM	S K R IH M
SCRIMMAGE	S K R IH M IH JH
SCRIMMAGED	S K R IH M IH JH D
SCRIMMAGER	S K R IH M IH JH ER
SCRIMMAGERS	S K R IH M IH JH ER Z
SCRIMMAGES	S K R IH M IH JH IH Z
SCRIMMAGING	S K R IH M IH JH IH NG
SCRIMP	S K R IH M P
SCRIMPED	S K R IH M P EH D
SCRIMPER	S K R IH M P AH R
SCRIMPERS	S K R IH M P AH R Z
SCRIMPIER	S K R IH M P IH ER
SCRIMPIEST	S K R IH M P AY AH S T
SCRIMPING	S K R IH M P IH NG
SCRIMPIT	S K R IH M P IH T
SCRIMPS	S K R IH M P S
SCRIMPY	S K R IH M P IY
SCRIMS	S K R IH M Z
SCRIMSHANDER	S K R IH M Z HH AE N D ER
SCRIMSHANDERS	S K R IH M Z HH AE N D ER Z
SCRIMSHAW	S K R IH M SH AO
SCRIMSHAWED	S K R IH M SH AO D
SCRIMSHAWING	S K R IH M SH AO IH NG
SCRIMSHAWS	S K R IH M SH AO Z
SCRIP	S K R IH P
SCRIPS	S K R IH P S
SCRIPT	S K R IH P T
SCRIPTED	S K R IH P T IH D
SCRIPTER	S K R IH P T ER
SCRIPTERS	S K R IH P T ER Z
SCRIPTING	S K R IH P T IH NG
SCRIPTORIA	S K R IH P T AO R IY AH
SCRIPTORIUM	S K R IH P T AO R IY AH M
SCRIPTORIUMS	S K R IH P T AO R IY AH M Z
SCRIPTS	S K R IH P T S
SCRIPTS(2)	S K R IH P S
SCRIPTURAL	S K R IH P CH ER AH L
SCRIPTURALLY	S K R IH P CH ER AH L IY
SCRIPTURE	S K R IH P CH ER
SCRIPTURES	S K R IH P CH ER Z
SCRIPTWRITER	S K R IH P T R AY T ER
SCRIPTWRITERS	S K R IH P T R AY T ER Z
SCRIVE	S K R AY V
SCRIVED	S K R AY V D
SCRIVENER	S K R IH V N ER
SCRIVENERS	S K R IH V N ER Z
SCRIVES	S K R AY V Z
SCRIVING	S K R AY V AH NG
SCROD	S K R AA D
SCRODS	S K R AA D Z
SCROFULA	S K R AA F Y UW L AH
SCROFULAS	S K R AA F Y UW L AH Z
SCROFULOUS	S K R AA F Y AH L AH S
SCROGGIER	S K R AA JH AY AH R
SCROGGIEST	S K R AA JH AY AH S T
SCROGGY	S K R AA G IY
SCROLL	S K R OW L
SCROLLED	S K R AA L D
SCROLLING	S K R AA L AH NG
SCROLLS	S K R OW L Z
SCROLLWORK	S K R AA L W AH R K
SCROLLWORKS	S K R AA L W AH R K S
SCROOCH	S K R UW CH
SCROOCHED	S K R UW CH T
SCROOCHES	S K R UW CH AH Z
SCROOCHING	S K R UW CH AH NG
SCROOGE	S K R UW JH
SCROOGES	S K R UW JH AH Z
SCROOP	S K R UW P
SCROOPED	S K R UW P T
SCROOPING	S K R UW P AH NG
SCROOPS	S K R UW P S
SCROOTCH	S K R UW CH
SCROOTCHED	S K R UW CH T
SCROOTCHES	S K R UW CH AH Z
SCROOTCHING	S K R UW CH AH NG
SCROTA	S K R AA T AH
SCROTAL	S K R AA T AH L
SCROTUM	S K R AA T AH M
SCROTUMS	S K R AA T AH M Z
SCROUGE	S K R AW JH
SCROUGED	S K R AW JH D
SCROUGES	S K R AW JH AH Z
SCROUGING	S K R AW JH AH NG
SCROUNGE	S K R AW N JH
SCROUNGED	S K R AW N JH D
SCROUNGER	S K R AW N JH ER
SCROUNGERS	S K R AW N JH ER Z
SCROUNGES	S K R AW N JH IH Z
SCROUNGIER	S K R AW N JH IY ER
SCROUNGIEST	S K R AW N JH IY AH S T
SCROUNGING	S K R AW N JH IH NG
SCROUNGY	S K R AW N JH IY
SCRUB	S K R AH B
SCRUBBABLE	S K R AH B AH B AH L
SCRUBBED	S K R AH B D
SCRUBBER	S K R AH B ER
SCRUBBERS	S K R AH B ER Z
SCRUBBIER	S K R AH B IY ER
SCRUBBIEST	S K R AH B IY AH S T
SCRUBBING	S K R AH B IH NG
SCRUBBY	S K R AH B IY
SCRUBLAND	S K R AH B L AE N D
SCRUBLANDS	S K R AH B L AE N D Z
SCRUBS	S K R AH B Z
SCRUBWOMAN	S K R AH B W UH M AH N
SCRUBWOMEN	S K R AH B W IH M AH N
SCRUFF	S K R AH F
SCRUFFIER	S K R AH F AY AH R
SCRUFFIEST	S K R AH F AY AH S T
SCRUFFILY	S K R AH F AH L IY
SCRUFFINESS	S K R AH F AH N AH S
SCRUFFINESSES	S K R AH F AH N EH S AH Z
SCRUFFS	S K R AH F S
SCRUFFY	S K R AH F IY
SCRUM	S K R AH M
SCRUMMAGE	S K R AH M AH JH
SCRUMMAGED	S K R AH M AH JH D
SCRUMMAGES	S K R AH M AH JH AH Z
SCRUMMAGING	S K R AH M AH JH AH NG
SCRUMMED	S K R AH M D
SCRUMMING	S K R AH M AH NG
SCRUMPTIOUS	S K R AH M P SH AH S
SCRUMPTIOUSLY	S K R AH M P SH AH S L IY
SCRUMS	S K R AH M Z
SCRUNCH	S K R AH N CH
SCRUNCHED	S K R AH N CH T
SCRUNCHES	S K R AH N CH AH Z
SCRUNCHING	S K R AH N CH AH NG
SCRUPLE	S K R UW P AH L
SCRUPLED	S K R AH P AH L D
SCRUPLES	S K R UW P AH L Z
SCRUPLING	S K R AH P L AH NG
SCRUPULOSITIES	S K R UW P Y AH L AA S AH T IY Z
SCRUPULOSITY	S K R UW P Y AH L AA S AH T IY
SCRUPULOUS	S K R UW P Y AH L AH S
SCRUPULOUSLY	S K R UW P Y AH L AH S L IY
SCRUPULOUSNESS	S K R UW P Y AH L AH S N AH S
SCRUPULOUSNESSES	S K R UW P Y AH L AH S N AH S IH Z
SCRUTABLE	S K R UW T AH B AH L
SCRUTINEER	S K R UW T AH N IH R
SCRUTINEERS	S K R UW T AH N AH R Z
SCRUTINIES	S K R UW T AH N IY Z
SCRUTINISE	S K R UW T AH N AY Z
SCRUTINISED	S K R UW T AH N IY Z D
SCRUTINISES	S K R UW T AH N IY Z IH Z
SCRUTINISING	S K R UW T AH N IY Z IH NG
SCRUTINIZE	S K R UW T AH N AY Z
SCRUTINIZED	S K R UW T AH N AY Z D
SCRUTINIZER	S K R UW T AH N AY Z AH R
SCRUTINIZERS	S K R UW T IH N AH Z AH R Z
SCRUTINIZES	S K R UW T AH N AY Z IH Z
SCRUTINIZING	S K R UW T AH N AY Z IH NG
SCRUTINY	S K R UW T AH N IY
SCRY	S K R AY
SCRYING	S K R AY AH NG
SEACRAFT	S IY K R AE F T
SEACRAFTS	S IY K R AE F T S
SECRECIES	S IY K R AH S IY Z
SECRECY	S IY K R AH S IY
SECRET	S IY K R AH T
SECRET(2)	S IY K R IH T
SECRETAGOGUE	S EH K R EH T AH G AH G
SECRETAGOGUES	S EH K R EH T AH G AH G Z
SECRETARIAL	S EH K R AH T EH R IY AH L
SECRETARIAT	S EH K R IH T EH R IY AH T
SECRETARIATS	S EH K R AH T EH R IY AH T S
SECRETARIES	S EH K R AH T EH R IY Z
SECRETARY	S EH K R AH T EH R IY
SECRETARYSHIP	S EH K R AH T EH R IY SH IH P
SECRETARYSHIPS	S EH K R AH T EH R IY SH IH P S
SECRETE	S IH K R IY T
SECRETED	S AH K R IY T AH D
SECRETER	S IH K R IY T ER
SECRETES	S IH K R IY T S
SECRETEST	S IH K R IY T AH S T
SECRETIN	S IY K R AH T IH N
SECRETING	S IH K R IY T IH NG
SECRETINS	S IY K R AH T IH N Z
SECRETION	S AH K R IY SH AH N
SECRETIONARY	S IH K R IY SH AH N EH R IY
SECRETIONS	S AH K R IY SH AH N Z
SECRETIVE	S IY K R AH T IH V
SECRETIVELY	S IY K R AH T IH V L IY
SECRETIVENESS	S IY K R AH T IH V N AH S
SECRETIVENESSES	S IY K R AH T IH V N AH S IH Z
SECRETLY	S IY K R IH T L IY
SECRETOR	S IH K R IY T ER
SECRETORS	S IH K R IY T ER Z
SECRETORY	S IH K R IY T ER IY
SECRETS	S IY K R IH T S
SEMICRYSTALLINE	S EH M IY K R IH S T AH L AH N
SEMIMICRO	S AH M AH M IH K R OW
SEMISACRED	S EH M IY S EY K R AH D
SEMISECRET	S EH M IY S IY K R AH T
SETSCREW	S EH T S K R UW
SETSCREWS	S EH T S K R UW Z
SHARECROP	SH EH R K R AA P
SHARECROPPED	SH EH R K R AA P T
SHARECROPPER	SH EH R K R AA P ER
SHARECROPPERS	SH EH R K R AA P ER Z
SHARECROPPING	SH EH R K R AA P IH NG
SHARECROPS	SH EH R K R AA P S
SHELLCRACKER	SH EH L K R AE K ER
SHELLCRACKERS	SH EH L K R AE K ER Z
SILKSCREEN	S IH L K S K R IY N
SILKSCREENS	S IH L K S K R IY N Z
SIMULACRA	S IH M Y AH L AE K R AH
SIMULACRE	S IH M Y UW L AH K AH R
SIMULACRES	S IH M Y UW L AH K AH R Z
SIMULACRUM	S IH M Y AH L AE K R AH M
SIMULACRUMS	S IH M Y AH L AE K R AH M Z
SKYSCRAPER	S K AY S K R EY P ER
SKYSCRAPERS	S K AY S K R EY P ER Z
SLAVOCRACIES	S L AH V AA K R AH S IY Z
SLAVOCRACY	S L AH V AA K R AH S IY
SMOKESCREEN	S M OW K S K R IY N
SMOKESCREENS	S M OW K S K R IY N Z
SPACECRAFT	S P EY S K R AE F T
SPACECRAFTS	S P EY S K R AE F T S
STAGECRAFT	S T EY JH K R AE F T
STAGECRAFTS	S T EY JH K R AE F T S
STATECRAFT	S T EY T K R AE F T
STATECRAFTS	S T EY T K R AE F T S
STAVESACRE	S T EY V Z EY K ER
STAVESACRES	S T EY V Z EY K ER Z
STEREOMICROSCOPE	S T EH R IY OW M AY K R AH S K OW P
STEREOMICROSCOPES	S T EH R IY OW M AY K R OW S K OW P S
STEREOMICROSCOPIC	S T EH R IY OW M AY K R AH S K AA P IH K
STEREOMICROSCOPICALLY	S T EH R IY OW M AY K R AH S K AA P IH K AH L IY
STONECROP	S T OW N K R AA P
STONECROPS	S T OW N K R AA P S
STRATOCRACIES	S T R AH T AA K R AH S IY Z
STRATOCRACY	S T R AH T AA K R AH S IY
SUBACRID	S AH B AE K R AH D
SUBCRITICAL	S AH B K R IH T IH K AH L
SUBCRUSTAL	S AH B K R AH S T AH L
SUBMICROGRAM	S AH B M AY K R OW G R AE M
SUBMICRON	S AH B M AY K R AA N
SUBMICROSCOPIC	S AH B M AY K R AH S K AA P IH K
SUBMICROSCOPICALLY	S AH B M AY K R AH S K AA P IH K AH L IY
SUBSCRIBE	S AH B S K R AY B
