SH	EH S
SHAMEFACEDNESSES	SH EY M F EY S AH D N AH S IH Z
SHAMEFAST	SH EY M F AE S T
SHAMEFUL	SH EY M F AH L
SHAMEFULLY	SH EY M F AH L IY
SHAMEFULNESS	SH EY M F AH L N AH S
SHAMEFULNESSES	SH EY M F AH L N AH S IH Z
SHAMELESS	SH EY M L AH S
SHAMELESSLY	SH EY M L AH S L IY
SHAMELESSNESS	SH EY M L AH S N AH S
SHAMELESSNESSES	SH EY M L AH S N AH S IH Z
SHAMES	SH EY M Z
SHAMING	SH EY M IH NG
SHAMMAS	SH AE M AH Z
SHAMMASH	SH AE M AE SH
SHAMMASHIM	SH AE M AH SH AH M
SHAMMASIM	SH AE M AH S AH M
SHAMMED	SH AE M D
SHAMMER	SH AE M ER
SHAMMERS	SH AE M ER Z
SHAMMES	SH AE M Z
SHAMMIED	SH AE M IY D
SHAMMIES	SH AE M IY Z
SHAMMING	SH AE M IH NG
SHAMMOS	SH AE M AH Z
SHAMMOSIM	SH AE M AH S AH M
SHAMMY	SH AE M IY
SHAMMYING	SH AE M IY IH NG
SHAMOIS	SH AE M OW AH S
SHAMOS	SH AE M AA S
SHAMOSIM	SH AE M AH S AH M
SHAMOY	SH AE M OW IY
SHAMOYED	SH AH M OY D
SHAMOYING	SH AE M OY AH NG
SHAMOYS	SH AH M OY Z
SHAMPOO	SH AE M P UW
SHAMPOOED	SH AE M P UW D
SHAMPOOER	SH AE M P UW ER
SHAMPOOERS	SH AE M P UW ER Z
SHAMPOOING	SH AE M P UW IH NG
SHAMPOOS	SH AE M P UW Z
SHAMROCK	SH AE M R AA K
SHAMROCKS	SH AE M R AA K S
SHAMS	SH AE M Z
SHAMUS	SH EY M AH S
SHAMUSES	SH AE M Y UW S IH Z
SHANDIES	SH AE N D AY Z
SHANDY	SH AE N D IY
SHANDYGAFF	SH AE N D AH G AH F
SHANDYGAFFS	SH AE N D AH G AH F S
SHANGHAI	SH AE NG HH AY
SHANGHAIED	SH AH N EY D
SHANGHAIER	SH AE N EY AH R
SHANGHAIERS	SH AE N EY AH R Z
SHANGHAIING	SH AE N EY AH NG
SHANGHAIS	SH AE N EY AH S
SHANK	SH AE NG K
SHANKED	SH AE NG K T
SHANKING	SH AE NG K IH NG
SHANKPIECE	SH AE NG K P IY S
SHANKPIECES	SH AE NG K P IY S IH Z
SHANKS	SH AE NG K S
SHANNIES	SH AE N AY Z
SHANNY	SH AE N IY
SHANTEY	SH AE N T IY
SHANTEYS	SH AE N T EY Z
SHANTI	SH AE N T IY
SHANTIES	SH AE N T IY Z
SHANTIH	SH AE N T IY
SHANTIHS	SH AE N T AH Z
SHANTIS	SH AE N T IY Z
SHANTUNG	SH AE N T AH NG
SHANTUNGS	SH AE N T AH NG Z
SHANTY	SH AE N T IY
SHANTYMAN	SH AE N T IY M AE N
SHANTYMEN	SH AE N T IY M EH N
SHANTYTOWN	SH AE N T IY T AW N
SHANTYTOWNS	SH AE N T IY T AW N Z
SHAPABLE	SH EY P AH B AH L
SHAPE	SH EY P
SHAPEABLE	SH EY P AH B AH L
SHAPED	SH EY P T
SHAPELESS	SH EY P L AH S
SHAPELESSLY	SH EY P L AH S L IY
SHAPELESSNESS	SH EY P L AH S N AH S
SHAPELESSNESSES	SH EY P L AH S N AH S IH Z
SHAPELIER	SH EY P L IY ER
SHAPELIEST	SH EY P L IY AH S T
SHAPELINESS	SH EY P L IY N AH S
SHAPELINESSES	SH EY P L IY N AH S IH Z
SHAPELY	SH EY P L IY
SHAPEN	SH EY P AH N
SHAPER	SH EY P ER
SHAPERS	SH EY P ER Z
SHAPES	SH EY P S
SHAPEUP	SH EY P AH P
SHAPEUPS	SH EY P AH P S
SHAPING	SH EY P IH NG
SHARABLE	SH EH R AH B AH L
SHARD	SH AA R D
SHARDS	SH AA R D Z
SHARE	SH EH R
SHAREABILITIES	SH EH R AH B IH L AH T EH Z
SHAREABILITY	SH EH R AH B IH L AH T EH
SHAREABLE	SH EH R AH B AH L
SHARECROP	SH EH R K R AA P
SHARECROPPED	SH EH R K R AA P T
SHARECROPPER	SH EH R K R AA P ER
SHARECROPPERS	SH EH R K R AA P ER Z
SHARECROPPING	SH EH R K R AA P IH NG
SHARECROPS	SH EH R K R AA P S
SHARED	SH EH R D
SHAREHOLDER	SH EH R HH OW L D ER
SHAREHOLDERS	SH EH R HH OW L D ER Z
SHARER	SH EH R ER
SHARERS	SH EH R ER Z
SHARES	SH EH R Z
SHAREWARE	SH EH R W EH R
SHAREWARES	SH EH R W EH R Z
SHARIF	SH ER IY F
SHARIFIAN	SH AH R IH F IY AH N
SHARIFS	SH AE R AH F S
SHARING	SH EH R IH NG
SHARK	SH AA R K
SHARKED	SH AA R K T
SHARKER	SH AA R K ER
SHARKERS	SH AA R K ER Z
SHARKING	SH AA R K IH NG
SHARKLIKE	SH AA R K L AY K
SHARKS	SH AA R K S
SHARKSKIN	SH AA R K S K IH N
SHARKSKINS	SH AA R K S K IH N Z
SHARN	SH AA R N
SHARNS	SH AA R N Z
SHARNY	SH AA R N IY
SHARP	SH AA R P
SHARPED	SH AA R P T
SHARPEN	SH AA R P AH N
SHARPENED	SH AA R P AH N D
SHARPENER	SH AA R P AH N ER
SHARPENERS	SH AA R P AH N ER Z
SHARPENING	SH AA R P AH N IH NG
SHARPENING(2)	SH AA R P N IH NG
SHARPENS	SH AA R P AH N Z
SHARPER	SH AA R P ER
SHARPERS	SH AA R P ER Z
SHARPEST	SH AA R P AH S T
SHARPIE	SH AA R P IY
SHARPIES	SH AA R P IY Z
SHARPING	SH AA R P IH NG
SHARPLY	SH AA R P L IY
SHARPNESS	SH AA R P N AH S
SHARPNESSES	SH AA R P N AH S IH Z
SHARPS	SH AA R P S
SHARPSHOOTER	SH AA R P SH UW T ER
SHARPSHOOTERS	SH AA R P SH UW T ER Z
SHARPSHOOTING	SH AA R P SH UW T IH NG
SHARPSHOOTINGS	SH AA R P SH UW T IH NG Z
SHARPY	SH AA R P IY
SHASHLICK	SH AE SH L AH K
SHASHLICKS	SH AE SH L AH K S
SHASHLIK	SH AA SH L IH K
SHASHLIKS	SH AE SH L AY K S
SHASLIK	SH AE Z L AH K
SHASLIKS	SH AE Z L AY K S
SHAT	SH AE T
SHATTER	SH AE T ER
SHATTERED	SH AE T ER D
SHATTERING	SH AE T ER IH NG
SHATTERINGLY	SH AE T ER IH NG L IY
SHATTERPROOF	SH AE T ER P R UW F
SHATTERS	SH AE T ER Z
SHAUGH	SH AO
SHAUGHS	SH AO Z
SHAUL	SH AO L
SHAULED	SH EY AH L D
SHAULING	SH EY AH L AH NG
SHAULS	SH EY AH L Z
SHAVABLE	SH EY V AH B AH L
SHAVE	SH EY V
SHAVED	SH EY V D
SHAVELING	SH EY V L IH NG
SHAVELINGS	SH EY V L IH NG Z
SHAVEN	SH EY V AH N
SHAVER	SH EY V ER
SHAVERS	SH EY V ER Z
SHAVES	SH EY V Z
SHAVETAIL	SH EY V T EY L
SHAVETAILS	SH EY V T EY L Z
SHAVIE	SH EY V IY
SHAVIES	SH EY V IY Z
SHAVING	SH EY V IH NG
SHAVINGS	SH EY V IH NG Z
SHAW	SH AO
SHAWED	SH AO D
SHAWING	SH AO IH NG
SHAWL	SH AO L
SHAWLED	SH AO L D
SHAWLING	SH AO L IH NG
SHAWLS	SH AO L Z
SHAWM	SH AO M
SHAWMS	SH AO M Z
SHAWN	SH AO N
SHAWS	SH AO Z
SHAY	SH EY
SHAYS	SH EY Z
SHAZAM	SH AE Z AH M
SHE	SH IY
SHEA	SH EY
SHEAF	SH IY F
SHEAFED	SH IY F T
SHEAFING	SH IY F IH NG
SHEAFLIKE	SH IY F L AY K
SHEAFS	SH IY F S
SHEAL	SH IY AH L
SHEALING	SH IY L AH NG
SHEALINGS	SH IY L AH NG Z
SHEALS	SH IY L Z
SHEAR	SH IH R
SHEARED	SH IH R D
SHEARER	SH IH R ER
SHEARERS	SH IH ER ER Z
SHEARING	SH IH R IH NG
SHEARINGS	SH IH ER IH NG Z
SHEARLING	SH IH ER L IH NG
SHEARLINGS	SH IH ER L IH NG Z
SHEARS	SH IY R Z
SHEARWATER	SH IH ER W AO T ER
SHEARWATERS	SH IH ER W AO T ER Z
SHEAS	SH IY Z
SHEATH	SH IY TH
SHEATHBILL	SH IY TH B IH L
SHEATHBILLS	SH IY TH B IH L Z
SHEATHE	SH IY DH
SHEATHED	SH IY DH D
SHEATHER	SH IY DH ER
SHEATHERS	SH IY DH ER Z
SHEATHES	SH IY DH Z
SHEATHING	SH IY DH IH NG
SHEATHINGS	SH IY DH IH NG Z
SHEATHS	SH IY TH S
SHEAVE	SH IY V
SHEAVED	SH IY V D
SHEAVES	SH IY V Z
SHEAVING	SH IY V AH NG
SHEBANG	SH EH B AH NG
SHEBANGS	SH EH B AH NG Z
SHEBEAN	SH IY B IY AH N
SHEBEANS	SH IY B IY N Z
SHEBEEN	SH IY B IY AH N
SHEBEENS	SH IY B IY N Z
SHED	SH EH D
SHEDABLE	SH EH D AH B AH L
SHEDDED	SH EH D IH D
SHEDDER	SH EH D ER
SHEDDERS	SH EH D ER Z
SHEDDING	SH EH D IH NG
SHEDLIKE	SH EH D L AY K
SHEDS	SH EH D Z
SHEEN	SH IY N
SHEENED	SH IY N D
SHEENEY	SH IY N IY
SHEENEYS	SH IY N EY Z
SHEENFUL	SH IY N F AH L
SHEENIE	SH IY N IY
SHEENIER	SH IY N IY ER
SHEENIES	SH IY N IY Z
SHEENIEST	SH IY N IY AH S T
SHEENING	SH IY N IH NG
SHEENS	SH IY N Z
SHEENY	SH IY N IY
SHEEP	SH IY P
SHEEPBERRIES	SH IY P B EH R IY Z
SHEEPBERRY	SH IY P B EH R IY
SHEEPCOT	SH IY P K AA T
SHEEPCOTE	SH IY P OW T
SHEEPCOTES	SH IY P OW T S
SHEEPCOTS	SH IY P K AA T S
SHEEPDOG	SH IY P D AO G
SHEEPDOGS	SH IY P D AO G Z
SHEEPFOLD	SH IY P F OW L D
SHEEPFOLDS	SH IY P F OW L D Z
SHEEPHERDER	SH IY P HH ER D ER
SHEEPHERDERS	SH IY P HH ER D ER Z
SHEEPHERDING	SH IY P HH ER D IH NG
SHEEPHERDINGS	SH IY P HH ER D IH NG Z
SHEEPISH	SH IY P IH SH
SHEEPISHLY	SH IY P IH SH L IY
SHEEPISHNESS	SH IY P IH SH N AH S
SHEEPISHNESSES	SH IY P IH SH N AH S IH Z
SHEEPLIKE	SH IY P L AY K
SHEEPMAN	SH IY P M AE N
SHEEPMEN	SH IY P M EH N
SHEEPSHANK	SH IY P SH AE NG K
SHEEPSHANKS	SH IY P SH AE NG K S
SHEEPSHEAD	SH IY P S HH EH D
SHEEPSHEADS	SH IY P S HH EH D Z
SHEEPSHEARER	SH IY P SH IH ER ER
SHEEPSHEARERS	SH IY P SH IH ER ER Z
SHEEPSHEARING	SH IY P SH IH ER IH NG
SHEEPSHEARINGS	SH IY P SH IH ER IH NG Z
SHEEPSKIN	SH IY P S K IH N
SHEEPSKINS	SH IY P S K IH N Z
SHEER	SH IH R
SHEERED	SH IH ER D
SHEERER	SH IY R ER
SHEEREST	SH IH ER AH S T
SHEERING	SH IH ER IH NG
SHEERLEGS	SH IH ER L EH G Z
SHEERLY	SH IH ER L IY
SHEERNESS	SH IH ER N AH S
SHEERNESSES	SH IH ER N AH S IH Z
SHEERS	SH IH ER Z
SHEESH	SH IY SH
SHEET	SH IY T
SHEETED	SH IY T IH D
SHEETER	SH IY T ER
SHEETERS	SH IY T ER Z
SHEETFED	SH IY T F EH D
SHEETING	SH IY T IH NG
SHEETINGS	SH IY T IH NG Z
SHEETLIKE	SH IY T L AY K
SHEETS	SH IY T S
SHEEVE	SH IY V
SHEEVES	SH IY V Z
SHEGETZ	SH EH JH AH T S
SHEIK	SH IY K
SHEIKDOM	SH IY K D AH M
SHEIKDOMS	SH IY K D AH M Z
SHEIKH	SH IY K
SHEIKHDOM	SH IY K
SHEIKHDOMS	SH IY K D AH M Z
SHEIKHS	SH IY K S
SHEIKS	SH IY K S
SHEILA	SH IY L AH
SHEILAS	SH IY L AH Z
SHEITAN	SH IY T AH N
SHEITANS	SH IY T AH N Z
SHEKEL	SH EH K AH L
SHEKELS	SH EH K AH L Z
SHELDRAKE	SH EH L D R EY K
SHELDRAKES	SH EH L D R EY K S
SHELDUCK	SH EH L D AH K
SHELDUCKS	SH EH L D AH K S
SHELF	SH EH L F
SHELFFUL	SH EH L F AH L
SHELFFULS	SH EH L F AH L Z
SHELFLIKE	SH EH L F L AY K
SHELL	SH EH L
SHELLAC	SH EH L AE K
SHELLACK	SH EH L AE K
SHELLACKED	SH EH L AE K D
SHELLACKING	SH EH L AE K IH NG
SHELLACKINGS	SH EH L AE K AH NG Z
SHELLACKS	SH EH L AH K S
SHELLACS	SH EH L AH S
SHELLBACK	SH EH L B AE K
SHELLBACKS	SH EH L B AE K S
SHELLCRACKER	SH EH L K R AE K ER
SHELLCRACKERS	SH EH L K R AE K ER Z
SHELLED	SH EH L D
SHELLER	SH EH L ER
SHELLERS	SH EH L ER Z
SHELLFIRE	SH EH L F AY ER
SHELLFIRES	SH EH L F AY ER Z
SHELLFISH	SH EH L F IH SH
SHELLFISHERIES	SH EH L F IH SH AH R IY Z
SHELLFISHERY	SH EH L F IH SH AH R IY
SHELLFISHES	SH EH L F IH SH IH Z
SHELLIER	SH EH L IY ER
SHELLIEST	SH EH L IY AH S T
SHELLING	SH EH L IH NG
SHELLPROOF	SH EH L P R UW F
SHELLS	SH EH L Z
SHELLSHOCKED	SH EH L SH AA K T
SHELLWORK	SH EH L W ER K
SHELLWORKS	SH EH L W ER K S
SHELLY	SH EH L IY
SHELTA	SH EH L T AH
SHELTAS	SH EH L T AH Z
SHELTER	SH EH L T ER
SHELTERBELT	SH EH L T ER B EH L T
SHELTERBELTS	SH EH L T ER B EH L T S
SHELTERED	SH EH L T ER D
SHELTERER	SH EH L T ER ER
SHELTERERS	SH EH L T ER ER Z
SHELTERING	SH EH L T ER IH NG
SHELTERLESS	SH EH L T ER L AH S
SHELTERS	SH EH L T ER Z
SHELTIE	SH EH L T AY
SHELTIES	SH EH L T AY Z
SHELTY	SH EH L T IY
SHELVE	SH EH L V
SHELVED	SH EH L V D
SHELVER	SH EH L V ER
SHELVERS	SH EH L V ER Z
SHELVES	SH EH L V Z
SHELVIER	SH EH L V IY ER
SHELVIEST	SH EH L V IY AH S T
SHELVING	SH EH L V IH NG
SHELVINGS	SH EH L V IH NG Z
SHELVY	SH EH L V IY
SHENANIGAN	SH AH N AE N IH G AH N
SHENANIGANS	SH AH N AE N IH G AH N Z
SHEND	SH EH N D
SHENDING	SH EH N D AH NG
SHENDS	SH EH N D Z
SHENT	SH EH N T
SHEOL	SH IY AH L
SHEOLS	SH IY AH L Z
SHEPHERD	SH EH P ER D
SHEPHERDED	SH EH P ER D IH D
SHEPHERDESS	SH EH P ER D AH S
SHEPHERDESSES	SH EH P ER D AH S IH Z
SHEPHERDING	SH EH P ER D IH NG
SHEPHERDS	SH EH P ER D Z
SHEQALIM	SH EH K AH L AH M
SHEQEL	SH EH K AH L
SHERBERT	SH ER B ER T
SHERBERTS	SH AH R B AH R T S
SHERBET	SH ER B AH T
SHERBETS	SH AH R B AH T S
SHERD	SH AH R D
SHERDS	SH AH R D Z
SHEREEF	SH IY R IY F
SHEREEFS	SH IY R IY F S
SHERGOTTITE	SH AH R G AH T AY T
SHERGOTTITES	SH AH R G AH T AY T S
SHERIF	SH EH R AH F
SHERIFF	SH EH R AH F
SHERIFF(2)	SH EH R IH F
SHERIFFDOM	SH EH R AH F D AH M
SHERIFFDOMS	SH EH R AH F D AH M Z
SHERIFFS	SH EH R AH F S
SHERIFS	SH EH R AH F S
SHERLOCK	SH ER L AA K
SHERLOCKS	SH ER L AA K S
SHEROOT	SH AH R UW T
SHEROOTS	SH AH R UW T S
SHERPA	SH AH R P AH
SHERPAS	SH AH R P AH Z
SHERRIES	SH EH R IY Z
SHERRIS	SH EH R IY Z
SHERRISES	SH EH R IY Z IH Z
SHERRY	SH EH R IY
SHES	SH IY Z
SHETLAND	SH EH T L AH N D
SHETLANDS	SH EH T L AH N D Z
SHEUCH	SH UW CH
SHEUCHS	SH UW CH S
SHEUGH	SH UW
SHEUGHS	SH UW Z
SHEW	SH UW
SHEWBREAD	SH UW B R IY D
SHEWBREADS	SH UW B R IY D Z
SHEWED	SH UW D
SHEWER	SH UW AH R
SHEWERS	SH UW AH R Z
SHEWING	SH UW AH NG
SHEWN	SH UW N
SHEWS	SH UW Z
SHH	EH S EY CH
SHIATSU	SH AY AE T S UW
SHIATSUS	SH AY EY T S AH S
SHIATZU	SH AY AE T S UW
SHIATZUS	SH AY AE T S AH S
SHIBAH	SH IH B AH
SHIBAHS	SH IH B AH Z
SHIBBOLETH	SH IH B AH L EH TH
SHIBBOLETHS	SH IH B AH L AH TH S
SHICKER	SH IH K AH R
SHICKERS	SH IH K AH R Z
SHICKSA	SH IH K S AH
SHICKSAS	SH IH K S AH Z
SHIED	SH AY D
SHIEL	SH IY L
SHIELD	SH IY L D
SHIELDED	SH IY L D IH D
SHIELDER	SH IY L D ER
SHIELDERS	SH IY L D ER Z
SHIELDING	SH IY L D IH NG
SHIELDS	SH IY L D Z
SHIELING	SH IY L AH NG
SHIELINGS	SH IY L AH NG Z
SHIELS	SH IY L Z
SHIER	SH AY ER
SHIERS	SH AY ER Z
SHIES	SH AY Z
SHIEST	SH AY AH S T
SHIFT	SH IH F T
SHIFTABLE	SH IH F T AH B AH L
SHIFTED	SH IH F T AH D
SHIFTED(2)	SH IH F T IH D
SHIFTER	SH IH F T ER
SHIFTERS	SH IH F T ER Z
SHIFTIER	SH IH F T IY ER
SHIFTIEST	SH IH F T IY AH S T
SHIFTILY	SH IH F T IY L IY
SHIFTINESS	SH IH F T IY N AH S
SHIFTINESSES	SH IH F T IY N AH S IH Z
SHIFTING	SH IH F T IH NG
SHIFTLESS	SH IH F T L IH S
SHIFTLESSLY	SH IH F T L AH S L IY
SHIFTLESSNESS	SH IH F T L AH S N AH S
SHIFTLESSNESSES	SH IH F T L AH S N AH S IH Z
SHIFTS	SH IH F T S
SHIFTY	SH IH F T IY
SHIGELLA	SH AH JH EH L AH
SHIGELLAE	SH AH JH EH L IY
SHIGELLAS	SH AH JH EH L AH Z
SHIGELLOSES	SH IH JH AH L OW Z AH Z
SHIGELLOSIS	SH IH JH AH L OW S AH S
SHIITAKE	SH IY T EY K
SHIITAKES	SH IY T EY K S
SHIKAR	SH AY K AH R
SHIKAREE	SH IH K AH R IY IY
SHIKAREES	SH IH K AH R IY Z
SHIKARI	SH IH K AH R IY
SHIKARIS	SH IH K AH R AH S
SHIKARRED	SH IH K AH R D
SHIKARRING	SH AH K AA R AH NG
SHIKARS	SH IH K AH R Z
SHIKKER	SH IH K AH R
SHIKKERS	SH IH K AH R Z
SHIKSA	SH IH K S AH
SHIKSAS	SH IH K S AH Z
SHIKSE	SH IH K S
SHIKSES	SH IH K S AH Z
SHILINGI	SH AH L IH N JH IY
SHILL	SH IH L
SHILLALA	SH IH L AH L AH
SHILLALAH	SH IH L AH L AH
SHILLALAHS	SH IH L AH L AH Z
SHILLALAS	SH IH L AH L AH Z
SHILLED	SH IH L D
SHILLELAGH	SH IH L AH L AH
SHILLELAGHS	SH IH L AH L AH Z
SHILLING	SH IH L IH NG
SHILLINGS	SH IH L IH NG Z
SHILLS	SH IH L Z
SHILPIT	SH IH L P AH T
SHILY	SH AY L IY
SHIM	SH IH M
SHIMMED	SH IH M D
SHIMMER	SH IH M ER
SHIMMERED	SH IH M ER D
SHIMMERING	SH IH M ER IH NG
SHIMMERS	SH IH M ER Z
SHIMMERY	SH IH M AH R IY
SHIMMIED	SH IH M IY D
SHIMMIES	SH IH M IY Z
SHIMMING	SH IH M IH NG
SHIMMY	SH IH M IY
SHIMMYING	SH IH M IY IH NG
SHIMS	SH IH M Z
SHIN	SH IH N
SHINBONE	SH IH N B OW N
SHINBONES	SH IH N B OW N Z
SHINDIES	SH IH N D AY Z
SHINDIG	SH IH N D IH G
SHINDIGS	SH IH N D IH G Z
SHINDY	SH AY N D IY
SHINDYS	SH IH N D AH Z
SHINE	SH AY N
SHINED	SH AY N D
SHINER	SH AY N ER
SHINERS	SH AY N ER Z
SHINES	SH AY N Z
SHINGLE	SH IH NG G AH L
SHINGLED	SH IH NG G AH L D
SHINGLER	SH IH NG L ER
SHINGLERS	SH IH NG G AH L ER Z
SHINGLES	SH IH NG G AH L Z
SHINGLING	SH IH NG G AH L IH NG
SHINGLY	SH IH NG G AH L IY
SHINIER	SH AY N IY ER
SHINIEST	SH AY N IY AH S T
SHINILY	SH AY N IY L IY
SHININESS	SH AY N IY N AH S
SHININESSES	SH AY N IY N AH S IH Z
SHINING	SH AY N IH NG
SHINLEAF	SH IH N L IY F
SHINLEAFS	SH IH N L IY F S
SHINLEAVES	SH IH N L IY V Z
SHINNED	SH IH N D
SHINNERIES	SH IH N AH R IY Z
SHINNERY	SH IH N AH R IY
SHINNEY	SH IH N IY
SHINNEYED	SH IH N EY D
SHINNEYING	SH IH N EY AH NG
SHINNEYS	SH IH N EY Z
SHINNIED	SH IH N IY D
SHINNIES	SH IH N IY Z
SHINNING	SH IH N IH NG
SHINNY	SH IH N IY
SHINNYING	SH IH N IY IH NG
SHINPLASTER	SH IH N P L AE S T ER
SHINPLASTERS	SH IH N P L AE S T ER Z
SHINS	SH IH N Z
SHINSPLINTS	SH IH N S P L IH N T S
SHINY	SH AY N IY
SHIP	SH IH P
SHIPBOARD	SH IH P B AO R D
SHIPBOARDS	SH IH P B OW R D Z
SHIPBORNE	SH IH P B AO R N
SHIPBUILDER	SH IH P B IH L D ER
SHIPBUILDERS	SH IH P B IH L D ER Z
SHIPBUILDING	SH IH P B IH L D IH NG
SHIPBUILDINGS	SH IH P B IH L D IH NG Z
SHIPFITTER	SH IH P F IH T ER
SHIPFITTERS	SH IH P F IH T ER Z
SHIPLAP	SH IH P L AE P
SHIPLAPS	SH IH P L AE P S
SHIPLOAD	SH IH P L OW D
SHIPLOADS	SH IH P L OW D Z
SHIPMAN	SH IH P M AH N
SHIPMASTER	SH IH P M AE S T ER
SHIPMASTERS	SH IH P M AE S T ER Z
SHIPMATE	SH IH P M EY T
SHIPMATES	SH IH P M EY T S
SHIPMEN	SH IH P M EH N
SHIPMENT	SH IH P M AH N T
SHIPMENTS	SH IH P M AH N T S
SHIPOWNER	SH IH P OW N ER
SHIPOWNERS	SH IH P OW N ER Z
SHIPPABLE	SH IH P AH B AH L
SHIPPED	SH IH P T
SHIPPEN	SH IH P AH N
SHIPPENS	SH IH P AH N Z
SHIPPER	SH IH P ER
SHIPPERS	SH IH P ER Z
SHIPPING	SH IH P IH NG
SHIPPINGS	SH IH P IH NG Z
SHIPPON	SH IH P AH N
SHIPPONS	SH IH P AH N Z
SHIPS	SH IH P S
SHIPSHAPE	SH IH P SH EY P
SHIPSIDE	SH IH P S AY D
SHIPSIDES	SH IH P S AY D Z
SHIPWAY	SH IH P W EY
SHIPWAYS	SH IH P W EY Z
SHIPWORM	SH IH P W ER M
SHIPWORMS	SH IH P W ER M Z
SHIPWRECK	SH IH P R EH K
SHIPWRECKED	SH IH P R EH K T
SHIPWRECKING	SH IH P R EH K IH NG
SHIPWRECKS	SH IH P R EH K S
SHIPWRIGHT	SH IH P R AY T
SHIPWRIGHTS	SH IH P R AY T S
SHIPYARD	SH IH P Y AA R D
SHIPYARDS	SH IH P Y AA R D Z
SHIRE	SH AY R
SHIRES	SH AY R Z
SHIRK	SH ER K
SHIRKED	SH ER K T
SHIRKER	SH ER K ER
SHIRKERS	SH ER K ER Z
SHIRKING	SH ER K IH NG
SHIRKS	SH ER K S
SHIRR	SH ER
SHIRRED	SH AH R D
SHIRRING	SH AH R AH NG
SHIRRINGS	SH AH R AH NG Z
SHIRRS	SH AH R Z
SHIRT	SH ER T
SHIRTDRESS	SH ER T D R EH S
SHIRTDRESSES	SH ER T D R EH S IH Z
SHIRTFRONT	SH ER T F R AH N T
SHIRTFRONTS	SH ER T F R AH N T S
SHIRTIER	SH ER T IY ER
SHIRTIEST	SH ER T IY AH S T
SHIRTING	SH ER T IH NG
SHIRTINGS	SH ER T IH NG Z
SHIRTLESS	SH ER T L AH S
SHIRTMAKER	SH ER T M EY K ER
SHIRTMAKERS	SH ER T M EY K ER Z
SHIRTS	SH ER T S
SHIRTSLEEVE	SH ER T S L IY V
SHIRTSLEEVED	SH ER T S L IY V D
SHIRTSLEEVES	SH ER T S L IY V Z
SHIRTTAIL	SH ER T EY L
SHIRTTAILS	SH ER T EY L Z
SHIRTWAIST	SH ER T W EY S T
SHIRTWAISTS	SH ER T W EY S T S
SHIRTY	SH ER T IY
SHIST	SH IH S T
SHISTS	SH IH S T S
SHIT	SH IH T
SHITAKE	SH AH T EY K
SHITAKES	SH AH T EY K S
SHITHEAD	SH IH T HH EH D
SHITHEADS	SH IH T HH EH D Z
SHITS	SH IH T
SHITTAH	SH IH T AH
SHITTAHS	SH IH T AH Z
SHITTED	SH IH T IH D
SHITTIER	SH IH T IY ER
SHITTIEST	SH IH T IY AH S T
SHITTIM	SH IH T AH M
SHITTIMS	SH IH T AH M Z
SHITTIMWOOD	SH IH T AH M W UW D
SHITTIMWOODS	SH IH T AH M W UW D Z
SHITTING	SH IH T IH NG
SHITTY	SH IH T IY
SHIV	SH IH V
SHIVA	SH IY V AH
SHIVAH	SH IH V AH
SHIVAHS	SH IH V AH Z
SHIVAREE	SH IH V AH R IY IY
SHIVAREED	SH IH V AH R IY D
SHIVAREEING	SH AH V AE R IY AH NG
SHIVAREES	SH IH V AH R IY Z
SHIVAS	SH IH V AH Z
SHIVE	SH AY V
SHIVER	SH IH V ER
SHIVERED	SH IH V ER D
SHIVERER	SH IH V ER ER
SHIVERERS	SH IH V ER ER Z
SHIVERING	SH IH V ER IH NG
SHIVERS	SH IH V ER Z
SHIVERY	SH IH V ER IY
SHIVES	SH AY V Z
SHIVS	SH IH V Z
SHKOTZIM	SH K AA T S AH M
SHLEMIEHL	SH L IY M IY L
SHLEMIEHLS	SH L IY M IY L Z
SHLEMIEL	SH L IY M IY L
SHLEMIELS	SH L IY M IY L Z
SHLEP	SH L EH P
SHLEPP	SH L EH P
SHLEPPED	SH L EH P T
SHLEPPING	SH L EH P AH NG
SHLEPPS	SH L EH P S
SHLEPS	SH L EH P S
SHLOCK	SH L AA K
SHLOCKS	SH L AA K S
JIAO	JH AY AH OW
RUANA	R UW W AH N AH
HUARACHE	HH Y UW ER EY K
AORIST	AH OW R IH S T
JO	JH OW
OGAM	AA G AH M
TMESES	T M IY Z AH Z
