KE	K EH
WHISKED(2)	HH W IH S K T
WHISKER	W IH S K ER
WHISKER(2)	HH W IH S K ER
WHISKERED	W IH S K ER D
WHISKERS	W IH S K ER Z
WHISKERS(2)	HH W IH S K ER Z
WHISKERY	W IH S K AH R IY
WHISKEY	W IH S K IY
WHISKEY(2)	HH W IH S K IY
WHISKEYS	W IH S K IY Z
WHISKEYS(2)	HH W IH S K IY Z
WICKED	W IH K AH D
WICKEDER	W IH K AH D ER
WICKEDEST	W IH K AH D AH S T
WICKEDLY	W IH K IH D L IY
WICKEDNESS	W IH K AH D N AH S
WICKEDNESSES	W IH K AH D N AH S IH Z
WICKER	W IH K ER
WICKERS	W IH K ER Z
WICKERWORK	W IH K ER W ER K
WICKERWORKS	W IH K ER W ER K S
WICKET	W IH K AH T
WICKET(2)	HH W IH K AH T
WICKETS	W IH K AH T S
WICKETS(2)	HH W IH K AH T S
WIDEAWAKE	W AY D AH W EY K
WIDEAWAKES	W AY D AH W EY K S
WIFELIKE	W AY F L AY K
WIGLIKE	W IH G L AY K
WIGMAKER	W IH G M EY K ER
WIGMAKERS	W IH G M EY K ER Z
WILLOWLIKE	W IH L OW L AY K
WINDBREAKER	W IH N D B R EY K ER
WINDBREAKERS	W IH N D B R EY K ER Z
WINEMAKER	W AY N M EY K ER
WINEMAKERS	W AY N M EY K ER Z
WINGLIKE	W IH NG L AY K
WINKED	W IH NG K T
WINKER	W IH NG K ER
WINKERS	W IH NG K ER Z
WIRELIKE	W AY ER L AY K
WISECRACKED	W AY Z K R AE K T
WISECRACKER	W AY Z K R AE K ER
WISECRACKERS	W AY Z K R AE K ER Z
WISPLIKE	W IH S P L AY K
WITCHLIKE	W IH CH L AY K
WOKE	W OW K
WOKEN	W OW K AH N
WOLFLIKE	W UH L F L AY K
WOMANLIKE	W UH M AH N L AY K
WOMBLIKE	W UW M L AY K
WOODPECKER	W UH D P EH K ER
WOODPECKERS	W UH D P EH K ER Z
WOODWORKER	W UH D W ER K ER
WOODWORKERS	W UH D W ER K ER Z
WOOLLIKE	W UH L AY K
WORKBASKET	W ER K B AE S K AH T
WORKBASKETS	W ER K B AE S K AH T S
WORKED	W ER K T
WORKER	W ER K ER
WORKERS	W ER K ER Z
WORKMANLIKE	W ER K M AE N L AY K
WORMLIKE	W ER M L AY K
WRACKED	R AE K T
WRAITHLIKE	R EY TH L AY K
WREAKED	R IY K T
WREAKER	R IY K ER
WREAKERS	R IY K ER Z
WRECKED	R EH K T
WRECKER	R EH K ER
WRECKERS	R EH K ER Z
WRICKED	R IH K T
YACKED	Y AE K T
YAKKED	Y AE K T
YAKKER	Y AE K ER
YAKKERS	Y AE K ER Z
YANKED	Y AE NG K T
YARMELKE	Y AA R M AH K
YARMELKES	Y AA R M AH K S
YARMULKE	Y AA R M AH L K AH
YARMULKE(2)	Y AA R M AH K AH
YARMULKES	Y AA R M AH L K AH S
YARMULKES(2)	Y AA R M AH K AH S
YERKED	Y AH R K T
YEUKED	Y UW K T
YIKES	Y AY K S
YOCKED	Y AA K T
YOKE	Y OW K
YOKED	Y OW K T
YOKEFELLOW	Y OW K F EH L OW
YOKEFELLOWS	Y OW K F EH L OW Z
YOKEL	Y OW K EH L
YOKELESS	Y OW K L AH S
YOKELISH	Y OW K AH L IH SH
YOKELS	Y OW K AH L Z
YOKEMATE	Y OW K M EY T
YOKEMATES	Y OW K M EY T S
YOKES	Y OW K S
YOLKED	Y OW K T
YONKER	Y AA NG K ER
YONKERS	Y AA NG K ER Z
YOUNKER	Y AH NG K ER
YOUNKERS	Y AH NG K ER Z
YOUTHQUAKE	Y UW TH K W EY K
YOUTHQUAKES	Y UW TH K W EY K S
YUCKED	Y AH K T
YUKKED	Y AH K T
ZINCKED	Z IH NG K T
ZOMBIELIKE	Z AA M B IY L AY K
ZONKED	Z AO NG K T
ZOOKEEPER	Z UW K IY P ER
ZOOKEEPERS	Z UW K IY P ER Z
CHABLIS	SH AH B L IY
CILANTRO	S IH L AE N T R OW
FYCE	F AY S
WO	W OW
WO(2)	HH W OW
LUAU	L UW AW
KEEK	K IY K
NOGG	N AA G
