OU	UW
HOUSEHOLDER	HH AW S HH OW L D ER
HOUSEHOLDERS	HH AW S HH OW L D ER Z
HOUSEHOLDS	HH AW S HH OW L D Z
HOUSEHUSBAND	HH AW S HH AH Z B AH N D
HOUSEHUSBANDS	HH AW S HH AH Z B AH N D Z
HOUSEKEEP	HH AW S K IY P
HOUSEKEEPER	HH AW S K IY P ER
HOUSEKEEPERS	HH AW S K IY P ER Z
HOUSEKEEPING	HH AW S K IY P IH NG
HOUSEKEEPINGS	HH AW S K IY P IH NG Z
HOUSEKEEPS	HH AW S K IY P S
HOUSEKEPT	HH AW S K EH P T
HOUSEL	HH AW S AH L
HOUSELED	HH AW S L EH D
HOUSELEEK	HH AW S AH L IY K
HOUSELEEKS	HH AW S AH L IY K S
HOUSELESS	HH AW S L AH S
HOUSELESSNESS	HH AW S L AH S N AH S
HOUSELESSNESSES	HH AW S L AH S N AH S IH Z
HOUSELIGHTS	HH AW S L AY T S
HOUSELING	HH AW S L IH NG
HOUSELLED	HH AW S AH L D
HOUSELLING	HH AW S EH L AH NG
HOUSELS	HH AW S AH L Z
HOUSEMAID	HH AW S M EY D
HOUSEMAIDS	HH AW S M EY D Z
HOUSEMAN	HH AW S M AH N
HOUSEMASTER	HH AW S M AE S T ER
HOUSEMASTERS	HH AW S M AE S T ER Z
HOUSEMATE	HH AW S M EY T
HOUSEMATES	HH AW S M EY T S
HOUSEMEN	HH AW S M EH N
HOUSEMOTHER	HH AW S M AH DH ER
HOUSEMOTHERS	HH AW S M AH DH ER Z
HOUSEPAINTER	HH AW S P EY N T ER
HOUSEPAINTERS	HH AW S P EY N T ER Z
HOUSEPARENT	HH AW S P AE R AH N T
HOUSEPARENTS	HH AW S P AE R AH N T S
HOUSEPERSON	HH AW S P ER S AH N
HOUSEPERSONS	HH AW S P ER S AH N Z
HOUSEPLANT	HH AW S P L AE N T
HOUSEPLANTS	HH AW S P L AE N T S
HOUSER	HH AW Z ER
HOUSEROOM	HH AW S R UW M
HOUSEROOMS	HH AW S R UW M Z
HOUSERS	HH AW S ER Z
HOUSES	HH AW S AH Z
HOUSES(2)	HH AW S IH Z
HOUSESAT	HH AW S AE T
HOUSESIT	HH AW S IH T
HOUSESITS	HH AW S IH T S
HOUSESITTING	HH AW S IH T IH NG
HOUSETOP	HH AW S T AA P
HOUSETOPS	HH AW S T AA P S
HOUSETRAIN	HH AW S T R EY N
HOUSETRAINED	HH AW S T R EY N D
HOUSETRAINING	HH AW S T R EY N IH NG
HOUSETRAINS	HH AW S T R EY N Z
HOUSEWARES	HH AW S W EH R Z
HOUSEWARMING	HH AW S W AA M IH NG
HOUSEWARMINGS	HH AW S W AO R M IH NG Z
HOUSEWIFE	HH AW S W AY F
HOUSEWIFELINESS	HH AW S W AY F L IY N AH S
HOUSEWIFELINESSES	HH AW S W AY F L IY N AH S IH Z
HOUSEWIFELY	HH AW S W AY F L IY
HOUSEWIFERIES	HH AW S W AY F AH R IY Z
HOUSEWIFERY	HH AW S W AY F AH R IY
HOUSEWIFEY	HH AW S W AY F IY
HOUSEWIVES	HH AW S W AY V Z
HOUSEWORK	HH AW S W ER K
HOUSEWORKS	HH AW S W ER K S
HOUSING	HH AW Z IH NG
HOUSINGS	HH AW Z IH NG Z
HUGEOUS	HH Y UW JH AH S
HUGEOUSLY	HH Y UW JH AH S L IY
HUMONGOUS	HH Y UW M AO NG G AH S
HUMOROUS	HH Y UW M ER AH S
HUMOROUSLY	HH Y UW M ER AH S L IY
HUMOROUSNESS	HH Y UW M ER AH S N AH S
HUMOROUSNESSES	HH Y UW M ER AH S N AH S IH Z
HUMOUR	HH Y UW M ER
HUMOURED	HH Y UW M ER D
HUMOURING	HH Y UW M ER IH NG
HUMOURS	HH Y UW M ER Z
HUMUNGOUS	HH Y UW M AH N G AH S
HYDROGENOUS	HH AY D R AH JH AH N AH S
HYDROUS	HH AY D R AH S
HYGROPHILOUS	HH IH G R AH F AY L AH S
HYMENOPTEROUS	HH AY M AH N AA P T ER AH S
HYPERAROUSAL	HH AY P ER AH R AW Z AH L
HYPERAROUSALS	HH AY P ER AH R AW Z AH L Z
HYPERCAUTIOUS	HH AY P ER K AO SH AH S
HYPERCONSCIOUS	HH AY P ER K AA N SH AH S
HYPERCONSCIOUSNESS	HH AY P ER K AA N SH AH S N AH S
HYPERCONSCIOUSNESSES	HH AY P ER K AA N SH AH S N AH S IH Z
HYPERFASTIDIOUS	HH AY P ER F AE S T IH D IY AH S
HYPOGEOUS	HH AH P OW JH IY AH S
HYPOGYNOUS	HH AH P AA JH AH N AH S
ICEBOUND	AY S B AW N D
ICEHOUSE	AY S HH AW S
ICEHOUSES	AY S HH AW S IH Z
ICHOROUS	IH CH AH R AH S
ICHTHYOPHAGOUS	IH CH TH AY AH F EY JH AH S
IDOLATROUS	AY D AA L AH T R AH S
IDOLATROUSLY	IH D AH L AE T R OW AH S L IY
IDOLATROUSNESS	AH D AA L AH T R AW Z N AH S
IDOLATROUSNESSES	IH D AH L AE T R AW Z N EH S AH Z
IDONEOUS	AH D OW N IY AH S
IGNEOUS	IH G N IY AH S
IGNOMINIOUS	IH G N AH M IH N IY AH S
IGNOMINIOUSLY	IH G N AH M AH N IY OW AH S L IY
IGNOMINIOUSNESS	IH G N AH M IH N IY AW Z N AH S
IGNOMINIOUSNESSES	IH G N AH M IH N IY AW Z N EH S AH Z
ILLUSTRIOUS	IH L AH S T R IY AH S
ILLUSTRIOUSLY	IH L AH S T R IY AH S L IY
ILLUSTRIOUSNESS	IH L AH S T R IY AH S N AH S
ILLUSTRIOUSNESSES	IH L AH S T R IY AH S N AH S IH Z
IMPECUNIOUS	IH M P EH K Y UW N IY AH S
IMPECUNIOUSLY	IH M P EH K Y AH N IY OW AH S L IY
IMPECUNIOUSNESS	IH M P AH K Y UW N IY AW Z N AH S
IMPECUNIOUSNESSES	IH M P AH K Y UW N IY AW Z N EH S AH Z
IMPERIOUS	IH M P IH R IY AH S
IMPERIOUSLY	IH M P IH R IY AH S L IY
IMPERIOUSNESS	IH M P IH R IY AH S N AH S
IMPERIOUSNESSES	IH M P IH R IY AH S N AH S IH Z
IMPERVIOUS	IH M P ER V IY AH S
IMPERVIOUSLY	IH M P ER V IY AH S L IY
IMPERVIOUSNESS	IH M P ER V IY AH S N AH S
IMPERVIOUSNESSES	IH M P ER V IY AH S N AH S IH Z
IMPETIGINOUS	IH M P AH T IH JH AH N AH S
IMPETUOUS	IH M P EH CH W AH S
IMPETUOUSLY	IH M P EH CH AH W AH S L IY
IMPETUOUSNESS	IH M P EH CH AH W AH S N AH S
IMPETUOUSNESSES	IH M P EH CH AH W AH S N AH S IH Z
IMPIOUS	IH M P AY AH S
IMPIOUSLY	IH M P AY AH S L IY
IMPOROUS	IH M P OW R AH S
IMPOUND	IH M P AW N D
IMPOUNDED	IH M P AW N D IH D
IMPOUNDING	IH M P AW N D IH NG
IMPOUNDMENT	IH M P AW N D M AH N T
IMPOUNDMENTS	IH M P AW N D M AH N T S
IMPOUNDS	IH M P AW N D Z
INAUSPICIOUS	IH N AW S P IH SH IH S
INAUSPICIOUSLY	IH N AO S P IH SH AH S L IY
INAUSPICIOUSNESS	IH N AO S P IH SH AH S N AH S
INAUSPICIOUSNESSES	IH N AO S P IH SH AH S N AH S IH Z
INBOUND	IH N B AW N D
INBOUNDED	IH N B AW N D IH D
INBOUNDING	IH N B AW N D IH NG
INBOUNDS	IH N B AW N D Z
INCAUTIOUS	IH N K AO SH AH S
INCAUTIOUSLY	IH N K AO SH AH S L IY
INCAUTIOUSNESS	IH N K AO SH AH S N AH S
INCAUTIOUSNESSES	IH N K AO SH AH S N AH S IH Z
INCESTUOUS	IH N S EH S CH W AH S
INCESTUOUSLY	IH N S EH S CH AH W AH S L IY
INCESTUOUSNESS	IH N S EH S CH AH W AH S N AH S
INCESTUOUSNESSES	IH N S EH S CH AH W AH S N AH S IH Z
INCOMMODIOUS	IH N K AH M OW D IY AH S
INCOMMODIOUSLY	IH N K AH M OW D IY AH S L IY
INCOMMODIOUSNESS	IH N K AH M OW D IY AH S N AH S
INCOMMODIOUSNESSES	IH N K AH M OW D IY AH S N AH S IH Z
INCONGRUOUS	IH NG K AO NG R UW AH S
INCONGRUOUSLY	IH NG K AO NG R UW AH S L IY
INCONGRUOUSNESS	IH N K AA NG G R AH W AH S N AH S
INCONGRUOUSNESSES	IH N K AA NG G R AH W AH S N AH S IH Z
INCONSPICUOUS	IH NG K AA N S P IH K W AH S
INCONSPICUOUSLY	IH N K AH N S P IH K Y AH W AH S L IY
INCONSPICUOUSNESS	IH N K AH N S P IH K Y AH W AH S N AH S
INCONSPICUOUSNESSES	IH N K AH N S P IH K Y AH W AH S N AH S IH Z
INCREDULOUS	IH N K R EH JH AH L AH S
INCREDULOUSLY	IH N K R EH JH AH L AH S L IY
INCURIOUS	IH N K Y UH R IY AH S
INCURIOUSLY	IH N K Y UH R IY AH S L IY
INCURIOUSNESS	IH N K Y UH R IY AH S N AH S
INCURIOUSNESSES	IH N K Y UH R IY AH S N AH S IH Z
INDECOROUS	IH N D EH K AH R AH S
INDECOROUSLY	IH N D EH K AH R AH S L IY
INDECOROUSNESS	IH N D EH K AH R AH S N AH S
INDECOROUSNESSES	IH N D EH K AH R AH S N AH S IH Z
INDEVOUT	IH N D IH V AW T
INDIGENOUS	IH N D IH JH AH N AH S
INDIGENOUSLY	IH N D IH JH AH N AH S L IY
INDIGENOUSNESS	IH N D IH JH AH N AH S N AH S
INDIGENOUSNESSES	IH N D IH JH AH N AH S N AH S IH Z
INDUSTRIOUS	IH N D AH S T R IY AH S
INDUSTRIOUSLY	IH N D AH S T R IY AH S L IY
INDUSTRIOUSNESS	IH N D AH S T R IY AH S N AH S
INDUSTRIOUSNESSES	IH N D AH S T R IY AH S N AH S IH Z
INEFFICACIOUS	IH N EH F AH K EY SH AH S
INEFFICACIOUSLY	IH N EH F AH K EY SH AH S L IY
INEFFICACIOUSNESS	IH N EH F AH K EY SH AH S N AH S
INEFFICACIOUSNESSES	IH N EH F AH K EY SH AH S N AH S IH Z
INFAMOUS	IH N F AH M AH S
INFAMOUSLY	IH N F AH M AH S L IY
INFECTIOUS	IH N F EH K SH AH S
INFECTIOUSLY	IH N F EH K SH AH S L IY
INFECTIOUSNESS	IH N F EH K SH AH S N AH S
INFECTIOUSNESSES	IH N F EH K SH AH S N AH S IH Z
INFELICITOUS	IH N F IH L IH S AH T AH S
INFELICITOUSLY	IH N F IH L IH S AH T AH S L IY
INFOUGHT	IH N F AO T
INGENIOUS	IH N JH IY N Y AH S
INGENIOUSLY	IH N JH IY N Y AH S L IY
INGENIOUSNESS	IH N JH IY N Y AH S N AH S
INGENIOUSNESSES	IH N JH IY N Y AH S N AH S IH Z
INGENUOUS	IH N JH EH N Y UW AH S
INGENUOUSLY	IH N JH EH N Y UW OW AH S L IY
INGENUOUSNESS	IH N JH EH N Y UW AW Z N AH S
INGENUOUSNESSES	IH N JH EH N Y UW AW Z N EH S AH Z
INGLORIOUS	IH N G L AO R IY AH S
INGLORIOUSLY	IH N G L OW R IY AH S L IY
INGLORIOUSNESS	IH N G L OW R IY AH S N AH S
INGLORIOUSNESSES	IH N G L OW R IY AH S N AH S IH Z
INGROUP	IH N G R UW P
INGROUPS	IH N G R UW P S
INHARMONIOUS	IH N HH AA R M OW N IY AH S
INHARMONIOUSLY	IH N HH AA R M OW N IY AH S L IY
INHARMONIOUSNESS	IH N HH AA R M OW N IY AH S N AH S
INHARMONIOUSNESSES	IH N HH AA R M OW N IY AH S N AH S IH Z
INHOMOGENEOUS	IH N HH OW M AH JH IY N IY AH S
INIQUITOUS	IH N IH K W AH T AH S
INIQUITOUSLY	IH N IH K W AH T AH S L IY
INIQUITOUSNESS	IH N IH K W AH T AH S N AH S
INIQUITOUSNESSES	IH N IH K W AH T AH S N AH S IH Z
INJUDICIOUS	IH N JH AH D IH SH AH S
INJUDICIOUSLY	IH N JH UH D IH SH AH S L IY
INJUDICIOUSNESS	IH N JH UH D IH SH AH S N AH S
INJUDICIOUSNESSES	IH N JH UH D IH SH AH S N AH S IH Z
INJURIOUS	IH N JH UH R IY AH S
INJURIOUSLY	IH N JH UH R IY AH S L IY
INJURIOUSNESS	IH N JH UH R IY AH S N AH S
INJURIOUSNESSES	IH N JH UH R IY AH S N AH S IH Z
INNOCUOUS	IH N AA K Y UW AH S
INNOCUOUSLY	IH N AA K Y UW OW AH S L IY
INNOCUOUSNESS	IH N AA K Y UW AW Z N AH S
INNOCUOUSNESSES	IH N AA K Y UW AW Z N EH S AH Z
INNUMEROUS	IH N UW M ER AH S
INPOUR	IH N P OW R
INPOURED	IH N P OW R D
INPOURING	IH N P OW R IH NG
INPOURINGS	IH N P OW R IH NG Z
INPOURS	IH N P OW R Z
INSALUBRIOUS	IH N S AH L UW B R IY AH S
INSECTIVOROUS	IH N S EH K T IH V ER AH S
INSIDIOUS	IH N S IH D IY AH S
INSIDIOUSLY	IH N S IH D IY AH S L IY
INSIDIOUSNESS	IH N S IH D IY AH S N AH S
INSIDIOUSNESSES	IH N S IH D IY AH S N AH S IH Z
INSOUCIANCE	IH N S UW S IY AH N S
INSOUCIANCE(2)	IH N S UW S Y AH N S
INSOUCIANCES	IH N S UW S IY AH N S IH Z
INSOUCIANT	IH N S UW S Y AH N T
INSOUCIANTLY	IH N S UW S IY AH N T L IY
INSOUL	IH N S OW L
INSOULED	IH N S OW L D
INSOULING	IH N S OW L IH NG
INSOULS	IH N S OW L Z
INSTANTANEOUS	IH N S T AH N T AE N IY AH S
INSTANTANEOUSLY	IH N S T AH N T AE N IY AH S L IY
INSTANTANEOUSNESS	IH N S T AH N T EY N IY AH S N AH S
INSTANTANEOUSNESSES	IH N S T AH N T EY N IY AH S N AH S IH Z
INSURMOUNTABLE	IH N S ER M AW N T AH B AH L
INSURMOUNTABLY	IH N S ER M AW N T AH B L IY
INTERBOROUGH	IH N T ER B ER OW
INTERBOROUGHS	IH N T ER B ER OW Z
INTERCOUNTRY	IH N T ER K AH N T R IY
INTERCOUNTY	IH N T ER K AW N T IY
INTERCOUPLE	IH N T ER K AH P AH L
INTERCOURSE	IH N T ER K AO R S
INTERCOURSE(2)	IH N ER K AO R S
INTERCOURSES	IH N T ER K OW R S IH Z
INTERGROUP	IH N T ER G R UW P
INTERMOUNTAIN	IH N T ER M AW N T IH N
INTERRELIGIOUS	IH N T ER R IH L IH JH AH S
INTERWROUGHT	IH N T ER R AO T
INTRACUTANEOUS	IH N T R AH K Y AH T EY N IY AH S
INTRACUTANEOUSLY	IH N T R AH K Y AH T AH N IY OW AH S L IY
INTRAVENOUS	IH N T R AH V IY N AH S
INTRAVENOUSES	IH N T R AH V AH N AW Z AH Z
INTRAVENOUSLY	IH N T R AE V AH N AH S L IY
INTRAVENOUSLY(2)	IH N T R AH V IY N AH S L IY
INVIDIOUS	IH N V IH D IY AH S
INVIDIOUSLY	IH N V AH D IY OW AH S L IY
INVIDIOUSNESS	IH N V IH D IY AW Z N AH S
INVIDIOUSNESSES	IH N V IH D IY AW Z N EH S AH Z
INWOUND	IH N W UW N D
IODOUS	AY AH D AH S
IRONBOUND	AY ER N B AW N D
IRRELIGIOUS	IH R IH L IH JH AH S
IRRELIGIOUSLY	IH R IH L IH JH AH S L IY
ISOCHRONOUS	AH S AA K R AH N AH S
ISOCHRONOUSLY	AH S AA K R AA N OW AH S L IY
ISOGAMOUS	AH S AA G AH M AH S
ISOMORPHOUS	IH S AH M AO R F AH S
JAILHOUSE	JH EY L HH AW S
JAILHOUSES	JH EY L HH AW S IH Z
JALOUSIE	JH AH L AW S AY
JALOUSIES	JH AE L AW S AY Z
JEALOUS	JH EH L AH S
JEALOUSIES	JH EH L AH S IY Z
JEALOUSLY	JH EH L AH S L IY
JEALOUSNESS	JH EH L AH S N IH S
JEALOUSNESSES	JH EH L AH S N AH S IH Z
JEALOUSY	JH EH L AH S IY
JOUAL	JH OW Y AH W AH
JOUALS	JH AW AH L Z
JOUK	JH AW K
JOUKED	JH AW K T
JOUKING	JH AW K AH NG
JOUKS	JH AW K S
JOULE	JH UW L
JOULES	JH UW L Z
JOUNCE	JH AW N S
JOUNCED	JH AW N S T
JOUNCES	JH AW N S AH Z
JOUNCIER	JH AW N S AY AH R
JOUNCIEST	JH AW N S AY AH S T
JOUNCING	JH AW N S AH NG
JOUNCY	JH AW N S IY
JOURNAL	JH ER N AH L
JOURNALESE	JH ER N AH L IY Z
JOURNALESES	JH ER N AH L IY Z IH Z
JOURNALISM	JH ER N AH L IH Z AH M
JOURNALISMS	JH ER N AH L IH Z AH M Z
JOURNALIST	JH ER N AH L AH S T
JOURNALIST(2)	JH ER N AH L IH S T
JOURNALISTIC	JH ER N AH L IH S T IH K
JOURNALISTICALLY	JH ER N AH L IH S T IH K AH L IY
JOURNALISTICALLY(2)	JH ER N AH L IH S T IH K L IY
JOURNALISTS	JH ER N AH L AH S T S
JOURNALISTS(2)	JH ER N AH L IH S T S
JOURNALIZE	JH ER N AH L AY Z
JOURNALIZED	JH ER N AH L AY Z D
JOURNALIZER	JH ER N AH L AY Z ER
JOURNALIZERS	JH ER N AH L AY Z ER Z
JOURNALIZES	JH ER N AH L AY Z IH Z
JOURNALIZING	JH ER N AH L AY Z IH NG
JOURNALS	JH ER N AH L Z
JOURNEY	JH ER N IY
JOURNEYED	JH ER N IY D
JOURNEYER	JH ER N IY ER
JOURNEYERS	JH ER N IY ER Z
JOURNEYING	JH ER N IY IH NG
JOURNEYMAN	JH ER N IY M AE N
JOURNEYMEN	JH ER N IY M EH N
JOURNEYS	JH ER N IY Z
JOURNEYWORK	JH ER N IY W ER K
JOURNEYWORKS	JH ER N IY W ER K S
JOUST	JH AW S T
JOUSTED	JH AW S T IH D
JOUSTER	JH AW S T ER
JOUSTERS	JH AW S T ER Z
JOUSTING	JH AW S T IH NG
JOUSTS	JH AW S T S
JOYOUS	JH OY AH S
JOYOUSLY	JH OY AH S L IY
JOYOUSNESS	JH OY AH S N AH S
JOYOUSNESSES	JH OY AH S N AH S IH Z
JUDICIOUS	JH UW D IH SH AH S
JUDICIOUSLY	JH UW D IH SH IH S L IY
JUDICIOUSNESS	JH UH D IH SH AH S N AH S
JUDICIOUSNESSES	JH UH D IH SH AH S N AH S IH Z
KABELJOU	K AH B EH L JH UW
KABELJOUS	K AH B EH L JH AH S
KERATINOUS	K AH R AE T AH N AH S
KHOUM	K HH AW M
KHOUMS	K HH AW M Z
KILOJOULE	K AH L AA JH OW UW L
KILOJOULES	K AH L AA JH OW AH L Z
KINKAJOU	K IH NG K AH JH UW
KINKAJOUS	K IH NG K AH JH AH S
KNOCKABOUT	N AA K AH B AW T
KNOCKABOUTS	N AA K AH B AW T S
KNOCKOUT	N AA K AW T
KNOCKOUTS	N AA K AW T S
KNOUT	N AW T
KNOUTED	N OW Y UW T AH D
KNOUTING	N OW Y UW T AH NG
KNOUTS	N OW Y UW T S
KOUMIS	K AW M AH S
KOUMISES	K AW M AY Z AH Z
KOUMISS	K AW M AH S
KOUMISSES	K AW M IH S AH Z
KOUMYS	K AW M AH Z
KOUMYSES	K AW M AY Z AH Z
KOUMYSS	K AW M AH S
KOUMYSSES	K AW M IH S AH Z
KOUPREY	K UW P R IY
KOUPREYS	K UW P R EY Z
KOUROI	K AH R OY
KOUROS	K AH R AH Z
KOUSSO	K AW S OW
KOUSSOS	K AW S AH Z
LABORIOUS	L AH B AO R IY AH S
LABORIOUSLY	L AH B AO R IY AH S L IY
LABORIOUSNESS	L AH B OW R IY AH S N AH S
LABORIOUSNESSES	L AH B OW R IY AH S N AH S IH Z
LABOUR	L EY B ER
LABOURED	L EY B ER D
LABOURER	L EY B ER ER
LABOURERS	L EY B ER ER Z
LABOURING	L EY B ER IH NG
LABOURS	L EY B ER Z
LACTEOUS	L AE K T IY AH S
LACTIFEROUS	L AE K T IH F AH R AH S
LAMINOUS	L AE M AH N AH S
LANGOUSTE	L AE N G AW S T
LANGOUSTES	L AE N G AW S T S
LANGOUSTINE	L AE N G AW S T AY N
LANGOUSTINES	L AE N G AW S T AY N Z
LANGUOROUS	L AE N G W AH R AH S
LANGUOROUSLY	L AE N G W AO R OW AH S L IY
LANUGINOUS	L AE N Y UW JH AH N AH S
LARCENOUS	L AA R S AH N AH S
LARCENOUSLY	L AA R S EH N OW AH S L IY
LARGEMOUTH	L AA R JH M AW TH
LARGEMOUTHS	L AA R JH M AW TH S
LASCIVIOUS	L AH S IH V IY AH S
LASCIVIOUSLY	L AH S IH V IY AH S L IY
LASCIVIOUSNESS	L AH S IH V IY AH S N AH S
LASCIVIOUSNESSES	L AH S IH V IY AH S N AH S IH Z
LAYABOUT	L EY AH B AW T
LAYABOUTS	L EY AH B AW T S
LAYOUT	L EY AW T
LAYOUTS	L EY AW T S
LECHEROUS	L EH CH ER AH S
LECHEROUSLY	L EH CH ER AH S L IY
LECHEROUSNESS	L EH CH ER AH S N AH S
LECHEROUSNESSES	L EH CH ER AH S N AH S IH Z
LEGUMINOUS	L IH G Y UW M AH N AH S
LEPIDOPTEROUS	L EH P AH D AA P T AH R AH S
LEPROMATOUS	L EH P R AA M AH T AH S
LEPROUS	L EH P R AH S
LEPROUSLY	L EH P R OW AH S L IY
LIBELLOUS	L AY B AH L AH S
LIBELOUS	L AY B EH L AH S
LIBIDINOUS	L AH B IH D AH N AH S
LIBIDINOUSLY	L IH B AH D IH N OW AH S L IY
LIBIDINOUSNESS	L AH B IH D AH N AW Z N AH S
LIBIDINOUSNESSES	L AH B IH D AH N AW Z N EH S AH Z
LICENTIOUS	L AY S EH N CH AH S
LICENTIOUSLY	L AY S AH N T IY AH S L IY
LICENTIOUSNESS	L AY S AH N T IY AH S N AH S
LICENTIOUSNESSES	L AY S AH N T IY AH S N AH S IH Z
LICHENOUS	L IH CH AH N AH S
LIGAMENTOUS	L IH G AH M AH N T AH S
LIGHTHOUSE	L AY T HH AW S
LIGHTHOUSES	L AY T HH AW S IH Z
LIGHTHOUSES(2)	L AY T HH AW Z AH Z
LIGNEOUS	L IH G N IY AH S
LIMOUSINE	L IH M AH Z IY N
LIMOUSINES	L IH M AH Z IY N Z
LIPOMATOUS	L AH P AA M AH T AH S
LITIGIOUS	L IH T IH JH AH S
LITIGIOUSLY	L IH T IH G IY AH S L IY
LITIGIOUSNESS	L IH T IH G IY AH S N AH S
LITIGIOUSNESSES	L IH T IH G IY AH S N AH S IH Z
LOBSCOUSE	L AA B S K AW S
LOBSCOUSES	L AA B S K AW S IH Z
LOCKOUT	L AA K AW T
LOCKOUTS	L AA K AW T S
LONGEVOUS	L AO NG IY V AH S
LONGHOUSE	L AO NG HH AW S
LONGHOUSES	L AO NG HH AW S IH Z
LOOKOUT	L UH K AW T
LOOKOUTS	L UH K AW T S
LOQUACIOUS	L OW K W EY SH AH S
LOQUACIOUSLY	L OW K W EY SH AH S L IY
LOQUACIOUSNESS	L OW K W EY SH AH S N AH S
LOQUACIOUSNESSES	L OW K W EY SH AH S N AH S IH Z
LOUCHE	L AW CH
LOUD	L AW D
LOUDEN	L AW D AH N
LOUDENED	L AW D AH N D
LOUDENING	L AW D AH N IH NG
LOUDENS	L AW D AH N Z
LOUDER	L AW D ER
LOUDEST	L AW D AH S T
LOUDISH	L AW D IH SH
LOUDLIER	L AW D L IY ER
LOUDLIEST	L AW D L IY AH S T
LOUDLY	L AW D L IY
LOUDMOUTH	L AW D M AW TH
LOUDMOUTHED	L AW D M AW TH T
LOUDMOUTHS	L AW D M AW TH S
LOUDNESS	L AW D N AH S
LOUDNESSES	L AW D N AH S IH Z
LOUDSPEAKER	L AW D S P IY K ER
LOUDSPEAKERS	L AW D S P IY K ER Z
LOUGH	L AW
LOUGHS	L AW Z
LOUIE	L UW IY
LOUIES	L AW AY Z
LOUIS	L UW IH S
LOUIS(2)	L UW IY
LOUNGE	L AW N JH
LOUNGED	L AW N JH D
LOUNGER	L AW N JH ER
LOUNGERS	L AW N JH ER Z
LOUNGES	L AW N JH IH Z
LOUNGEWEAR	L AW N JH W AE ER
LOUNGING	L AW N JH IH NG
LOUNGY	L AW N JH IY
LOUP	L UW P
LOUPE	L UW P
LOUPED	L UW P T
LOUPEN	L UW P AH N
LOUPES	L UW P S
LOUPING	L UW P AH NG
LOUPS	L UW P S
LOUR	L AW R
LOURED	L OW Y AH R D
LOURING	L OW Y AH R AH NG
LOURS	L OW Y AH R Z
LOURY	L UW R IY
LOUSE	L AW S
LOUSED	L AW Z D
LOUSES	L AW S IH Z
LOUSEWORT	L AW S UW AH R T
LOUSEWORTS	L AW S UW AH R T S
LOUSIER	L AW Z IY ER
LOUSIEST	L AW Z IY AH S T
LOUSILY	L AW Z IY L IY
LOUSINESS	L AW Z IY N AH S
LOUSINESSES	L AW Z IY N AH S IH Z
LOUSING	L AW S IH NG
LOUSY	L AW Z IY
LOUT	L AW T
LOUTED	L OW Y UW T AH D
LOUTING	L OW Y UW T AH NG
LOUTISH	L OW Y UW T AH SH
LOUTISHLY	L AW T IH SH L IY
LOUTISHNESS	L AW T IH SH N AH S
LOUTISHNESSES	L AW T IH SH N EH S AH Z
LOUTS	L AW T S
LOUVER	L UW V ER
LOUVERED	L UW V ER D
LOUVERS	L UW V ER Z
LOUVRE	L UW V R AH
LOUVRED	L UW V ER D
LOUVRES	L UW V ER Z
LUBRICIOUS	L UW B R AH K IY AH S
LUBRICIOUSLY	L UW B R AH K IY AH S L IY
LUBRICOUS	L UW B R AH K AH S
LUCIFEROUS	L UW S AH F ER AH S
LUDICROUS	L UW D AH K R AH S
LUDICROUSLY	L UW D AH K R AH S L IY
LUDICROUSNESS	L UW D AH K R AH S N AH S
LUDICROUSNESSES	L UW D AH K R AH S N AH S IH Z
LUGUBRIOUS	L UW G Y UW B R IY AH S
LUGUBRIOUSLY	L UW G AH B R IY OW AH S L IY
LUGUBRIOUSNESS	L UW G AH B R IY AW Z N AH S
LUGUBRIOUSNESSES	L UW G AH B R IY AW Z N EH S AH Z
LUMINIFEROUS	L UW M AH N IH F AH R AH S
LUMINOUS	L UW M AH N AH S
LUMINOUSLY	L UW M AH N AH S L IY
LUMINOUSNESS	L UW M AH N AH S N AH S
LUMINOUSNESSES	L UW M AH N AH S N AH S IH Z
LUPOUS	L UW P AH S
LUSCIOUS	L AH SH IH S
LUSCIOUSLY	L AH SH AH S L IY
LUSCIOUSNESS	L AH SH AH S N AH S
LUSCIOUSNESSES	L AH SH AH S N AH S IH Z
LUSTROUS	L AH S T R AH S
LUSTROUSLY	L AH S T ER AH S L IY
LUSTROUSNESS	L AH S T ER AH S N AH S
LUSTROUSNESSES	L AH S T ER AH S N AH S IH Z
LUTEOUS	L UW T AH S
LUXURIOUS	L AH G ZH ER IY AH S
LUXURIOUSLY	L AH G ZH UH R IY AH S L IY
LUXURIOUSNESS	L AH G ZH UH R IY AH S N AH S
LUXURIOUSNESSES	L AH G ZH UH R IY AH S N AH S IH Z
LYMPHOMATOUS	L IH M F AA M AH T AH S
MACROPTEROUS	M AE K R AA P T AH R AH S
MADHOUSE	M AE D HH AW S
MADHOUSES	M AE D HH AW S IH Z
MAGNANIMOUS	M AE G N AE N AH M AH S
MAGNANIMOUSLY	M AE G N AH N IH M OW AH S L IY
MAGNANIMOUSNESS	M AE G N AE N AH M AW Z N AH S
MAGNANIMOUSNESSES	M AE G N AE N AH M AW Z N EH S AH Z
MAHOUT	M AH HH AW T
MAHOUTS	M AE HH AH Y UW T S
MALARIOUS	M EY L EH R IY AH S
MALICIOUS	M AH L IH SH AH S
MALICIOUSLY	M AH L IH SH IH S L IY
MALICIOUSNESS	M AH L IH SH AH S N AH S
MALICIOUSNESSES	M AH L IH SH AH S N AH S IH Z
MALNOURISHED	M AE L N ER IH SH T
