EA	IY AH
MISDEALS	M IH S D IY L Z
MISDEALT	M IH S D EH L T
MISDEMEANANT	M IH S D IH M IY N AH N T
MISDEMEANANTS	M IH S D IH M IY N AH N T S
MISDEMEANOR	M IH S D AH M IY N ER
MISDEMEANORS	M IH S D AH M IY N ER Z
MISEASE	M IH S IY Z
MISEASES	M IH S IY Z IH Z
MISEAT	M IH S IY T
MISEATEN	M IH S IY T AH N
MISEATING	M IH S IY T IH NG
MISEATS	M IH S IY T S
MISFEASANCE	M IH S F IY Z AH N S
MISFEASANCES	M IH S F IY Z AH N S IH Z
MISFEASOR	M IH S F IY Z ER
MISFEASORS	M IH S F IY Z ER Z
MISHEAR	M IH S HH IY R
MISHEARD	M IH S HH ER D
MISHEARING	M IH S HH IH ER IH NG
MISHEARS	M IH S HH IH ER Z
MISLEAD	M IH S L IY D
MISLEADER	M IH S L IY D ER
MISLEADERS	M IH S L IY D ER Z
MISLEADING	M IH S L IY D IH NG
MISLEADINGLY	M IH S L IY D IH NG L IY
MISLEADS	M IH S L IY D Z
MISLEARED	M IH S L IY R D
MISLEARN	M IH S L ER N
MISLEARNED	M IH S L ER N D
MISLEARNING	M IH S L ER N IH NG
MISLEARNS	M IH S L ER N Z
MISLEARNT	M IH S L AH R N T
MISMEASUREMENT	M IH S M EH ZH ER M AH N T
MISMEASUREMENTS	M IH S M EH ZH ER M AH N T S
MISPLEAD	M IH S P L IY D
MISPLEADED	M IH S P L IY D IH D
MISPLEADING	M IH S P L IY D IH NG
MISPLEADS	M IH S P L IY D Z
MISREAD	M IH S R IY D
MISREAD(2)	M IH S R EH D
MISREADING	M IH S R IY D IH NG
MISREADS	M IH S R IY D Z
MISSEAT	M IH S IY T
MISSEATED	M IH S IY T IH D
MISSEATING	M IH S IY T IH NG
MISSEATS	M IH S IY T S
MISSPEAK	M IH S S P IY K
MISSPEAK(2)	M IH S P IY K
MISSPEAKING	M IH S P IY K IH NG
MISSPEAKS	M IH S P IY K S
MISTEACH	M IH S T IY CH
MISTEACHES	M IH S T IY CH IH Z
MISTEACHING	M IH S T IY CH IH NG
MISTREAT	M IH S T R IY T
MISTREATED	M IH S T R IY T IH D
MISTREATING	M IH S T R IY T IH NG
MISTREATMENT	M IH S T R IY T M AH N T
MISTREATMENTS	M IH S T R IY T M AH N T S
MISTREATS	M IH S T R IY T S
MONOGENEAN	M AA N AH JH IY N IY AH N
MONOGENEANS	M AH N AA JH AH N IY N Z
MONONUCLEAR	M AA N AH N UW K L IY ER
MONONUCLEARS	M AA N OW N UW K L IY ER Z
MONONUCLEATE	M AA N OW N UW K L IY AH T
MONONUCLEATED	M AA N OW N UW K L IY EY T IH D
MOONBEAM	M UW N B IY M
MOONBEAMS	M UW N B IY M Z
MORCEAU	M AO R S IY UW
MORCEAUX	M AO R S IY AH K S
MOVEABLE	M UW V AH B AH L
MOVEABLES	M UW V AH B AH L Z
MOVEABLY	M UW V AH B L IY
MUDDLEHEADED	M AH D AH L HH EH D AH D
MUDDLEHEADED(2)	M AH D AH L HH EH D IH D
MUDDLEHEADEDLY	M AH D AH L HH EH D AH D L IY
MUDDLEHEADEDNESS	M AH D AH L HH EH D AH D N AH S
MUDDLEHEADEDNESSES	M AH D AH L HH EH D AH D N AH S IH Z
MULTIHEADED	M AH L T AY HH EH D IH D
MULTINUCLEAR	M AH L T AY N UW K L IY ER
MULTINUCLEATE	M AH L T AY N UW K L IY AH T
MULTINUCLEATED	M AH L T AY N UW K L IY EY T IH D
MULTIWARHEAD	M AH L T AY W AO R HH EH D
MULTIYEAR	M AH L T IY Y IY R
NAILHEAD	N EY L HH EH D
NAILHEADS	N EY L HH EH D Z
NAMEABLE	N EY M AH B AH L
NASOPHARYNGEAL	N AH S AA F AH R IH N JH IY AH L
NAUSEA	N AO Z IY AH
NAUSEANT	N AO Z IY AH N T
NAUSEANTS	N AH S IY N T S
NAUSEAS	N AO Z IY AH Z
NAUSEATE	N AO Z IY EY T
NAUSEATED	N AO Z IY EY T AH D
NAUSEATES	N AO ZH IY EY T S
NAUSEATING	N AO ZH IY EY T IH NG
NAUSEATINGLY	N AO ZH IY EY T IH NG L IY
NEANDERTHAL	N IY AE N D ER TH AO L
NEANDERTHALS	N IY AE N D ER TH AO L Z
NEAP	N IY P
NEAPS	N IY P S
NEAR	N IH R
NEARBY	N IH R B AY
NEARED	N IH R D
NEARER	N IH R ER
NEAREST	N IH R AH S T
NEARING	N IH R IH NG
NEARLIER	N IH R L IY ER
NEARLIEST	N IH R L IY AH S T
NEARLY	N IH R L IY
NEARNESS	N IH ER N AH S
NEARNESSES	N IH ER N AH S IH Z
NEARS	N IH R Z
NEARSHORE	N IH ER SH OW R
NEARSIDE	N IH ER S AY D
NEARSIDES	N IH ER S AY D Z
NEARSIGHTED	N IY R S AY T IH D
NEARSIGHTEDLY	N IH ER S AY T AH D L IY
NEARSIGHTEDNESS	N IY R S AY T IH D N AH S
NEARSIGHTEDNESSES	N IH ER S AY T AH D N AH S IH Z
NEAT	N IY T
NEATEN	N IY T AH N
NEATENED	N IY T AH N D
NEATENING	N IY T AH N IH NG
NEATENS	N IY T AH N Z
NEATER	N IY T ER
NEATEST	N IY T AH S T
NEATH	N IY TH
NEATHERD	N IY T HH ER D
NEATHERDS	N IY T HH ER D Z
NEATLY	N IY T L IY
NEATNESS	N IY T N AH S
NEATNESSES	N IY T N AH S IH Z
NEATS	N IY T S
NECKWEAR	N EH K W EH R
NEMERTEAN	N AH M AH R T IY AH N
NEMERTEANS	N EH M AH R T IY N Z
NEOREALISM	N IY OW R IY L IH Z AH M
NEOREALISMS	N IY OW R IY L IH Z AH M Z
NEOREALIST	N IY OW R IY L IH S T
NEOREALISTIC	N IY OW R IY AH L IH S T IH K
NEOREALISTS	N IY OW R IY L IH S T S
NEPENTHEAN	N AH P EH N DH IY AH N
NEUROHYPOPHYSEAL	N Y UH R AH HH IH P AH F IH Z IY AH L
NEWSBREAK	N UW Z B R EY K
NEWSBREAKS	N UW Z B R EY K S
NEWSDEALER	N UW Z D IY L ER
NEWSDEALERS	N UW Z D IY L ER Z
NEWSPEAK	N UW S P IY K
NEWSPEAKS	N UW S P IY K S
NEWSREADER	N UW Z R IY D ER
NEWSREADERS	N UW Z R IY D ER Z
NIGHTWEAR	N AY T W AE ER
NONAPPEARANCE	N AA N AH P IH ER AH N S
NONAPPEARANCES	N AA N AH P IH ER AH N S IH Z
NONBEARING	N AA N B AE ER IH NG
NONBREAKABLE	N AA N B R EY K AH B AH L
NONBREATHING	N AA N B R IY DH IH NG
NONCOLLINEAR	N AA N K AH L AY N IY AH R
NONCREATIVE	N AA N K R IY EY T IH V
NONCREATIVITIES	N AA N K R IY EY T IH V AH T IY Z
NONCREATIVITY	N AA N K R IY EY T IH V AH T IY
NONDECREASING	N AA N D IH K R IY S IH NG
NONEARNING	N AA N ER N IH NG
NONEARNINGS	N AA N ER N IH NG Z
NONENFORCEABILITIES	N AA N EH N F OW R S AH B IH L AH T EH Z
NONENFORCEABILITY	N AA N EH N F OW R S AH B IH L AH T EH
NONFEASANCE	N AA N F IY Z AH N S
NONFEASANCES	N AA N F IY Z AH N S IH Z
NONGREASY	N AA N G R IY S IY
NONIDEAL	N AA N AY D IY L
NONINCREASING	N AA N IH N K R IY S IH NG
NONINTERCHANGEABLE	N AA N IH N T ER CH EY N JH AH B AH L
NONLEADED	N AA N L EH D AH D
NONLEAFY	N AA N L IY F IY
NONLEAGUE	N AA N L IY G
NONLINEAL	N AA N L IH N IY AH L
NONLINEAR	N AA N L IH N IY ER
NONLINEARITIES	N AA N L IH N IY ER AH T IY Z
NONLINEARITY	N AA N L IH N IY ER AH T IY
NONMAINSTREAM	N AA N M EY N S T R IY M
NONMALLEABLE	N AA N M AE L IY AH B AH L
NONMEANINGFUL	N AA N M IY N IH NG F AH L
NONMEASURABLE	N AA N M EH ZH ER AH B AH L
NONMEAT	N AA N M IY T
NONNUCLEAR	N AA N UW K L IY ER
NONNUCLEATED	N AA N UW K L IY EY T IH D
NONPEAK	N AA N P IY K
NONREACTIVE	N AA N R IY AE K T IH V
NONREACTOR	N AA N R IY AE K T ER
NONREACTORS	N AA N R IY AE K T ER Z
NONREADER	N AA N R IY D ER
NONREADERS	N AA N R IY D ER Z
NONREADING	N AA N R IY D IH NG
NONREALISTIC	N AA N R IY AH L IH S T IH K
NONREAPPOINTMENT	N AA N R IY AH P OY N T M AH N T
NONREAPPOINTMENTS	N AA N R IY AH P OY N T M AH N T S
NONSEASONAL	N AA N S IY Z AH N AH L
NONSPEAKER	N AA N S P IY K ER
NONSPEAKERS	N AA N S P IY K ER Z
NONSPEAKING	N AA N S P IY K IH NG
NONSTEADY	N AA N S T EH D IY
NONTEACHING	N AA N T IY CH IH NG
NONTHEATRICAL	N AA N TH IY AE T R IH K AH L
NONTHREATENING	N AA N TH R EH T AH N IH NG
NONTREATMENT	N AA N T R IY T M AH N T
NONTREATMENTS	N AA N T R IY T M AH N T S
NORTHEAST	N AO R TH IY S T
NORTHEASTER	N AO R TH IY S T ER
NORTHEASTERLY	N AO R TH IY S T ER L IY
NORTHEASTERN	N AO R TH IY S T ER N
NORTHEASTERNMOST	N AO R TH IY S T ER N M OW S T
NORTHEASTERS	N AO R TH IY S T ER Z
NORTHEASTS	N AO R TH IY S T S
NORTHEASTWARD	N AO R TH IY S T W ER D
NORTHEASTWARDS	N AO R TH IY S T W ER D Z
NOTICEABLE	N OW T AH S AH B AH L
NOTICEABLY	N OW T IH S AH B L IY
NOUVEAU	N UW V OW
NUCLEAL	N UW K L IY AH L
NUCLEAR	N UW K L IY ER
NUCLEASE	N AH K L IY Z
NUCLEASES	N AH K L IY Z AH Z
NUCLEATE	N UW K L IY AH T
NUCLEATED	N UW K L IY EY T IH D
NUCLEATES	N UW K L IY AH T S
NUCLEATING	N UW K L IY EY T IH NG
NUCLEATION	N UW K L IY EY SH AH N
NUCLEATIONS	N UW K L IY EY SH AH N Z
NUCLEATOR	N UW K L IY AH T ER
NUCLEATORS	N UW K L IY AH T ER Z
NUTMEAT	N AH T M IY T
NUTMEATS	N AH T M IY T S
NYMPHEAN	N IH M F IY AH N
OATMEAL	OW T M IY L
OATMEALS	OW T M IY L Z
OBEAH	OW B IY AH
OBEAHISM	OW B IY IH Z AH M
OBEAHISMS	OW B IY HH AH Z AH M Z
OBEAHS	OW B IY Z
OCEAN	OW SH AH N
OCEANARIA	OW S AH N AE R IY AH
OCEANARIUM	OW S AH N AE R IY AH M
OCEANARIUMS	OW S AH N AE R IY AH M Z
OCEANAUT	OW S IY N AH T
OCEANAUTS	OW S IY N AH Y UW T S
OCEANFRONT	OW SH AH N F R AH N T
OCEANFRONTS	OW SH AH N F R AH N T S
OCEANGOING	OW SH AH N G OW IH NG
OCEANIC	OW SH IY AE N IH K
OCEANOGRAPHER	OW SH AH N AA G R AH F ER
OCEANOGRAPHERS	OW S AH N AA G R AH F AH R Z
OCEANOGRAPHIC	OW SH AH N AH G R AE F IH K
OCEANOGRAPHICAL	OW SH AH N AH G R AE F IH K AH L
OCEANOGRAPHICALLY	OW SH AH N AH G R AE F IH K AH L IY
OCEANOGRAPHIES	OW SH AH N AA G R AH F IY Z
OCEANOGRAPHY	OW SH AH N AA G R AH F IY
OCEANOLOGIES	OW SH AH N AA L AH JH IY Z
OCEANOLOGIST	OW SH AH N AA L AH JH AH S T
OCEANOLOGISTS	OW SH AH N AA L AH JH AH S T S
OCEANOLOGY	OW SH AH N AA L AH JH IY
OCEANS	OW SH AH N Z
OCHREA	AA K R IY AH
OCHREAE	AA K R IY
OCREA	AA K R IY AH
OCREAE	AA K R IY
OCREATE	AA K R IY EY T
ODEA	AA D IY AH
OEDIPEAN	OW AH D AY P IY AH N
OFFBEAT	AO F B IY T
OFFBEATS	AO F B IY T S
OLEA	AA L IY AH
OLEA(2)	OW L IY
OLEAGINOUS	OW L IY AE JH AH N AH S
OLEAGINOUSLY	OW L AH JH IH N OW AH S L IY
OLEAGINOUSNESS	OW L IY JH AH N AW Z N AH S
OLEAGINOUSNESSES	OW L IY JH AH N AW Z N EH S AH Z
OLEANDER	OW L IY AE N D ER
OLEANDERS	OW L IY AE N D ER Z
OLEANDOMYCIN	OW L IY N D AA M AH S AH N
OLEANDOMYCINS	OW L IY N D AA M AH S AH N Z
OLEASTER	OW L IY AE S T ER
OLEASTERS	OW L IY S T AH R Z
OLEATE	OW L IY EY T
OLEATES	OW L IY EY T S
ONSTREAM	AO N S T R IY M
OPENHEARTED	OW P AH N HH AA R T IH D
OPENHEARTEDLY	OW P AH N HH AA R T AH D L IY
OPENHEARTEDNESS	OW P AH N HH AA R T AH D N AH S
OPENHEARTEDNESSES	OW P AH N HH AA R T AH D N AH S IH Z
ORANGEADE	AO R IH N JH EY D
ORANGEADES	AO R IH N JH EY D Z
ORDEAL	AO R D IY L
ORDEALS	AO R D IY L Z
OREAD	AH R IY D
OREADS	AH R IY D Z
ORGEAT	AO R JH IY T
ORGEATS	AO R JH IY EY T S
OROPHARYNGEAL	AH R AA F AH R IH N JH IY AH L
OSTEAL	AA S T IY AH L
OUTBEAM	AW T B IY M
OUTBEAMED	AW T B IY M D
OUTBEAMING	AW T B IY M IH NG
OUTBEAMS	AW T B IY M Z
OUTBLEAT	AW T B L IY T
OUTBLEATED	AW T B L IY T IH D
OUTBLEATING	AW T B L IY T IH NG
OUTBLEATS	AW T B L IY T S
OUTBREAK	AW T B R EY K
OUTBREAKS	AW T B R EY K S
OUTCHEAT	AW T CH IY T
OUTCHEATED	AW T CH IY T IH D
OUTCHEATING	AW T CH IY T IH NG
OUTCHEATS	AW T CH IY T S
OUTDREAM	AW T D R IY M
OUTDREAMED	AW T D R IY M D
OUTDREAMING	AW T D R IY M IH NG
OUTDREAMS	AW T D R IY M Z
OUTDREAMT	AW T D R EH M T
OUTEARN	AW T ER N
OUTEARNED	AW T ER N D
OUTEARNING	AW T ER N IH NG
OUTEARNS	AW T ER N Z
OUTEAT	AW T IY T
OUTEATEN	AW T IY T AH N
OUTEATING	AW T IY T IH NG
OUTEATS	AW T IY T S
OUTERWEAR	AW T ER W EH R
OUTFEAST	AW T F IY S T
OUTFEASTED	AW T F IY S T IH D
OUTFEASTING	AW T F IY S T IH NG
OUTFEASTS	AW T F IY S T S
OUTHEAR	AW T HH IH ER
OUTHEARD	AW T HH ER D
OUTHEARING	AW T HH IH ER IH NG
OUTHEARS	AW T HH IH ER Z
OUTLEAP	AW T L IY P
OUTLEAPED	AW T L IY P T
OUTLEAPING	AW T L IY P IH NG
OUTLEAPS	AW T L IY P S
OUTLEAPT	AW T L EH P T
OUTLEARN	AW T L ER N
OUTLEARNED	AW T L ER N D
OUTLEARNING	AW T L ER N IH NG
OUTLEARNS	AW T L ER N Z
OUTLEARNT	AW T L AH R N T
OUTPREACH	AW T P R IY CH
OUTPREACHED	AW T P R IY CH T
OUTPREACHES	AW T P R IY CH IH Z
OUTPREACHING	AW T P R IY CH IH NG
OUTREACH	AW T R IY CH
OUTREACHED	AW T R IY CH T
OUTREACHES	AW T R IY CH IH Z
OUTREACHING	AW T R IY CH IH NG
OUTREAD	AW T R IY D
OUTREADING	AW T R IY D IH NG
OUTREADS	AW T R IY D Z
OUTSPEAK	AW T S P IY K
OUTSPEAKING	AW T S P IY K IH NG
OUTSPEAKS	AW T S P IY K S
OUTSPREAD	AW T S P R EH D
OUTSPREADING	AW T S P R EH D IH NG
OUTSPREADS	AW T S P R EH D Z
OUTSWEAR	AW T S W AE ER
OUTSWEARING	AW T S W AE ER IH NG
OUTSWEARS	AW T S W AE ER Z
OUTWEAR	AW T W AE ER
OUTWEARIED	AW T W IH R IY D
OUTWEARIES	AW T W IH R IY Z
OUTWEARING	AW T W AE ER IH NG
OUTWEARS	AW T W AE ER Z
OUTWEARY	AW T W IH R IY
OUTWEARYING	AW T W IH R IY IH NG
OVERBEAR	OW V ER B AE ER
OVERBEARING	OW V ER B EH R IH NG
OVERBEARINGLY	OW V ER B AE ER IH NG L IY
OVERBEARS	OW V ER B AE ER Z
OVERBEAT	OW V ER B IY T
OVERBEATEN	OW V ER B IY T AH N
OVERBEATING	OW V ER B IY T IH NG
OVERBEATS	OW V ER B IY T S
OVERBLEACH	OW V ER B L IY CH
OVERBLEACHED	OW V ER B L IY CH T
OVERBLEACHES	OW V ER B L IY CH IH Z
OVERBLEACHING	OW V ER B L IY CH IH NG
OVERBREATHING	OW V ER B R IY DH IH NG
OVERBREATHINGS	OW V ER B R IY DH IH NG Z
OVERCLEAN	OW V ER K L IY N
OVERCLEANED	OW V ER K L IY N D
OVERCLEANING	OW V ER K L IY N IH NG
OVERCLEANS	OW V ER K L IY N Z
OVERCLEAR	OW V ER K L IH ER
OVERCLEARED	OW V ER K L IH ER D
OVERCLEARING	OW V ER K L IH ER IH NG
OVERCLEARS	OW V ER K L IH ER Z
OVERDEAR	OW V ER D IH ER
OVEREAGER	OW V ER IY G ER
OVEREAGERNESS	OW V ER IY G ER N AH S
OVEREAGERNESSES	OW V ER IY G ER N AH S IH Z
OVEREARNEST	OW V ER ER N AH S T
OVEREASY	OW V ER IY Z IY
OVEREAT	OW V ER IY T
OVEREATEN	OW V ER IY T AH N
OVEREATER	OW V ER IY T ER
OVEREATERS	OW V ER IY T ER Z
OVEREATING	OW V ER IY T IH NG
OVEREATS	OW V ER IY T S
OVERFEAR	OW V ER F IH ER
OVERFEARED	OW V ER F IH ER D
OVERFEARING	OW V ER F IH ER IH NG
OVERFEARS	OW V ER F IH ER Z
OVERHEAD	OW V ER HH EH D
OVERHEADS	OW V ER HH EH D Z
OVERHEAP	OW V ER HH IY P
OVERHEAPED	OW V ER HH IY P T
OVERHEAPING	OW V ER HH IY P IH NG
OVERHEAPS	OW V ER HH IY P S
OVERHEAR	OW V ER HH IY R
OVERHEARD	OW V ER HH ER D
OVERHEARING	OW V ER HH IY R IH NG
OVERHEARS	OW V ER HH IY R Z
OVERHEAT	OW V ER HH IY T
OVERHEATED	OW V ER HH IY T IH D
OVERHEATING	OW V ER HH IY T IH NG
OVERHEATS	OW V ER HH IY T S
OVERIDEALISTIC	OW V ER AY D IY AH L IH S T IH K
OVERIDEALIZE	OW V ER AY D IY L AY Z
OVERIDEALIZED	OW V ER AY D IY L AY Z D
OVERIDEALIZES	OW V ER AY D IY L AY Z IH Z
OVERIDEALIZING	OW V ER AY D IY L AY Z IH NG
OVERLEAF	OW V ER L IY F
OVERLEAP	OW V ER L IY P
OVERLEAPED	OW V ER L IY P T
OVERLEAPING	OW V ER L IY P IH NG
OVERLEAPS	OW V ER L IY P S
OVERLEAPT	OW V ER L EH P T
OVERLEARN	OW V ER L ER N
OVERLEARNED	OW V ER L ER N D
OVERLEARNING	OW V ER L ER N IH NG
OVERLEARNS	OW V ER L ER N Z
OVERNEAR	OW V ER N IH ER
OVERNEAT	OW V ER N IY T
OVERREACH	OW V ER R IY CH
OVERREACHED	OW V ER R IY CH T
OVERREACHER	OW V ER R IY CH ER
OVERREACHERS	OW V ER R IY CH ER Z
OVERREACHES	OW V ER R IY CH IH Z
OVERREACHING	OW V ER R IY CH IH NG
OVERREACT	OW V ER R IY AE K T
OVERREACTED	OW V ER R IY AE K T IH D
OVERREACTING	OW V ER R IY AE K T IH NG
OVERREACTION	OW V ER R IY AE K SH AH N
OVERREACTIONS	OW V ER R IY AE K SH AH N Z
OVERREACTS	OW V ER R IY AE K T S
OVERSEA	OW V ER S IY
OVERSEAS	OW V ER S IY Z
OVERSPREAD	OW V ER S P R EH D
OVERSPREADING	OW V ER S P R EH D IH NG
OVERSPREADS	OW V ER S P R EH D Z
OVERTREAT	OW V ER T R IY T
OVERTREATED	OW V ER T R IY T IH D
OVERTREATING	OW V ER T R IY T IH NG
OVERTREATMENT	OW V ER T R IY T M AH N T
OVERTREATMENTS	OW V ER T R IY T M AH N T S
OVERTREATS	OW V ER T R IY T S
OVERWEAK	OW V ER W IY K
OVERWEAR	OW V ER W AE ER
OVERWEARING	OW V ER W AE ER IH NG
OVERWEARS	OW V ER W AE ER Z
OVERWEARY	OW V ER W IH R IY
OVERZEAL	OW V ER Z IY L
OVERZEALOUS	OW V ER Z EH L AH S
OVERZEALOUSLY	OW V ER Z EH L AH S L IY
OVERZEALOUSNESS	OW V ER Z EH L AH S N AH S
OVERZEALOUSNESSES	OW V ER Z EH L AH S N AH S IH Z
OVERZEALS	OW V ER Z IY L Z
OXHEART	AA K S HH AA R T
OXHEARTS	AA K S HH AA R T S
PACKTHREAD	P AE K TH R EH D
PACKTHREADS	P AE K TH R EH D Z
PAEAN	P IY AH N
PAEANISM	P IY AH N IH Z AH M
PAEANISMS	P IY AH N IH Z AH M Z
PAEANS	P IY AH N Z
PAGEANT	P AE JH AH N T
PAGEANTRIES	P AE JH AH N T R IY Z
PAGEANTRY	P AE JH AH N T R IY
PAGEANTS	P AE JH AH N T S
PALEA	P EY L IY AH
PALEAE	P EY L IY
PALEAL	P EY L AH L
PALLBEARER	P AO L B AE ER ER
PALLBEARERS	P AO L B AE ER ER Z
PAMPEAN	P AE M P IY AH N
PAMPEANS	P AE M P IY N Z
PANACEA	P AE N AH S IY AH
PANACEAN	P AH N EY S IY AH N
PANACEAS	P AE N AH S IY AH Z
PANCREAS	P AE N K R IY AH S
PANCREASES	P AE N K R IY S IH Z
PANCREATECTOMIES	P AE NG K R AH T EH K T AH M AY Z
PANCREATECTOMIZED	P AE NG K R AH T EH K T AH M AY Z D
PANCREATECTOMY	P AE NG K R AH T EH K T AH M IY
PANCREATIC	P AE N K R IY AE T IH K
PANCREATIN	P AE NG K R IY T AH N
PANCREATINS	P AE NG K R IY T AH N Z
PANCREATITIDES	P AE NG K R IY T AH T AY D Z
PANCREATITIS	P AE N K R IY EY T AH T IY Z
PARANOEA	P AE R AH N OW AH AH
PARANOEAS	P AE R AH N OW AH AH Z
PATHBREAKING	P AE TH B R EY K IH NG
PATRILINEAL	P AE T R IH L IH N IY AH L
PEA	P IY
PEACE	P IY S
PEACEABLE	P IY S AH B AH L
PEACEABLENESS	P IY S AH B AH L N AH S
PEACEABLENESSES	P IY S AH B AH L N AH S IH Z
PEACEABLY	P IY S AH B L IY
PEACED	P IY S T
PEACEFUL	P IY S F AH L
PEACEFULLER	P IY S F AH L ER
PEACEFULLEST	P IY S F AH L AH S T
PEACEFULLY	P IY S F AH L IY
PEACEFULNESS	P IY S F AH L N AH S
PEACEFULNESSES	P IY S F AH L N AH S IH Z
PEACEKEEPER	P IY S K IY P ER
PEACEKEEPERS	P IY S K IY P ER Z
PEACEKEEPING	P IY S K IY P IH NG
PEACEKEEPINGS	P IY S K IY P IH NG Z
PEACEMAKER	P IY S M EY K ER
PEACEMAKERS	P IY S M EY K ER Z
PEACEMAKING	P IY S M EY K IH NG
PEACEMAKINGS	P IY S M EY K IH NG Z
PEACENIK	P IY S N IH K
PEACENIKS	P IY S AH N AH K S
PEACES	P IY S IH Z
PEACETIME	P IY S T AY M
PEACETIMES	P IY S T AY M Z
PEACH	P IY CH
PEACHED	P IY CH T
PEACHER	P IY CH ER
PEACHERS	P IY CH ER Z
PEACHES	P IY CH AH Z
PEACHES(2)	P IY CH IH Z
PEACHIER	P IY CH IY ER
PEACHIEST	P IY CH IY AH S T
PEACHING	P IY CH IH NG
PEACHY	P IY CH IY
PEACING	P IY S IH NG
PEACOAT	P IY K OW T
PEACOATS	P IY K OW T S
PEACOCK	P IY K AA K
PEACOCKED	P IY K AA K T
PEACOCKIER	P IY K AA K IY ER
PEACOCKIEST	P IY K AA K IY AH S T
PEACOCKING	P IY K AA K IH NG
PEACOCKISH	P IY K AA K IH SH
PEACOCKS	P IY K AA K S
PEACOCKY	P IY K AA K IY
PEAFOWL	P IY F AW L
PEAFOWLS	P IY F AW L Z
PEAG	P IY G
PEAGE	P IY AH JH
PEAGES	P IY AH JH AH Z
PEAGS	P IY AH JH Z
PEAHEN	P IY HH EH N
PEAHENS	P IY HH EH N Z
PEAK	P IY K
PEAKED	P IY K T
PEAKEDNESS	P IY K AH D N AH S
PEAKEDNESSES	P IY K AH D N AH S IH Z
PEAKIER	P IY K IY ER
PEAKIEST	P IY K IY AH S T
PEAKING	P IY K IH NG
PEAKISH	P IY K IH SH
PEAKLESS	P IY K L AH S
PEAKLIKE	P IY K L AY K
PEAKS	P IY K S
PEAKY	P IY K IY
PEAL	P IY L
PEALED	P IY L D
PEALIKE	P IY L AY K
PEALING	P IY L IH NG
PEALS	P IY L Z
PEAN	P IY AH N
PEANS	P IY N Z
PEANUT	P IY N AH T
PEANUTS	P IY N AH T S
PEAR	P EH R
PEARL	P ER L
PEARLASH	P AE ER L AE SH
PEARLASHES	P AE ER L AE SH IH Z
PEARLED	P ER L D
PEARLER	P ER L ER
PEARLERS	P ER L ER Z
PEARLESCENCE	P AH R L EH S AH N S
PEARLESCENCES	P AH R L AH S EH N S AH Z
PEARLESCENT	P AH R L EH S AH N T
PEARLIER	P ER L IY ER
PEARLIEST	P ER L IY AH S T
PEARLING	P ER L IH NG
PEARLITE	P AH R L AY T
PEARLITES	P AH R L AY T S
PEARLITIC	P AE ER L IH T IH K
PEARLIZED	P ER L AY Z D
PEARLS	P ER L Z
PEARLY	P ER L IY
PEARMAIN	P AE ER M EY N
PEARMAINS	P AE ER M EY N Z
PEARS	P EH R Z
PEART	P ER T
PEARTER	P AH R T AH R
PEARTEST	P AE ER T EH S T
PEARTLY	P AH R T L IY
PEAS	P IY Z
PEASANT	P EH Z AH N T
PEASANTRIES	P EH Z AH N T R IY Z
PEASANTRY	P EH Z AH N T R IY
PEASANTS	P EH Z AH N T S
PEASCOD	P IY Z K AA D
PEASCODS	P IY Z K AA D Z
PEASE	P IY Z
PEASE(2)	P IY S
PEASECOD	P IY S AH K AH D
PEASECODS	P IY S AH K AH D Z
PEASEN	P IY S EH N
PEASES	P IY Z IH Z
PEASHOOTER	P IY SH UW T ER
PEASHOOTERS	P IY SH UW T ER Z
PEAT	P IY T
PEATIER	P IY T IH ER
PEATIEST	P IY T AY AH S T
PEATS	P IY EY T S
PEATY	P IY T IY
PEAVEY	P IY V IY
PEAVEYS	P IY V EY Z
PEAVIES	P IY V AY Z
PEAVY	P IY V IY
PEREA	P ER IY AH
PERIGEAL	P AH R IH JH IY AH L
PERIGEAN	P AH R AY JH IY AH N
PERINEA	P AH R AH N IY AH
PERINEAL	P AH R IH N IY AH L
PERIOSTEA	P AH R AY AA S T IY AH
PERIOSTEAL	P AH R AY AA S T IY AH L
PERITONEA	P AH R AH T OW N IY AH
PERITONEAL	P AH R AH T OW N IY AH L
PERITONEALLY	P AH R IH T AH N IY L IY
PERMEABILITIES	P ER M IY AH B IH L AH T EH Z
PERMEABILITY	P ER M IY AH B IH L IH T IY
CHABLIS	SH AH B L IY
DE	D IY
DE(2)	D EY
DE(3)	D AH
JEHAD	JH EH HH AH D
KEA	K IY
VOCABLE	V OW K AH B AH L
NU	N UW
WEAVE	W IY V
